G,DP,SB,E,Rtot/yr,PO,Tm,Fld%
116,3,86,9,3,586,SFG,.986
53,5,47,8,0,268,HOU,.974
113,2,69,7,0,572,TOT,.989
3,1,0,0,0,8,LAD,1.000
31,4,35,6,-30,157,SFG,.965
22,1,16,1,17,81,ATL,.990
32,4,35,6,-30,157,TOT,.965
18,0,15,0,-19,83,PIT,1.000
4,0,2,0,0,14,CHC,1.000
4,0,8,0,-100,16,MON,1.000
107,6,49,7,10,605,CIN,.989
34,1,14,1,19,175,PHI,.995
24,1,13,4,-8,77,LAD,.956
58,3,27,7,0,178,CHC,.967
5,0,1,1,0,16,SDP,.950
49,3,29,3,-7,213,CHC,.987
37,2,38,5,-22,182,SFG,.975
9,1,3,1,-77,16,MON,.947
129,6,69,6,8,619,PHI,.991
49,4,36,3,-4,214,CIN,.987
114,7,60,11,6,412,CHC,.977
134,6,125,9,3,670,STL,.988
1,0,1,0,0,3,MON,1.000
30,5,25,3,0,145,NYM,.982
52,0,21,4,8,180,CIN,.980
10,1,5,1,-17,46,STL,.980
20,1,13,2,0,92, ,.985
76,3,30,6,8,337,SDP,.984
