USG%,STL%,AST%,Age,ORB%,G,DRtg,Rk
10.8,0.0,10.9,30-196,19.4,47,101,47
9.9,0.0,16.4,30-075,0.0,10,77,10
15.7,0.0,0.0,30-177,0.0,39,131,39
10.4,0.0,0.0,30-185,0.0,42,101,42
10.8,0.0,4.9,30-135,0.0,29,121,29
41.1,0.0,0.0,30-096,0.0,17,111,17
17.1,0.0,9.7,30-150,9.5,36,91,36
0.0,0.0,0.0,30-038,0.0,2,113,2
11.5,0.0,0.0,30-143,0.0,32,108,32
82.1,0.0,0.0,30-124,0.0,25,119,25
5.4,0.0,0.0,30-145,0.0,33,119,33
0.0,0.0,0.0,30-114,54.5,24,114,24
0.0,0.0,0.0,30-199,0.0,49,119,49
9.9,0.0,7.4,30-091,5.5,15,85,15
9.1,0.0,0.0,30-052,0.0,7,104,7
13.1,3.9,15.7,30-192,0.0,45,103,45
8.7,0.0,0.0,30-088,21.3,14,102,14
14.2,0.0,0.0,30-081,0.0,12,128,12
12.1,0.0,20.1,30-080,0.0,11,125,11
