Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tashan Newsome,30,836,7.1,16.5,0.432,6.2,12.9,0.483,0.9,3.6,0.25,5.1,7.0,0.726,7.3,3.7,0.9,0.1,2.7,2.9,20.2
2,Donta Harper,34,957,6.5,14.4,0.449,6.4,13.8,0.464,0.1,0.6,0.133,5.0,7.0,0.719,6.9,3.0,2.0,1.4,4.4,4.1,18.1
3,Jarvis Davis,32,294,4.4,10.7,0.405,2.7,6.0,0.455,1.6,4.8,0.343,3.7,3.9,0.931,4.2,2.9,2.0,0.0,4.1,3.4,14.0
4,Max Landis,34,801,4.2,12.6,0.336,1.8,4.2,0.435,2.4,8.4,0.286,2.4,2.8,0.86,2.3,2.4,1.0,0.0,1.6,1.7,13.3
5,Kevin Hartley,34,983,4.5,9.4,0.478,1.5,3.0,0.5,3.0,6.3,0.468,1.3,1.8,0.711,8.9,1.2,2.4,0.5,2.3,4.3,13.2
6,Jerome Hill,33,668,4.5,8.8,0.51,4.5,8.8,0.51,0.0,0.0, ,3.1,5.0,0.607,9.3,0.4,1.0,0.4,2.2,5.0,12.0
7,Corey Hensley,29,285,5.1,9.5,0.529,5.1,9.5,0.529,0.0,0.0, ,1.1,2.2,0.5,6.0,0.7,0.6,0.7,1.8,4.1,11.2
8,Isaiah Ivey,31,238,2.7,8.1,0.333,1.8,5.4,0.344,0.8,2.7,0.313,2.2,2.5,0.867,3.0,2.0,1.0,0.5,1.2,1.5,8.4
9,Onzie Branch,34,511,3.4,9.0,0.383,3.4,8.4,0.411,0.0,0.6,0.0,1.3,2.0,0.654,10.0,1.3,1.7,0.9,2.0,4.1,8.2
10,Michael Byron,27,296,2.4,5.9,0.409,2.4,5.9,0.409,0.0,0.0, ,2.7,4.7,0.571,5.8,0.7,0.5,2.2,1.8,3.1,7.6
11,Tyler Strange,34,1034,2.7,7.4,0.365,1.5,3.2,0.464,1.2,4.2,0.287,0.8,1.1,0.724,3.4,5.5,2.1,0.0,2.8,2.4,7.4
12,Adam Sweeney,6,21,1.9,9.5,0.2,1.9,7.6,0.25,0.0,1.9,0.0,0.0,0.0, ,3.8,1.9,1.9,0.0,0.0,0.0,3.8
