GIDP,POS,AB,R,3B,OPS,SLG,BB
2,2B,81,14,3,0.925,0.556,1
12,2B,356,70,1,0.944,0.587,29
5,SS,49,3,1,0.364,0.204,1
4,SS,56,5,0,0.686,0.375,5
11,2B,380,79,0,0.949,0.532,36
0,SS,26,3,0,0.636,0.269,1
12,2B,277,37,1,0.693,0.365,9
0,2B,57,12,0,0.883,0.544,4
12,SS,340,58,2,0.755,0.382,24
0,SS,197,31,1,0.769,0.391,19
12,2B,291,37,1,0.733,0.402,14
0,2B,1,0,0,0.0,0.0,0
1,SS,159,29,0,0.964,0.597,9
9,SS,281,38,5,0.657,0.356,14
3,2B,139,22,2,0.719,0.381,11
2,SS,64,15,0,1.231,0.781,5
6,SS,239,23,0,0.64,0.343,10
