OBP,SH,2B,AVG,OPS,SO
.415,0,9,.358,.965,33
.328,0,2,.304,.810,18
.372,0,4,.292,.699,19
.000,0,0,.000,.000,2
.354,0,17,.288,.867,30
.444,0,0,.286,1.016,2
.368,0,7,.281,.761,32
.333,0,0,.250,.583,2
.396,0,22,.327,.994,39
.412,0,3,.333,.945,1
.400,0,1,.357,.829,3
.000,0,0,.000,.000,1
.256,2,5,.216,.530,41
.375,0,2,.286,.946,2
.000,0,0,.000,.000,2
.241,0,1,.214,.491,9
.459,0,15,.378,1.000,30
.395,0,1,.353,.777,7
.286,0,1,.167,.619,2
.386,1,9,.331,.825,24
.229,0,1,.196,.447,15
.255,1,1,.204,.479,11
.313,3,6,.274,.676,60
.341,6,10,.234,.661,30
.316,0,1,.278,.649,6
.286,2,4,.204,.651,32
.359,1,7,.283,.721,34
.342,0,7,.267,.837,38
.321,0,10,.241,.804,67
.262,0,5,.206,.552,23
.600,0,0,.333,.933,0
.319,1,2,.260,.626,36
.360,1,7,.279,.820,61
.000,0,0,.000,.000,2
.291,0,3,.213,.631,12
.455,0,1,.333,1.121,6
.237,0,2,.171,.523,6
.278,0,1,.187,.538,68
.335,1,8,.252,.699,59
.250,0,0,.143,.393,2
.375,1,0,.375,.750,2
.273,0,1,.158,.483,8
.350,0,1,.188,.600,5
.408,0,3,.323,.779,13
.292,0,0,.190,.482,13
.248,1,7,.176,.576,23
.222,0,0,.212,.434,11
.271,1,0,.211,.613,31
.286,0,0,.167,.452,5
.333,0,6,.328,.755,23
.471,1,13,.339,.950,31
.750,0,0,.500,1.250,0
.432,0,2,.364,.857,8
.375,0,1,.286,.804,1
.163,1,2,.107,.296,20
.282,2,2,.239,.578,11
.342,1,6,.288,.752,24
.325,0,3,.261,.638,28
.529,0,10,.406,1.108,11
.336,1,6,.226,.648,27
.333,0,2,.250,.750,5
.467,0,3,.333,1.050,2
.372,6,9,.295,.804,36
.390,0,3,.361,.918,5
.336,0,5,.222,.681,41
.260,0,5,.184,.567,55
.361,0,3,.303,.687,18
.591,0,2,.500,1.202,4
.389,0,10,.307,.800,27
.206,1,0,.100,.306,8
.333,0,0,.333,.667,1
.346,0,3,.261,.781,16
.276,0,3,.187,.543,21
.300,0,1,.222,.559,8
.298,2,5,.240,.587,12
--,0,0,--,--,0
.355,0,0,.286,.712,7
.235,0,1,.143,.414,7
.400,0,0,.400,.800,1
.474,0,1,.286,1.117,12
.250,3,2,.145,.455,34
.318,0,6,.259,.824,27
--,0,0,--,--,0
.308,0,1,.250,.585,16
.214,0,0,.125,.423,6
.432,0,2,.306,.848,4
.383,1,2,.337,.858,13
.263,0,5,.212,.563,63
.379,0,0,.292,.796,7
.322,0,10,.228,.700,45
.212,3,1,.157,.390,69
.333,0,0,.333,.667,2
.319,1,3,.269,.722,26
.213,0,5,.157,.442,22
.361,2,2,.282,.704,47
.263,1,0,.152,.415,12
.336,1,10,.287,.819,58
.298,0,1,.167,.527,21
.477,0,10,.400,1.277,19
.325,2,2,.214,.559,21
.364,0,4,.279,.725,36
.345,5,11,.296,.735,46
.286,0,1,.240,.666,11
.381,0,1,.188,.631,4
.000,0,0,.000,.000,1
.412,0,1,.375,.849,4
.342,0,3,.265,.754,19
.333,0,0,.294,.863,5
.000,0,0,.000,.000,0
.545,0,6,.444,1.212,5
.333,0,1,.333,.833,2
.321,2,8,.262,.777,49
.435,0,1,.435,1.087,1
.395,1,4,.290,.815,10
.308,0,2,.254,.646,16
.324,1,7,.242,.671,20
.325,2,12,.284,.733,33
.220,0,0,.093,.313,17
.321,3,0,.141,.462,17
.325,1,1,.206,.707,9
.293,0,2,.259,.775,33
.261,0,4,.150,.469,48
.325,1,4,.231,.646,59
.444,0,0,.444,1.889,2
.238,0,2,.200,.488,10
.262,0,6,.230,.537,38
.286,0,1,.167,.619,1
.326,2,5,.280,.669,33
.365,0,3,.327,1.080,9
.286,0,1,.231,.670,11
.294,0,5,.216,.683,55
.406,0,12,.340,.893,33
.227,1,0,.056,.283,4
.314,0,3,.274,.615,25
.328,0,10,.276,.723,40
.000,0,0,.000,.000,1
.381,1,1,.235,.675,7
.000,0,0,.000,.000,0
.385,0,1,.273,.748,4
.263,0,3,.200,.606,11
.416,0,11,.311,1.010,28
.363,0,6,.323,.800,27
.143,0,0,.167,.310,1
.322,2,6,.230,.693,48
.351,0,3,.275,.743,14
.316,2,2,.266,.652,29
.241,0,3,.187,.494,35
.293,2,4,.252,.620,26
.256,3,11,.218,.605,48
.282,0,1,.200,.511,13
.242,0,4,.190,.552,10
.297,0,2,.240,.577,31
.333,0,1,.231,.641,2
.360,1,11,.266,.754,39
.342,1,9,.296,.779,39
.287,0,7,.206,.591,21
.390,1,6,.317,.760,24
.351,1,7,.250,.836,23
.365,2,14,.314,.796,42
.306,0,3,.242,.782,42
.333,0,4,.307,.693,11
.111,0,0,.000,.111,1
.548,0,3,.364,1.048,7
.304,0,3,.304,.826,5
.283,1,17,.224,.645,59
.250,0,0,.000,.250,0
.293,1,7,.250,.671,56
.373,0,2,.239,.655,14
.315,1,7,.240,.675,28
.404,1,5,.312,.788,28
.351,4,7,.326,.781,16
.700,0,0,.700,1.400,0
.297,3,7,.228,.586,40
.406,0,6,.286,.763,41
.298,1,2,.216,.553,11
.467,0,1,.429,.967,2
.471,1,1,.280,.791,4
.297,0,14,.264,.726,31
.308,0,3,.292,.667,13
.394,0,1,.286,.715,4
.200,0,0,.200,.400,1
.333,0,0,.280,.613,6
.394,0,2,.286,.751,5
.125,0,0,.000,.125,2
.333,0,10,.240,.752,46
.355,0,1,.259,.762,9
.366,0,6,.333,.853,7
.091,0,0,.000,.091,3
.198,3,4,.165,.398,36
