MP,eFG%,USG%,DRtg,STL%,Age,DRB%,Tm
12:00,.500,7.3,126,0.0,27-253,22.9,SAC
17:00,.000,11.5,117,3.3,27-325,15.7,SAC
17:00,.667,12.8,90,3.0,27-193,18.0,SAC
5:00,.000,19.3,114,0.0,27-281,26.7,SAC
8:00,1.000,11.6,77,0.0,27-285,63.2,SAC
26:00,.500,18.6,79,3.9,27-244,19.4,SAC
7:00,.000,12.6,101,0.0,27-268,29.2,SAC
9:00,.000,9.3,93,0.0,27-273,10.5,SAC
2:00,.000,21.3,79,0.0,27-161,47.1,SAC
29:00,.600,9.9,97,1.8,27-319,29.7,SAC
23:00,.500,12.3,88,0.0,27-293,59.6,SAC
9:00,.000,13.7,106,0.0,27-223,0.0,SAC
23:00,1.000,9.8,127,0.0,27-308,12.3,SAC
7:00,1.000,11.8,120,0.0,27-235,0.0,SAC
39:00,.600,8.4,108,2.6,27-167,13.3,SAC
5:00,1.000,32.2,88,0.0,27-156,20.0,SAC
3:00, ,0.0,134,0.0,27-264,0.0,SAC
4:00,.000,10.9,106,0.0,27-289,0.0,SAC
25:00,.636,17.5,103,4.1,27-326,8.7,SAC
10:00,1.000,16.7,107,0.0,27-218,22.3,SAC
18:00,.333,9.7,121,0.0,27-246,16.7,SAC
17:00,.400,13.1,97,0.0,27-259,36.8,SAC
9:00,1.000,19.8,98,5.9,27-183,14.4,SAC
3:00,.000,15.0,134,0.0,27-227,0.0,SAC
14:00,.500,14.6,124,0.0,27-240,22.9,SAC
23:00,.625,20.0,122,0.0,27-226,24.6,SAC
16:00,.500,13.6,93,0.0,27-212,41.2,SAC
31:00,.500,10.9,119,1.6,27-298,12.2,SAC
11:00,1.000,12.5,96,0.0,27-169,40.6,SAC
13:00,.333,26.0,102,0.0,27-294,20.0,SAC
31:00,.600,12.0,119,1.8,27-279,23.2,SAC
5:00,.000,15.8,102,0.0,27-287,22.3,SAC
