Unif,Player,Pos,Ht,Wt,B-T,Age,Born,Place,Draft Info,High Level,Current Team,Status
32,Alex Caravella,P,5-10,175,L-L,20,1991-07-08,"Harrington Park,New Jersey",Not drafted,NCAA,-,-
13,Luke Curtis,P,6-1,215,R-R,20,1991-12-31,"Philipsburg,Pennsylvania",MIL: 2014-18-536,A,Wisconsin (A) >> Milwaukee Brewers,Minors
45,Jon Danielczyk,C-P,6-4,200,R-R,21,1991-06-22,"Erie,Pennsylvania",Not drafted,NCAA,-,-
6,Anthony DeFabio,C,5-8,170,R-R,22,1990--,"Pittsburgh,Pennsylvania",Not drafted,NCAA,-,-
34,Rick Devereaux,C-IF,6-1,180,L-R,22,1989-09-24,"Oakdale,Pennsylvania",Not drafted,Ind,-,-
1,Michael Douglas,OF-2B,5-8,155,R-R,19,1992-11-04,"Malvern,Pennsylvania",Not drafted,NCAA,-,-
14,Joe Harvey,P,6-2,220,R-R,20,1992-01-09,"Audobon,Pennsylvania",NYA: 2014-19-572,A,Charleston (sc) (A) >> New York Yankees,7-day DL
8,Eric Hess,1B,5-11,185,L-L,19,1992-08-02,"Erie,Pennsylvania",Not drafted,NCAA,-,-
23,Matt Iannazzo,P,5-8,145,L-L,22,1990-01-01,"Norwalk,Connecticut",Not drafted,A+,-,Free Agent
20,Kevin Johnson,IF-P,5-10,155,B-R,20,1991-09-20,"Webster,New York",Not drafted,NCAA,-,-
33,Jeff Kelly,P,6-0,180,R-R,21,1990-11-17,"Pottstown,Pennsylvania",Not drafted,NCAA,-,-
31,J.R. Leonardi,P,6-2,205,R-R,21,1991-04-18,"Pittsburgh,Pennsylvania",Not drafted,NCAA,-,-
40,Ethan Mildren,P,6-4,215,R-R,21,1991-06-04,"Hopwood,Pennsylvania",MIN: 2013-12-350,A+,Cedar Rapids (A) >> Minnesota Twins,Minors
42,Luke Novosel,P,6-3,200,R-R,20,1992-04-13,"Irwin,Pennsylvania",Not drafted,NCAA,-,-
5,Evan Oswald,IF,6-0,160,R-R,21,1990-09-04,"Butler,Pennsylvania",Not drafted,NCAA,-,-
19,Sam Parente,IF,6-0,205,R-R,21,1990-08-17,"Pittston,Pennsylvania",Not drafted,NCAA,-,-
9,John Peluso,OF,5-10,175,L-R,21,1991-01-14,"Bethlehem,Pennsylvania",Not drafted,NCAA,-,-
41,Casey Roche,OF-P,6-0,175,R-R,20,1991-12-09,"Downington,Pennsylvania",Not drafted,Ind,-,-
18,Steve Shelinsky,OF-1B,6-0,220,R-R,21,1990-10-22,"Yardley,Pennsylvania",Not drafted,NCAA,-,-
7,Elvin Soto,C,6-0,200,B-R,20,1992-02-12,"New York,New York",ARI: 2013-16-480,A,Kane County (A) >> Arizona Diamondbacks,Minors
4,Ronald Sucre,IF,6-0,180,R-R,21,1991-01-30,"Miami,Florida",Not drafted,NCAA,-,-
24,Boo Vazquez,OF,6-4,200,L-R,19,1993-04-04,"Youngstown,Ohio",Not drafted,NCAA,-,-
21,Stephen Vranka,OF-P,5-10,160,R-R,20,1991-07-31,"Monroeville,Pennsylvania",Not drafted,NCAA,-,-
27,Derik Wilson,SS,5-10,165,R-R,20,1991-08-20,"Hershey,Pennsylvania",Not drafted,NCAA,-,-
17,Tanner Wilt,P,6-1,195,R-R,19,1992-09-04,"Allison Park,Pennsylvania",Not drafted,NCAA,-,-
11,Matt Wotherspoon,P,6-1,175,R-R,20,1991-10-06,"Baton Rouge,Louisiana",NYA: 2014-34-1022,AA,Charleston (sc) (A) >> New York Yankees,Minors
22,Dave Yakopec,P,6-3,205,L-L,19,1992-07-17,"Lower Burrell,Pennsylvania",Not drafted,NCAA,-,-
