a,r,Date,ab,bb,k,ibb
8,0,"Apr 24, 2009",25,1,1,0
4,0,"Apr 24, 2009",24,1,4,0
4,1,"Mar 13, 2009",28,2,2,0
8,1,"Apr 10, 2009",27,1,1,0
6,10,"Apr 29, 2009",35,0,0,0
10,2,"Mar 13, 2009",24,0,3,0
17,1,"Mar 22, 2009",26,1,10,0
10,5,"Apr 05, 2009",27,3,2,0
16,2,"Mar 21, 2009",30,1,4,0
11,0,"Mar 21, 2009",24,1,1,0
10,8,"Mar 26, 2009",30,3,6,1
13,4,"May 01, 2009",29,1,2,1
7,0,"Apr 05, 2009",27,1,2,0
10,2,"Mar 07, 2009",25,0,1,0
10,2,"May 01, 2009",25,2,2,0
6,4,"Apr 12, 2009",27,2,2,0
6,3,"Mar 22, 2009",26,0,5,0
8,0,"Mar 26, 2009",20,1,7,0
7,2,"Apr 01, 2009",22,2,3,0
6,1,"Apr 18, 2009",29,2,1,1
4,12,"Feb 21, 2009",23,3,1,0
4,0,"Apr 10, 2009",22,1,9,0
7,0,"Mar 18, 2009",27,0,3,0
8,2,"Apr 18, 2009",26,0,3,0
6,1,"Feb 15, 2009",23,4,3,0
8,1,"Mar 14, 2009",25,0,10,0
8,0,"May 07, 2009",22,0,10,0
