DRB%,GS,USG%,Opp,AST%,BLK%,TOV%,Rk,eFG%
13.7,1,10.2,IND,0.0,2.9,0.0,31,.250
46.1,1,20.6,SAC,0.0,0.0,0.0,51,.500
17.3,1,16.2,DET,0.0,0.0,14.5,48,.600
14.9,1,13.4,ATL,0.0,4.3,0.0,21,.778
27.9,1,7.1,GSW,11.8,0.0,0.0,24,1.000
8.8,1,17.1,CHH,15.2,5.4,20.5,49,.333
20.0,0,26.6,MIL,0.0,0.0,0.0,8,.667
27.9,0,17.5,ATL,0.0,0.0,27.3,7,1.000
43.2,0,34.4,MIA,0.0,9.0,12.9,1,.600
20.5,1,9.7,DET,0.0,7.6,0.0,46,.000
11.9,1,4.8,HOU,0.0,0.0,0.0,38,.500
24.5,1,0.0,DAL,0.0,11.3, ,47, 
14.5,1,32.3,DET,66.1,5.7,26.9,57,.800
25.0,1,7.1,HOU,7.4,4.0,34.7,41,.000
7.0,1,9.9,PHI,0.0,10.5,33.3,56,1.000
23.6,1,5.5,PHO,0.0,0.0,0.0,40, 
27.3,1,18.7,MIN,9.4,0.0,0.0,29,.500
36.5,1,12.9,PHO,10.7,0.0,25.0,44,.667
26.1,0,11.0,CLE,0.0,0.0,100.0,16, 
12.7,1,6.5,VAN,11.4,7.6,0.0,53,.000
0.0,0,0.0,UTA,0.0,0.0, ,3, 
16.2,0,21.4,UTA,19.0,0.0,0.0,9,.000
25.0,0,21.5,DEN,0.0,0.0,50.0,13,1.000
23.9,1,15.3,WAS,0.0,0.0,20.0,36,.000
24.6,0,14.9,BOS,32.0,8.2,25.0,12,.667
34.3,1,13.7,CHH,9.6,0.0,51.5,35,1.000
50.5,1,6.7,NYK,10.0,5.2,0.0,59,.000
