DRB,TOV,RPG,ORB,3PA,SPG,FG%
21.3,13.5,30.7,9.4,16.9,7.0,0.408
25.3,17.0,37.2,11.9,16.5,7.5,0.392
22.8,12.8,33.1,10.2,16.1,7.4,0.419
24.7,11.1,34.9,10.2,14.7,8.1,0.451
23.0,14.3,34.1,11.1,19.0,6.8,0.48
20.0,16.3,28.6,8.6,17.1,7.2,0.427
24.5,11.2,34.9,10.4,17.6,5.0,0.462
26.5,12.4,37.2,10.7,20.2,4.9,0.433
22.2,14.3,33.1,10.9,15.8,6.1,0.417
21.6,13.8,32.2,10.5,13.4,7.5,0.445
25.5,12.7,36.6,11.1,14.1,5.4,0.423
22.8,13.5,35.7,12.9,19.3,8.6,0.397
25.3,14.8,38.5,13.2,16.9,5.1,0.439
20.3,12.9,30.1,9.8,22.5,8.9,0.431
21.5,14.4,33.6,12.1,15.2,6.3,0.383
26.0,12.3,33.9,7.9,20.6,4.8,0.501
23.8,9.4,33.7,9.8,19.7,6.1,0.484
17.9,13.0,27.9,10.0,16.1,8.5,0.445
24.8,9.7,35.9,11.1,22.4,5.7,0.42
25.9,13.9,41.1,15.2,13.2,4.1,0.428
26.0,18.2,38.9,12.9,18.6,7.7,0.419
22.2,11.6,33.8,11.5,20.0,9.2,0.435
25.7,12.7,36.0,10.3,13.4,5.8,0.444
23.0,14.7,34.1,11.1,19.9,6.5,0.442
23.6,13.6,34.2,10.6,18.1,6.8,0.436
21.7,14.3,32.7,11.0,16.2,8.3,0.434
24.2,13.2,36.9,12.8,28.0,8.1,0.434
23.8,12.6,34.6,10.8,12.9,7.8,0.468
23.8,12.2,34.2,10.4,18.1,4.3,0.426
22.6,14.4,32.7,10.1,10.2,6.9,0.449
24.4,11.0,33.1,8.8,19.2,5.8,0.468
21.9,15.6,33.7,11.8,18.1,8.3,0.396
22.2,13.5,33.2,11.0,15.5,7.4,0.437
20.8,12.7,28.2,7.4,19.4,5.5,0.443
20.6,11.8,30.5,9.9,20.0,8.0,0.427
20.3,14.4,31.9,11.6,16.4,7.1,0.359
23.7,15.2,34.8,11.2,16.0,6.7,0.423
24.2,14.4,37.4,13.2,20.3,7.9,0.435
24.6,18.2,35.7,11.1,6.1,4.3,0.408
22.0,11.2,31.8,9.7,15.7,5.9,0.438
19.7,14.1,29.3,9.6,18.8,7.3,0.423
22.4,13.8,32.2,9.8,20.1,7.5,0.42
21.3,15.7,29.4,8.1,17.5,5.8,0.432
22.5,12.8,34.0,11.5,19.1,6.7,0.429
23.9,12.1,36.0,12.1,14.3,7.3,0.447
26.6,12.9,39.6,13.0,18.7,6.7,0.459
24.7,14.7,36.1,11.5,17.1,6.4,0.413
24.6,11.9,35.8,11.2,19.7,6.5,0.46
25.0,14.4,37.0,12.0,12.5,5.6,0.455
21.0,13.0,33.7,12.7,16.9,7.3,0.408
24.1,15.3,36.4,12.2,12.9,7.5,0.44
24.7,14.5,36.2,11.5,16.4,8.9,0.471
21.9,16.8,32.1,10.1,16.6,8.0,0.401
23.6,12.4,32.4,8.8,19.0,3.9,0.414
20.4,14.6,31.0,10.6,16.7,8.2,0.421
21.4,14.4,30.6,9.2,16.2,5.5,0.426
21.1,14.9,32.9,11.8,13.2,6.3,0.365
19.7,11.5,27.4,7.7,22.9,6.1,0.406
21.3,11.6,31.2,9.9,17.4,7.2,0.39
21.6,10.6,29.9,8.3,16.3,5.1,0.407
21.3,15.3,34.1,12.9,18.7,5.1,0.412
21.8,17.3,32.3,10.6,13.1,9.0,0.42
23.7,12.4,36.7,13.0,17.4,9.0,0.439
24.4,13.9,35.9,11.5,12.4,6.2,0.413
22.2,10.8,32.9,10.6,21.8,7.9,0.428
25.1,12.3,37.8,12.7,25.8,7.3,0.422
26.9,12.8,36.1,9.2,19.5,5.2,0.469
25.1,13.3,35.8,10.7,15.7,7.0,0.433
23.2,13.7,37.3,14.1,16.1,7.4,0.443
20.9,15.1,32.2,11.3,19.9,7.1,0.37
20.6,14.3,28.5,7.9,22.7,8.2,0.409
23.0,12.9,31.9,8.9,16.5,4.7,0.409
25.8,13.2,34.4,8.5,20.2,4.6,0.418
23.8,11.9,33.8,9.9,20.9,5.2,0.439
24.1,15.0,39.2,15.1,14.5,7.7,0.398
21.6,12.2,30.1,8.5,17.0,6.4,0.462
24.2,11.7,34.1,9.9,20.8,6.8,0.431
21.3,13.2,31.5,10.2,14.0,6.5,0.44
21.4,12.5,31.4,10.0,16.3,8.2,0.428
22.2,14.1,32.2,10.0,22.1,5.4,0.388
22.5,13.7,35.3,12.9,15.6,8.4,0.436
25.4,12.5,37.7,12.3,17.6,6.9,0.419
22.8,13.1,31.6,8.8,16.3,5.1,0.447
24.4,14.5,35.4,11.0,21.2,7.5,0.434
21.6,14.7,31.9,10.3,19.7,7.2,0.407
21.8,12.6,30.3,8.6,22.5,8.9,0.466
21.5,14.6,31.4,9.9,22.7,6.1,0.437
22.5,12.1,34.2,11.7,15.6,7.8,0.417
24.3,14.0,31.8,7.5,20.5,4.6,0.473
20.0,14.4,28.9,9.0,20.5,5.6,0.415
22.8,14.2,31.2,8.4,20.0,6.8,0.484
23.2,12.7,31.9,8.7,16.8,7.5,0.453
21.9,13.3,30.6,8.7,22.1,9.8,0.491
21.3,13.2,31.1,9.8,16.4,6.9,0.419
23.5,13.1,35.6,12.1,20.4,8.3,0.406
22.3,16.6,32.0,9.7,15.8,6.8,0.444
22.6,15.2,35.9,13.3,14.2,6.4,0.449
22.2,15.9,30.5,8.3,15.9,6.5,0.425
24.9,15.3,36.7,11.7,16.2,5.0,0.406
22.6,12.3,33.9,11.3,22.1,7.9,0.442
22.1,11.1,31.6,9.5,17.4,7.6,0.421
22.0,11.5,33.9,11.9,22.4,7.9,0.422
22.5,12.1,29.8,7.3,18.7,6.1,0.449
23.3,11.0,31.2,7.9,19.4,7.1,0.462
22.5,14.7,34.7,12.2,17.4,9.6,0.479
21.3,11.9,33.1,11.8,14.1,7.1,0.431
24.1,12.1,33.9,9.8,20.0,5.8,0.389
25.1,14.7,35.0,9.8,18.1,6.4,0.434
24.8,12.4,35.4,10.6,13.5,6.5,0.496
20.4,13.5,30.9,10.5,22.1,6.2,0.401
24.6,13.3,34.4,9.8,15.2,5.7,0.426
22.8,12.2,30.3,7.5,18.4,5.8,0.465
25.2,11.3,37.7,12.6,20.4,8.2,0.438
25.7,14.6,38.5,12.8,17.1,8.7,0.421
22.7,14.4,33.0,10.3,15.3,5.6,0.475
