G,SLG,3B,2B,SH,RBI,BB,SO,Team
42,.355,0,7,4,7,25,23,HAR
8,.188,0,1,3,2,0,8,HAR
40,.350,2,6,2,16,15,21,BOW
122,.392,1,25,1,53,46,101,CON
6,.278,0,0,0,1,1,4,POR
12,.000,0,0,0,0,0,2,CON
22,.383,1,5,1,2,10,19,POR
74,.353,0,12,1,28,18,41,NH
9,.000,0,0,0,0,0,1,CON
4,.000,0,0,0,0,0,4,ALT
124,.328,0,23,2,50,41,88,POR
52,.381,2,10,3,15,13,44,CON
44,.361,1,5,1,17,30,41,ERI
108,.383,0,26,2,35,21,110,CON
82,.456,2,16,0,35,37,101,POR
5,.333,0,0,0,0,0,1,REA
29,.363,0,7,1,10,2,35,BIN
2,--,0,0,1,0,0,0,BIN
96,.359,2,12,3,40,39,107,ALT
86,.340,2,18,2,35,20,50,NBR
13,.116,0,0,1,0,2,9,CON
73,.474,7,11,4,38,31,64,HAR
83,.324,2,17,4,17,30,52,REA
78,.529,4,20,0,50,53,58,POR
36,.382,2,4,1,16,8,17,ERI
90,.388,1,15,4,36,13,47,AKR
3,.500,1,0,0,1,0,2,REA
3,.000,0,0,0,0,0,4,HAR
14,.200,0,0,0,6,6,10,AKR
12,.300,0,3,2,5,3,2,CON
28,.253,0,2,1,7,8,18,NBR
2,.143,0,0,0,1,1,2,AKR
44,.549,0,13,0,37,8,20,CON
3,--,0,0,0,0,0,0,BIN
1,.250,0,0,0,0,0,2,AKR
22,.438,0,3,0,14,5,3,AKR
25,.456,1,10,0,16,8,12,AKR
52,.274,1,5,0,17,22,28,TRN
5,.400,0,0,0,3,0,2,HAR
72,.346,0,13,0,30,20,52,REA
5,--,0,0,0,0,0,0,REA
2,.833,0,0,0,1,1,2,AKR
72,.352,0,15,7,26,31,34,HAR
1,--,0,0,0,0,0,0,REA
14,.091,0,0,2,0,1,4,CON
1,.000,0,0,0,0,0,0,REA
17,.180,0,1,0,3,5,7,ALT
106,.455,2,24,0,49,24,75,AKR
19,.525,0,7,0,15,2,18,CON
17,.750,0,1,0,3,1,2,REA
2,.000,0,0,0,0,0,3,ALT
18,.375,0,3,1,5,2,8,TRN
20,.394,0,3,0,15,1,15,CON
18,.000,0,0,0,0,0,1,ALT
5,--,0,0,0,0,0,0,REA
99,.362,1,14,4,30,28,52,BIN
28,.311,0,6,1,5,10,14,REA
9,--,0,0,0,0,0,0,ALT
11,.000,0,0,0,0,0,2,ALT
131,.480,2,33,0,81,54,105,REA
47,.526,0,13,0,24,20,40,HAR
9,.143,0,0,3,1,1,5,ALT
7,.286,0,1,0,1,3,7,ERI
10,--,0,0,0,0,0,0,HAR
75,.461,3,14,3,29,32,65,BOW
131,.400,4,24,2,69,57,127,ERI
2,.000,0,0,1,0,1,2,REA
75,.589,6,18,2,53,30,66,ERI
3,.429,0,0,0,0,0,2,ALT
5,.333,0,0,4,0,1,1,HAR
33,.396,0,4,1,14,17,12,HAR
105,.328,4,15,2,43,55,58,CON
2,.500,0,0,0,2,0,2,AKR
11,.200,0,0,2,0,1,1,ALT
23,.355,0,3,1,7,5,21,REA
1,--,0,0,0,0,0,0,CON
81,.458,10,23,3,32,20,49,ALT
99,.429,4,17,0,37,40,98,AKR
21,.384,0,5,0,8,11,14,TRN
10,--,0,0,0,0,0,0,CON
37,.550,0,8,0,26,13,22,BOW
120,.295,1,13,7,38,49,76,BOW
95,.349,6,12,5,34,28,42,AKR
20,.000,0,0,1,0,0,2,REA
31,.317,0,3,1,3,3,16,ALT
72,.403,2,13,1,27,16,51,BIN
89,.422,4,11,2,36,22,34,REA
3,.000,0,0,0,0,0,1,BIN
3,--,0,0,0,0,0,0,ALT
4,--,0,0,0,0,0,0,ALT
4,.143,0,0,1,2,0,2,BIN
1,.000,0,0,0,0,0,1,NH
2,1.250,0,0,0,2,0,2,REA
1,.000,0,0,0,0,0,0,BIN
104,.480,0,31,0,67,20,74,TRN
15,.500,0,0,0,0,0,0,HAR
71,.416,3,17,3,33,23,42,TRN
7,--,0,0,0,0,0,0,BIN
108,.454,3,34,0,63,72,72,POR
11,.000,0,0,2,0,1,2,HAR
8,.000,0,0,0,0,0,0,REA
72,.421,3,13,0,51,25,47,NH
5,.421,0,0,0,2,0,2,ERI
12,--,0,0,0,0,0,0,REA
10,.207,0,0,0,0,3,5,BIN
98,.461,0,21,0,67,52,116,NH
1,--,0,0,0,0,0,0,NH
67,.351,2,12,3,28,31,29,HAR
97,.349,1,15,1,48,20,32,TRN
45,.148,0,0,2,4,7,15,ALT
8,.261,0,0,0,3,3,11,POR
4,.000,0,0,0,0,0,1,TRN
115,.419,2,28,2,50,29,95,NH
112,.427,2,21,0,46,66,63,NH
80,.255,3,2,3,16,30,47,AKR
8,.077,0,0,2,1,2,6,CON
3,.500,0,1,0,0,3,1,HAR
51,.328,0,9,1,20,15,27,BOW
93,.466,1,28,4,50,44,74,NBR
105,.318,2,21,3,35,35,69,NBR
1,--,0,0,0,0,0,0,HAR
16,.000,0,0,2,0,0,2,BIN
