H,OBP,R,Player,3B,POS
20,0.309,11,H Choi,0,2B
10,0.234,12,D Vaughn,1,LF
2,0.182,2,P Reese,0,2B
3,0.2,0,A Dionicio,1,OF
2,0.667,0,A Boone,0,1B
30,0.312,16,J Garcia,1,3B
35,0.351,19,E Contreras,1,OF
31,0.378,15,E Landoni,2,3B
18,0.372,11,C Puckett,0,SS
12,0.345,4,D Hale,1,SS
4,0.778,2,B Buck,0,LF
9,0.273,0,M Jones,0,CF
1,0.077,0,R Baker,0,C
55,0.36,25,B Fuenmayor,2,3B
3,0.333,4,D Saunderson,1,LF
11,0.266,7,C Vazquez,0,C
2,0.5,1,G Miclat,0,SS
2,0.25,2,L Mercedes,0,2B
43,0.345,28,A Oliveras,4,CF
27,0.327,13,Y Kuo,0,2B
2,0.286,1,J Estrada,0,C
1,0.231,2,G Lombard,0,OF
51,0.328,22,D Ortiz,5,RF
0,0.2,0,R Redden,0,C
4,0.143,0,K Morgan,1,OF
49,0.333,27,X Avery,1,CF
2,0.375,0,C Thomas,0,3B
46,0.35,24,C Puello,0,RF
15,0.207,13,C Smith,0,LF
38,0.307,14,R Shimabukuro,0,1B
28,0.362,11,K Coddington,0,C
48,0.317,25,L Castro,1,CF
14,0.3,10,D Rohlfing,1,C
1,0.2,0,J Smolinski,0,2B
12,0.304,2,J Jang,1,C
18,0.333,15,B Sellers,0,LF
26,0.258,17,J Rodriguez,0,CF
3,0.222,3,L Hurtado,0,C
5,0.385,6,P Hissey,0,OF
21,0.365,11,D Elorriaga-Matra,0,C
12,0.241,6,C Hinojosa,0,3B
1,0.333,0,E Urbina,0,1B
6,0.462,1,A Everett,0,SS
29,0.434,15,N French,0,1B
8,0.319,3,M Sanchez,0,C
1,0.333,1,Y Silva,0,CF
6,0.348,2,B Nowlin,0,C
20,0.305,6,J Santana,0,3B
23,0.317,15,L Fernandez,0,SS
40,0.297,17,A Feliz,0,RF
17,0.263,6,F Gomez,0,C
33,0.359,18,B Schlehuber,0,C
2,0.235,0,W Pena,0,C
0,0.0,0,E Dukes,0,OF
33,0.288,19,J Pirela,1,SS
7,0.372,4,Y Lopez,0,OF
22,0.384,9,J Castillo,1,C
8,0.324,4,L Rivera,0,LF
2,0.316,2,M Crouse,1,CF
60,0.357,36,W Pichardo,2,CF
7,0.474,2,G Bass,1,OF
31,0.414,16,M Almanzar,1,3B
6,0.292,2,G Lassiter,0,SS
18,0.205,9,L Nieves,1,SS
31,0.346,16,D Shepherd,0,DH
17,0.282,7,J Martin,0,C
1,0.667,1,F Hanvi,0,C
17,0.348,7,C Weems,0,C
61,0.339,24,G Rosa,3,SS
8,0.298,2,E Rimes,0,DH
19,0.289,8,B Harrigan,1,C
6,0.192,5,F Arcia,0,C
3,0.176,2,W Rufino,0,OF
37,0.324,15,K Gilligan,0,2B
9,0.23,5,K Moscatel,0,C
21,0.288,16,T Bowe,1,LF
15,0.4,17,J Workman,1,CF
13,0.364,10,J Smit,1,DH
8,0.295,6,T Waller,0,C
50,0.289,32,A Abreu,4,3B
28,0.323,23,A Diaz,0,1B
31,0.331,17,J Flagg,2,1B
8,0.233,5,G Nunez,0,SS
7,0.447,4,T Di Benedetto,0,SS
34,0.278,18,E Garcia,3,RF
1,0.286,0,R Church,0,RF
2,0.188,6,F Cruz,0,SS
43,0.291,24,Z Almonte,1,CF
4,0.533,2,J Ramirez,0,OF
52,0.348,33,D Pertusati,2,2B
1,0.333,0,T Binkoski,0,OF
27,0.296,13,L Hiller,1,LF
5,0.308,1,A Nieto,0,C
2,0.333,1,B Carroll,0,RF
3,0.186,3,D Phillips,0,LF
32,0.319,12,B Hiraldo,3,DH
5,0.385,1,I Desmond,0,SS
4,0.2,4,M Moanaroa,0,LF
38,0.361,20,B Peterson,3,DH
0,0.086,1,E Lora,0,1B
29,0.376,14,V Sanchez,2,RF
38,0.288,19,C Maddox,0,LF
24,0.41,12,C Silva,0,1B
4,0.333,3,K Castro,0,SS
9,0.393,6,R Gomez,1,3B
31,0.344,20,R Jean,0,SS
22,0.314,19,K Rucker,0,RF
27,0.476,15,B Schultz,3,OF
10,0.185,6,J Garcia,1,C
41,0.358,34,R Rosario,2,CF
34,0.261,16,R Martinez,5,CF
55,0.292,24,C Culver,4,CF
1,0.154,2,B Miller,0,OF
13,0.272,4,J Aponte,0,C
23,0.385,19,J Goncalves,1,OF
10,0.406,1,D Clark,0,LF
23,0.294,20,L Taylor,1,LF
33,0.279,14,A Espinoza,0,RF
3,0.267,3,V Ramos,0,3B
5,0.478,1,Z Dillon,0,C
1,0.179,2,M Montero,0,C
15,0.397,13,F Pedron,0,3B
22,0.361,13,A Goulder,0,1B
12,0.292,9,J Mosquera,0,2B
1,0.174,1,H Sanchez,0,1B
36,0.464,21,A Carrithers,1,2B
1,0.286,1,R Martinez,0,SS
22,0.276,13,Y Perez,0,LF
44,0.359,25,C Joseph,2,2B
11,0.392,6,L Poole,0,CF
18,0.275,5,M Delaney,0,1B
14,0.358,10,K Saukko,0,CF
4,0.211,4,C Dumont,0,LF
19,0.381,10,B McElroy,1,LF
5,0.667,1,C Rasmus,0,OF
8,0.244,4,I Cardona,2,C
24,0.349,11,G Erickson,0,C
19,0.29,6,D Perez,0,C
18,0.296,7,A Schoenberger,1,SS
19,0.286,11,M Swinson,1,LF
33,0.397,23,M McGonigle,3,LF
13,0.234,5,L Grullon,0,DH
23,0.351,19,J Padron,0,1B
21,0.342,10,J Munoz,0,OF
6,0.195,4,J Valdez,0,1B
12,0.372,10,M Gioioso,0,3B
26,0.347,9,J Peacock,0,1B
17,0.42,9,R Diaz,0,C
6,0.225,3,M Ray,0,RF
1,0.286,1,S Garcia,0,2B
16,0.408,4,K Gronauer,0,C
39,0.421,27,Y Rodriguez,0,3B
38,0.325,19,R Vera,0,1B
