SB,CS,H,IBB,C-G#,Notes,Result,AB,SF,R
0,0,2,0,49,"2 home runs, 6 RBIs",W 8-4 vs CHN,4,0,2
0,0,4,0,489,4 hits,W 8-7 @PIT,5,0,1
1,0,3,0,903,1000th career hit,W 8-2 vs SDN,4,0,3
0,0,2,0,836,2 home runs,W 5-4 vs ATL,4,0,2
1,0,4,0,762,"4 runs scored, 4 hits",W 9-7 @PIT,4,0,4
0,0,2,0,1382,2 home runs,L 9-12 @DET,5,0,2
1,0,4,0,250,4 hits,W 11-9 @HOU,6,0,2
1,0,3,0,73,"2 home runs, 4 runs scored",W 11-5 vs SLN,3,0,4
0,0,1,0,1739,4 strikeouts,W 9-5 vs SFN,5,0,0
3,0,1,0,1570,3 stolen bases,W 11-4 @SEA,4,0,1
0,0,2,0,1081,2 home runs,L 2-3 @CLE,4,0,2
0,0,4,0,459,4 hits,W 7-3 vs SDN,4,0,3
0,0,0,0,755,4 strikeouts,L 2-5 vs NYN,4,0,0
0,0,2,0,569,0 Triples,L 2-4 vs NYN,4,0,2
1,0,1,0,1249,4 strikeouts,L 2-3 vs KCA,7,0,1
1,0,4,0,901,"4 hits, 500th career RBI",L 3-7 vs SDN,5,0,0
0,0,4,0,101,4 hits,W 4-3 vs CIN,7,0,2
1,0,4,0,912,4 hits,L 4-12 @CHN,5,0,0
3,0,2,0,1322,"4 runs scored, 3 stolen bases",W 10-6 @CHA,3,0,4
0,0,3,0,549,100th career home run,W 12-5 @CIN,5,0,2
0,0,3,0,1065,"2 home runs, 200th career home run",W 6-3 @CHA,4,0,2
1,0,0,0,340,100th career stolen base,L 6-7 @PHI,4,0,1
0,0,2,0,204,"2 home runs, 5 RBIs",W 13-4 vs PHI,4,0,2
0,0,4,0,331,4 hits,L 5-10 @MON,5,0,2
0,0,2,0,156,2 home runs,W 7-6 vs ATL,4,0,2
0,0,1,0,166,4 strikeouts,L 2-3 @LAN,6,0,0
0,0,3,0,170,"2 home runs, 5 RBIs",W 14-13 vs LAN,5,0,3
0,0,3,0,1614,4 runs scored,W 8-4 vs NYA,5,0,4
1,0,4,0,1110,4 hits,W 4-3 @MIL,5,0,2
0,1,2,0,1500,1500th career game,W 2-0 @BAL,4,1,0
2,0,3,0,553,4 runs scored,W 10-6 @HOU,3,0,4
0,0,2,0,150,4 runs scored,W 12-5 @CIN,5,0,4
0,0,2,0,838,5 RBIs,W 11-8 vs LAN,5,0,2
0,0,2,0,1545,2 home runs,L 7-8 @CAL,4,0,2
3,0,3,0,749,"4 runs scored, 3 stolen bases",W 7-3 @ATL,4,0,4
0,0,4,0,481,4 hits,W 3-1 @LAN,5,0,1
3,0,1,0,318,3 stolen bases,W 7-6 @ATL,4,0,1
0,0,0,0,14,4 strikeouts,W 7-1 @CIN,4,1,0
3,0,1,0,249,3 stolen bases,L 6-7 @HOU,4,0,1
0,0,0,0,615,4 strikeouts,L 6-7 @CHN,5,0,0
0,0,4,0,1317,"3 Doubles, 4 hits",W 7-5 @MIL,5,0,1
0,0,0,0,1230,4 strikeouts,L 5-9 @MIN,4,0,0
0,0,2,0,1832,2 home runs,W 7-3 @SLN,5,0,2
1,0,3,0,1511,2 home runs,W 9-5 @CHA,5,0,2
0,0,4,0,650,4 hits,L 11-12 @LAN,6,0,2
2,0,3,2,1175,300th career stolen base,W 4-3 vs CLE,4,0,2
1,0,1,0,1563,400th career stolen base,W 7-2 vs SEA,4,0,1
