SF,SB,SLG,3B,G,AVG,BB
0,0,.406,0,8,.250,5
0,0,.364,1,8,.273,3
0,0,.533,0,4,.267,0
0,8,.511,3,63,.316,22
3,0,.430,2,56,.280,17
0,0,.300,0,8,.200,3
0,9,.366,1,36,.276,6
0,2,.286,1,34,.226,16
3,9,.315,1,46,.238,17
0,1,.698,1,12,.419,5
0,2,.309,1,39,.228,5
0,0,--,0,0,--,0
0,2,.276,0,11,.241,3
1,1,.371,1,33,.181,5
1,10,.593,6,63,.362,13
1,1,.667,1,19,.362,9
0,0,.185,0,9,.111,3
4,13,.488,5,60,.285,14
3,4,.528,3,70,.312,27
2,3,.584,7,67,.319,26
0,0,.200,0,6,.200,2
2,5,.439,2,63,.307,12
3,1,.479,2,29,.302,10
2,21,.406,3,57,.257,29
0,2,.414,0,15,.328,3
2,0,.395,0,29,.286,4
0,0,.391,0,42,.263,16
2,1,.603,1,48,.333,19
0,0,.444,0,7,.296,2
0,4,.259,1,49,.222,9
2,3,.425,3,57,.271,17
2,3,.254,0,43,.175,14
0,0,.235,0,6,.176,3
2,6,.461,0,29,.322,16
2,1,.529,8,70,.285,13
1,1,.312,0,25,.260,4
5,24,.568,2,68,.353,36
0,0,.302,0,13,.209,2
0,2,.437,2,45,.272,19
0,5,.372,3,43,.255,16
0,0,.278,0,6,.222,0
2,28,.330,5,63,.270,39
0,2,.362,1,29,.333,6
1,0,.689,0,23,.369,2
0,1,.599,4,36,.289,12
2,7,.459,0,32,.275,28
1,15,.548,10,61,.327,26
0,3,.342,0,15,.289,1
0,1,.402,2,38,.299,11
0,4,.413,2,41,.293,28
3,7,.433,3,68,.285,34
0,0,1.000,0,2,1.000,1
2,0,.516,0,28,.341,4
0,0,.379,1,15,.241,3
5,1,.393,2,68,.240,33
4,1,.575,2,62,.355,13
1,0,.158,0,13,.158,4
1,0,.441,1,19,.220,1
0,5,.411,2,69,.285,30
1,7,.438,3,50,.254,13
1,0,.333,0,5,.333,1
0,7,.348,0,59,.266,14
5,8,.415,2,65,.265,27
1,14,.443,2,45,.307,5
2,6,.353,2,53,.249,11
1,3,.519,1,39,.315,3
1,0,.359,0,10,.256,2
0,7,.452,3,61,.251,19
0,0,.292,1,24,.181,0
0,4,.741,2,15,.397,5
2,1,.420,1,35,.244,12
3,10,.595,5,66,.316,13
3,2,.365,1,55,.254,22
3,7,.591,3,58,.326,28
0,0,.000,0,2,.000,1
1,22,.480,3,50,.250,18
0,24,.363,3,43,.242,22
0,0,.600,0,1,.400,1
3,1,.478,4,56,.348,17
1,14,.363,2,46,.242,17
1,0,.629,1,34,.308,10
6,4,.532,0,71,.295,29
0,1,.625,1,24,.354,5
0,7,.406,7,74,.248,14
0,0,.231,0,4,.154,2
1,11,.483,1,15,.333,7
0,4,.448,2,34,.219,13
3,2,.489,1,62,.318,20
3,4,.553,2,63,.282,10
0,1,.355,1,38,.262,11
0,2,.350,1,16,.200,6
1,1,.468,0,17,.355,1
2,1,.460,1,67,.279,46
1,3,.341,1,40,.203,12
0,1,.295,0,12,.227,3
0,1,.553,1,43,.264,20
0,0,1.000,0,2,1.000,0
