Supra Model,Black,Super White,Renaissance Red (3L2),AnthraciteMetallic,AlpineSilver,Baltic Blue Metallic,Jewel Green,Royal Saphire Pearl,QuicksilverFX,Imperial Jade Mica,Total by Model
1993 Turbo 6spd Hardtop,63,21,75,19,-,-,-,-,-,-,178
1993 Turbo 6spd Sport Roof,197,143,135,41,-,-,-,-,-,-,516
1993 Turbo Auto Sport Roof,431,198,249,114,-,-,-,-,-,-,992
1994 Turbo 6spd Hardtop,15,21,11,-,8,9,-,-,-,-,64
1994 Turbo 6spd Sport Roof,497,198,431,-,109,191,-,-,-,-,1426
1994 Turbo Auto Sports Roof,549,241,364,-,97,314,-,-,-,-,1565
1995 Turbo 6spd Hardtop,5,3,3,-,2,8,-,-,-,-,21
1995 Turbo 6spd Sports Roof,145,97,219,-,59,45,-,-,-,-,565
1995 Turbo Auto Sport Roof,157,46,194,-,46,21,-,-,-,-,464
1996 Turbo Auto Sport Roof,27,19,31,-,-,-,11,-,-,-,88
1997 Turbo 6spd Sport Roof,376,96,276,-,69,-,102,21,-,-,940
1997 Turbo Auto Sport Roof,157,74,179,-,46,-,55,34,-,-,545
1998 Turbo 6spd Sport Roof,94,68,119,-,-,-,-,10,24,14,329
1998 Turbo Auto Sport Roof,84,26,28,-,-,-,-,16,9,10,173
Total Colors ->,2797,1251,2314,174,436,588,168,81,33,24,7866
