Tm,BLK%,USG%,DRtg,AST%,Rk,ORB%,TRB%
DEN,0.0,9.4,99,0.0,48,11.1,26.1
DEN,0.0,17.3,123,5.7,17,13.3,20.6
DEN,7.0,20.1,99,0.0,15,27.2,29.5
DEN,4.9,12.6,87,6.8,39,24.1,26.6
DEN,11.0,14.8,106,0.0,40,9.2,9.4
DEN,4.1,14.2,86,0.0,34,19.6,22.7
DEN,3.6,17.7,86,0.0,3,11.9,17.2
DEN,12.3,15.9,99,0.0,29,21.1,23.7
DEN,0.0,9.8,114,8.0,47,12.9,17.5
DEN,5.6,14.1,111,21.6,31,7.4,11.1
DEN,3.5,7.9,116,0.0,35,6.5,9.9
DEN,4.8,18.1,95,0.0,11,15.0,23.0
DEN,7.4,18.7,71,0.0,22,19.4,17.6
DEN,0.0,0.0,68,0.0,1,0.0,16.7
DEN,5.4,13.3,102,9.3,43,25.2,27.8
DEN,0.0,19.9,125,0.0,6,21.4,29.9
DEN,3.9,17.5,91,0.0,42,19.0,16.8
DEN,0.0,16.3,103,0.0,37,25.7,22.5
DEN,10.4,5.5,116,0.0,41,0.0,0.0
DEN,3.8,12.1,116,0.0,27,4.9,9.6
DEN,10.8,19.9,91,0.0,32,26.8,31.7
DEN,0.0,15.6,125,0.0,24,0.0,0.0
DEN,0.0,3.5,107,0.0,14,0.0,5.1
DEN,0.0,17.0,121,9.3,28,17.1,17.5
DEN,9.6,11.5,108,7.1,30,20.6,18.9
DEN,0.0,19.1,75,9.8,46,0.0,20.4
DEN,0.0,44.5,119,0.0,8,0.0,0.0
