Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,Won,Lost,Draw,%,Opposition,Match Date
1,0,1,0,0,0,0,0,1,0,0,100.0,v Tonga,5 Jun 2012
2,1,1,0,0,0,0,0,2,0,0,100.0,v Fiji,10 Jun 2012
3,2,1,0,0,0,0,0,3,0,0,100.0,v Japan,17 Jun 2012
4,3,1,0,0,0,0,0,3,1,0,75.0,v Scotland,23 Jun 2012
5,4,1,0,0,0,0,0,4,1,0,80.0,v Canada,9 Nov 2012
6,5,1,0,0,0,0,0,5,1,0,83.33,v Wales,16 Nov 2012
7,6,1,0,0,0,0,0,5,2,0,71.42,v France,24 Nov 2012
8,7,1,0,0,0,0,0,5,3,0,62.5,v New Zealand,8 Jul 2015
9,8,1,0,0,0,0,0,6,3,0,66.66,v USA,18 Jul 2015
10,9,1,10,2,0,0,0,6,3,1,65.0,v Fiji,24 Jul 2015
11,10,1,10,2,0,0,0,7,3,1,68.18,v Canada,29 Jul 2015
