POS,AB,R,H,BB,SH,SB,OBP,SF
1B,69,8,13,8,0,2,.273,0
RF,42,3,9,0,0,2,.233,0
2B,67,10,16,10,2,1,.342,1
SS,88,12,22,18,2,0,.374,1
1B,121,12,29,18,4,4,.336,1
1B,92,10,20,15,0,1,.333,0
SS,71,23,35,5,0,5,.532,1
1B,14,3,7,3,0,0,.611,0
C,14,2,1,6,0,2,.381,0
CF,119,26,36,5,0,2,.344,1
SS,141,28,41,15,0,15,.377,1
3B,37,6,9,3,0,0,.300,0
2B,30,5,9,6,1,0,.417,0
CF,92,18,23,11,1,8,.330,0
LF,90,15,19,11,2,2,.305,2
C,51,6,9,2,0,0,.236,0
CF,126,26,33,19,2,9,.356,1
2B,165,25,43,16,1,6,.328,3
SS,10,3,3,1,0,0,.364,0
OF,14,1,3,1,0,0,.313,0
2B,9,2,4,2,0,2,.500,1
RF,77,5,6,8,0,1,.193,0
CF,128,16,27,16,2,4,.318,0
OF,8,1,2,0,0,0,.222,1
CF,113,22,34,28,0,21,.441,1
RF,54,14,13,6,0,8,.328,0
2B,12,3,5,4,1,1,.563,0
CF,41,5,9,4,0,3,.283,1
LF,24,3,5,1,0,1,.231,1
2B,2,0,0,0,0,0,.000,0
3B,7,1,1,1,0,0,.250,0
OF,12,3,4,0,0,2,.333,0
SS,171,28,32,8,1,5,.224,3
1B,84,22,18,22,0,1,.382,2
1B,11,0,3,0,0,0,.273,0
C,175,19,36,13,2,0,.271,1
3B,151,25,44,6,0,2,.337,1
SS,30,6,4,10,0,1,.350,0
C,78,8,17,12,0,0,.330,0
2B,91,13,19,11,0,1,.305,1
CF,237,54,67,21,1,14,.345,3
C,116,18,37,16,0,4,.416,1
RF,104,16,21,9,0,8,.265,0
2B,147,23,33,16,5,6,.312,5
C,4,0,0,0,0,0,.000,0
DH,115,18,23,14,0,2,.282,2
P,0,0,0,0,0,0,--,0
OF,30,10,12,6,0,1,.500,0
3B,136,28,48,15,0,1,.419,2
RF,56,14,13,7,0,4,.323,1
C,103,16,29,5,0,1,.312,1
1B,181,34,53,16,0,10,.352,1
OF,127,24,31,18,3,8,.360,0
P,0,0,0,0,0,0,--,0
OF,7,2,0,3,0,0,.250,2
1B,100,19,31,11,0,0,.375,1
C,33,3,9,2,0,1,.314,0
CF,82,11,18,5,1,7,.281,0
1B,14,3,9,3,0,0,.706,0
SS,183,27,50,19,0,7,.341,2
2B,44,10,8,5,0,3,.265,0
LF,115,16,27,10,0,1,.289,3
CF,44,10,7,16,2,2,.383,0
2B,125,16,29,19,1,5,.349,1
P,0,0,0,0,0,0,--,0
C,109,16,28,3,0,3,.277,0
3B,122,13,21,12,0,2,.246,0
SS,156,20,41,8,4,13,.320,0
1B,102,16,33,12,0,1,.391,1
LF,131,26,24,23,0,6,.325,1
C,22,7,6,1,0,1,.360,0
LF,138,21,37,18,1,8,.370,1
LF,39,8,10,10,1,4,.408,0
OF,20,6,8,0,0,0,.429,0
RF,18,0,4,1,0,1,.263,0
C,37,5,5,3,0,0,.220,0
C,57,10,14,11,0,2,.371,1
SS,192,26,50,14,3,5,.314,2
1B,4,0,0,0,0,0,.000,0
SS,152,34,32,35,4,5,.352,5
LF,154,27,47,13,0,6,.381,2
P,0,1,0,1,0,0,1.000,0
3B,20,1,3,2,0,0,.227,0
2B,137,17,48,16,1,4,.422,0
LF,173,21,46,17,0,4,.342,0
SS,14,2,3,1,0,2,.267,0
3B,97,13,24,6,2,11,.298,0
2B,152,29,46,15,6,14,.373,0
RF,17,4,3,2,0,0,.263,0
2B,183,26,52,11,0,6,.335,0
LF,5,1,2,0,0,0,.400,0
RF,205,41,48,20,4,16,.310,1
RF,104,15,18,8,0,0,.239,0
SS,21,1,3,0,0,0,.143,0
SS,74,11,19,11,1,0,.353,0
LF,59,12,13,3,1,1,.266,1
2B,59,11,15,13,1,4,.389,0
3B,66,15,17,10,1,8,.390,1
3B,182,29,43,31,0,0,.368,2
2B,61,4,11,4,0,5,.242,0
LF,22,6,5,5,0,0,.370,0
RF,120,20,27,18,0,3,.356,1
SS,48,12,11,11,1,1,.373,0
C,37,7,9,8,0,0,.391,0
LF,18,6,4,5,0,0,.417,0
1B,212,29,68,19,0,7,.374,3
C,67,13,13,5,0,0,.304,1
DH,20,0,2,1,0,1,.143,0
OF,48,4,9,4,0,0,.245,1
OF,88,22,26,9,0,22,.379,2
C,39,10,14,8,0,3,.469,1
C,21,8,11,5,0,0,.615,0
1B,110,11,25,9,0,0,.286,0
RF,97,15,20,10,1,1,.280,0
CF,190,37,59,6,4,30,.328,4
2B,74,11,24,9,1,3,.402,2
2B,190,31,42,18,1,11,.302,0
C,51,8,8,10,1,1,.295,0
CF,143,37,43,23,0,16,.401,0
1B,62,10,17,5,0,4,.324,3
CF,185,26,45,25,4,7,.346,0
C,113,22,34,6,0,1,.375,1
C,169,37,51,37,0,3,.439,2
C,26,4,6,5,0,1,.364,1
2B,55,5,11,10,0,0,.323,0
1B,11,2,2,2,0,0,.308,0
C,113,12,32,8,0,0,.333,3
1B,177,29,50,16,0,0,.345,2
RF,201,40,53,37,0,5,.383,2
C,9,4,5,2,1,0,.636,0
SS,120,25,36,12,1,7,.378,0
RF,156,20,40,14,0,3,.320,1
C,19,1,4,2,0,1,.286,0
SS,116,33,37,18,1,20,.406,3
C,71,17,16,12,0,1,.341,1
SS,173,25,45,16,3,4,.326,0
