TOV%,DRB%,STL%,G,MP
50.0,0.0,0.0,41,18:00
0.0,0.0,0.0,47,11:00
16.7,24.6,0.0,46,15:00
14.3,5.3,2.4,13,22:00
50.0,0.0,0.0,32,3:00
50.0,11.5,5.0,31,11:00
28.6,0.0,0.0,16,18:00
 ,29.3,0.0,27,4:00
40.0,27.3,0.0,22,12:00
50.0,0.0,0.0,5,5:00
0.0,21.6,0.0,21,5:00
 ,0.0,0.0,45,1:00
100.0,0.0,18.8,17,3:00
0.0,0.0,0.0,38,6:00
0.0,19.0,2.5,40,23:00
0.0,0.0,0.0,28,5:00
28.6,19.5,0.0,43,12:00
33.3,62.3,7.6,48,7:00
 ,0.0,0.0,36,2:00
51.5,0.0,0.0,19,3:00
 ,0.0,0.0,35,1:00
0.0,61.5,0.0,2,4:00
0.0,12.5,0.0,10,7:00
 ,0.0,0.0,7,7:00
16.8,22.5,0.0,18,26:00
