Team,iFenwick,FirstA/60,Shots/60,Points/60,iCorsi,Player Name,A,GP,#
Ottawa,97,1.36,9.98,4.38,172,"KARLSSON, ERIK",23,99,39
Tampa Bay,49,1.25,8.78,3.01,70,"CARLE, MATT",9,130,52
San Jose,111,1.47,11.60,3.67,176,"BOYLE, DAN",19,121,22
Philadelphia,102,2.90,10.29,4.64,155,"TIMONEN, KIMMO",28,122,35
Philadelphia,63,0.61,7.67,2.02,100,"MACDONALD, ANDREW",7,130,64
Colorado,60,1.64,11.68,2.80,87,"JOHNSON, ERIK",10,111,21
Calgary,28,1.16,5.21,3.77,41,"RUSSELL, KRIS",8,101,72
Dallas,75,1.84,8.91,3.69,118,"GOLIGOSKI, ALEX",21,128,50
NY Rangers,53,1.01,10.13,2.53,80,"MCDONAGH, RYAN",8,124,37
Calgary,86,1.00,12.15,4.18,125,"GIORDANO, MARK",14,111,15
Winnipeg,41,0.55,5.49,3.29,72,"ENSTROM, TOBIAS",14,104,71
New Jersey,88,0.79,10.28,3.64,137,"ZIDLICKY, MAREK",15,129,36
St. Louis,54,1.90,8.53,4.03,80,"BOUWMEESTER, JAY",15,129,54
Dallas,60,1.41,8.09,4.04,98,"GONCHAR, SERGEI",21,121,60
Columbus,93,0.60,9.26,3.44,127,"JOHNSON, JACK",16,126,44
Nashville,131,1.20,13.19,5.39,176,"WEBER, SHEA",22,127,10
Nashville,71,1.38,9.17,2.94,104,"JOSI, ROMAN",15,120,46
Toronto,77,1.21,7.84,3.62,130,"PHANEUF, DION",21,128,61
Buffalo,48,0.26,8.60,1.30,75,"MCBAIN, JAMIE",3,109,53
Anaheim,78,0.95,10.86,3.62,114,"FOWLER, CAM",14,107,32
St. Louis,82,1.58,9.63,3.85,133,"PIETRANGELO, ALEX",17,128,43
Boston,84,0.62,11.99,3.72,108,"CHARA, ZDENO",6,125,18
Tampa Bay,53,1.19,9.06,3.58,77,"HEDMAN, VICTOR",13,119,47
Vancouver,101,1.09,13.39,3.80,174,"EDLER, ALEXANDER",12,108,8
Calgary,95,0.62,13.23,3.10,135,"WIDEMAN, DENNIS",9,92,9
Vancouver,44,1.21,7.04,2.19,63,"HAMHUIS, DAN",9,126,65
Minnesota,89,1.31,8.13,3.67,147,"SUTER, RYAN",23,130,58
Buffalo,55,0.78,9.84,2.59,78,"MYERS, TYLER",7,101,40
Washington,116,1.89,14.93,4.63,160,"CARLSON, JOHN",22,130,5
Arizona,144,2.23,12.07,4.57,208,"YANDLE, KEITH",31,130,17
Calgary,37,1.55,6.45,3.10,67,"BRODIE, TJ",11,128,67
Boston,52,1.19,12.55,2.99,80,"HAMILTON, DOUGIE",6,106,14
Toronto,75,1.57,10.62,4.70,120,"FRANSON, CODY",24,124,34
Detroit,67,0.51,11.94,2.79,98,"KINDL, JAKUB",10,107,20
Chicago,96,1.35,11.31,4.22,167,"KEITH, DUNCAN",20,126,26
Pittsburgh,32,0.81,5.65,4.31,53,"MARTIN, PAUL",13,73,70
Edmonton,82,0.80,8.97,3.36,127,"SCHULTZ, JUSTIN",17,122,48
Pittsburgh,108,1.51,13.40,3.21,141,"NISKANEN, MATT",14,121,7
Chicago,50,0.62,8.11,3.74,63,"LEDDY, NICK",12,130,59
Carolina,70,0.24,13.83,1.94,103,"FAULK, JUSTIN",7,114,6
