SLG,2B,POS,SH,R,3B
.387,9,SS,3,33,2
.361,6,CF,6,35,2
.338,19,CF,0,36,1
.405,43,2B,4,99,3
.322,9,CF,4,66,2
--,0,P,0,0,0
.661,9,OF,0,9,2
.344,5,CF,3,23,3
.280,6,CF,7,25,1
--,0,P,0,0,0
.306,15,C,1,19,0
.292,0,3B,2,8,1
.264,4,2B,4,4,0
.344,6,C,2,25,1
.316,7,2B,3,25,0
.307,5,SS,9,13,0
.367,10,3B,5,32,4
.319,1,OF,2,2,0
.091,0,C,0,2,0
.196,3,3B,0,7,0
.363,6,C,0,12,0
.315,9,RF,1,13,0
.249,17,CF,3,40,0
.364,1,2B,0,3,0
.395,9,OF,2,20,1
.000,0,P,0,0,0
.530,17,2B,3,76,11
.401,37,OF,4,69,6
.495,14,2B,2,29,1
.382,23,RF,0,48,2
.315,19,C,6,40,0
.303,22,LF,0,45,1
.559,24,2B,0,70,1
.402,15,OF,3,54,8
.000,0,3B,0,0,0
.344,6,OF,0,11,1
.331,9,OF,0,14,1
.331,16,3B,0,47,1
.267,7,SS,3,12,0
.443,18,1B,0,37,2
.328,20,OF,5,51,2
.344,18,SS,7,57,2
.590,26,C,3,55,2
.363,10,SS,2,45,5
.543,19,OF,0,70,12
.230,3,OF,0,6,0
.359,16,CF,1,62,6
.348,11,CF,4,33,2
.097,1,OF,0,3,0
.256,7,C,0,20,0
.363,14,SS,3,36,2
.233,5,3B,2,12,0
.279,9,OF,5,48,2
.423,6,C,0,8,1
.262,1,RF,0,5,0
.231,1,C,0,1,0
.242,6,OF,5,76,3
.284,20,3B,1,54,1
.500,1,2B,2,4,2
.456,26,RF,0,62,2
.405,25,1B,1,31,0
.311,7,3B,2,26,3
.323,12,RF,6,34,2
.280,1,OF,1,5,1
.230,0,C,2,7,0
.333,0,C,0,2,0
.339,18,DH,0,42,1
.308,3,1B,0,10,0
.494,24,C,0,35,1
.335,12,C,3,29,1
1.071,1,C,0,4,0
.346,24,3B,0,51,1
.210,3,C,5,13,0
.403,13,1B,1,22,1
.264,5,2B,0,8,0
.176,1,C,0,4,0
.245,3,C,0,6,0
.384,13,1B,3,35,2
.526,4,1B,0,7,0
.327,15,3B,0,36,1
.173,3,1B,0,6,0
.400,1,OF,0,4,0
.280,9,OF,5,27,0
.511,36,1B,0,84,3
.323,18,LF,7,65,8
.619,22,C,0,47,1
.850,3,2B,0,4,0
.176,2,OF,0,1,0
.417,2,RF,0,6,0
.355,19,2B,18,46,1
.452,22,1B,0,68,1
.345,18,LF,1,42,5
.271,5,C,1,10,0
.334,22,3B,1,57,4
.303,2,SS,2,15,0
.398,13,3B,0,55,1
.413,25,3B,0,63,2
.610,19,3B,0,82,5
.180,2,3B,0,8,0
--,0,P,0,0,0
.384,20,C,1,48,1
.356,12,DH,0,23,0
.523,11,1B,0,10,0
.353,2,OF,0,3,0
.423,25,RF,0,33,5
.205,1,2B,0,5,0
.271,1,SS,2,5,0
.354,8,2B,4,22,3
.396,19,OF,3,75,2
.455,29,OF,6,52,1
.424,14,3B,0,35,0
.500,1,C,0,0,0
.288,13,2B,6,23,0
.303,6,C,3,12,0
.390,3,C,0,9,0
.277,16,SS,14,46,0
.356,19,SS,4,30,2
.399,9,OF,2,26,0
.222,1,RF,0,1,0
.248,7,C,0,8,0
.286,18,3B,0,50,2
.265,1,2B,2,5,0
.273,6,SS,3,12,0
.284,15,3B,1,19,1
.455,1,2B,0,4,0
.360,12,RF,2,22,1
.287,8,C,10,11,0
.452,22,C,0,63,1
--,0,P,0,0,0
.443,17,RF,3,49,5
.560,3,2B,0,4,0
.324,8,RF,0,19,0
.461,6,CF,2,36,3
.397,14,OF,0,22,4
.326,18,2B,2,48,1
.000,0,C,0,0,0
.303,2,3B,3,16,1
.306,7,CF,2,33,3
.453,37,RF,0,75,2
--,0,P,0,1,0
.289,3,C,0,5,0
.246,10,C,1,23,0
.000,0,P,0,0,0
.565,2,LF,0,4,0
.352,22,OF,2,57,1
.263,2,C,0,1,0
.398,21,CF,0,51,4
.382,5,OF,1,11,2
.286,5,C,2,8,1
.222,1,SS,1,3,0
.371,18,SS,9,72,8
.297,2,OF,1,10,1
.267,0,CF,2,2,2
.494,16,1B,0,40,1
.370,10,SS,3,32,2
.360,20,3B,4,40,0
.474,5,1B,0,19,0
.100,0,2B,0,1,0
.345,18,SS,7,75,3
.220,5,SS,3,23,0
.314,6,2B,5,16,1
.259,1,RF,0,2,0
.292,3,SS,1,19,1
1.200,0,OF,0,2,0
.458,4,SS,0,11,0
.348,11,1B,3,45,0
--,0,P,0,0,0
.169,0,1B,0,5,1
.515,33,SS,6,83,0
.100,0,2B,0,0,0
.338,11,1B,1,29,2
.536,22,OF,0,47,3
.264,3,RF,1,12,0
.333,2,C,2,5,0
.284,10,2B,4,22,0
.329,13,LF,0,28,0
