ORB%,TS%,eFG%,AST%,TRB%,USG%,DRB%
0.0,.750,.750,0.0,0.0,16.2,0.0
7.3,.333,.333,0.0,15.4,18.4,24.5
14.6,.500,.500,0.0,11.1,13.4,7.5
0.0, , ,0.0,0.0,11.2,0.0
16.7,.375,.375,0.0,15.0,27.3,13.6
0.0,.667,.667,26.1,15.0,22.7,30.8
13.2,.333,.333,0.0,12.6,29.7,12.1
0.0, , ,0.0,0.0,0.0,0.0
0.0,.872,.833,0.0,0.0,18.0,0.0
24.5,.000,.000,0.0,15.0,22.4,0.0
20.0,.694,.500,0.0,19.5,22.6,19.0
0.0,.000,.000,0.0,0.0,46.3,0.0
5.0,.680,.700,7.8,18.3,13.5,33.0
8.7,1.031,1.000,0.0,16.0,15.0,27.3
0.0,1.000,1.000,0.0,12.8,28.8,25.3
0.0,1.000,1.000,0.0,6.1,4.3,11.5
0.0,.725,.333,13.5,5.3,20.7,10.9
0.0, , ,0.0,0.0,0.0,0.0
11.8,.500,.500,0.0,22.2,22.6,31.6
0.0,.521,.500,0.0,0.0,21.4,0.0
0.0,.387,.333,0.0,0.0,24.0,0.0
