POS,HR,CS,Team,H,SF,R,GIDP,AB,Player
1B,0,0,WM,0,0,0,0,4,J Meador
1B,3,1,LAN,29,2,20,2,91,K Nolan
3B,8,3,KC,63,1,27,5,205,R Stovall
3B,15,5,BEL,93,2,56,12,276,J Perez
1B,10,4,CLI,122,4,49,16,509,M Wiswall
1B,24,3,PEO,146,5,62,9,472,R Jones
1B,0,2,KC,10,0,2,1,44,F Cruz
3B,20,2,DAY,127,6,85,6,454,D Vidal
3B,6,0,LAN,54,4,35,11,283,B Namba
3B,0,0,WM,18,0,10,1,61,J Ashenbrenner
1B,10,2,CR,124,6,54,13,482,R Alvarez
1B,16,0,WM,123,2,55,12,490,J Robbins
3B,8,0,KC,80,4,33,4,300,C Cuthbert
1B,15,0,BEL,119,7,66,9,412,M Gonzales
1B,17,2,BUR,129,1,67,13,396,J Whitaker
3B,0,1,CR,34,1,23,6,158,J Campos
3B,8,4,GL,78,3,31,7,336,J Bosnik
3B,1,2,GL,41,2,17,8,186,C Henderson
1B,8,4,DAY,92,5,47,6,322,D D'Anna
1B,13,1,BUR,78,0,45,7,325,A Kirby-Jones
3B,20,5,QC,99,3,67,8,394,J Rodriguez
3B,4,0,LAN,69,4,33,3,258,M Nuzzo
1B,0,1,PEO,20,1,8,5,108,B May
3B,1,3,QC,59,2,29,0,246,P Elkins
3B,14,0,BUR,103,5,46,9,397,T Thompson
3B,3,0,CR,22,1,7,4,97,B Hernandez
3B,6,5,BUR,99,1,72,12,421,N Leyja
1B,2,0,PEO,52,4,25,5,198,R Cuneo
1B,4,0,LAN,120,3,65,12,480,K Hobson
3B,0,1,LAN,27,1,10,6,94,B Fuenmayor
1B,31,0,SB,114,4,68,13,461,Y Arbelo
1B,0,1,KC,6,0,2,1,26,S Caseres
3B,4,6,KC,95,1,49,6,382,A Franco
3B,7,2,WM,158,6,65,5,507,N Castellanos
3B,15,5,WIS,101,0,54,8,369,M Walker
1B,6,4,WIS,111,3,56,9,377,C Hawn
1B,8,0,FW,93,4,48,5,275,C Powers
1B,5,2,PEO,92,5,34,6,293,G Rohan
