score,hr,Date,era,l,2b,er,bb,ibb
3-0,0,"Apr 30, 2011",4.61,21,1,0,1,0
8-1,0,"Apr 05, 2011",4.33,14,1,1,1,0
9-8,2,"Apr 08, 2011",4.3,14,1,6,2,0
4-3,0,"Feb 26, 2011",4.76,4,2,1,4,0
7-12,0,"Apr 10, 2011",4.52,15,3,12,3,1
4-5,0,"Apr 22, 2011",4.77,20,0,5,2,1
3-6,0,"Feb 18, 2011",6.75,1,2,6,1,0
5-6,2,"Mar 04, 2011",5.49,7,1,5,5,0
6-15,3,"Mar 22, 2011",4.88,12,1,15,10,0
7-2,1,"Apr 16, 2011",4.49,17,2,2,2,0
3-2,1,"May 26, 2011",5.13,29,1,2,3,0
2-7,0,"Feb 19, 2011",6.75,2,1,6,5,0
8-6,1,"Apr 23, 2011",4.75,20,0,4,2,0
2-5,1,"Apr 20, 2011",4.76,19,1,5,4,0
3-4,0,"May 06, 2011",4.54,22,2,3,7,1
1-2,0,"Mar 19, 2011",4.29,10,1,2,0,0
0-3,0,"May 07, 2011",4.52,23,1,3,1,0
2-3,1,"May 28, 2011",4.99,30,1,3,4,0
5-12,4,"May 14, 2011",4.84,26,2,12,2,0
2-4,0,"Feb 25, 2011",5.57,4,1,4,2,0
6-4,1,"Feb 23, 2011",6.0,3,0,3,4,0
8-6,2,"Mar 08, 2011",5.11,8,1,6,4,0
0-10,1,"May 25, 2011",5.19,29,2,8,2,1
310-357,49,Totals,4.9,32,87,310,215,10
