PB,Rtot,RF/G,GS,Tm,Ch,Fld%,CS,CS%,CG,Rtot/yr
1,0,0.00,0,CHC,0, ,0, ,0,0
4,4,4.48,56,SDP,321,.991,23,35%,41,10
3,0,3.61,30,SDP,151,.980,9,33%,17,0
10,-7,5.97,92,PIT,594,.975,26,28%,89,-10
1,0,5.10,17, ,103,.985,6,33%,14,0
0,0,3.50,1,CHC,14,1.000,0,0%,1,0
1,11,5.68,147,MON,874,.989,58,42%,136,10
12,7,6.10,96,CIN,660,.989,35,42%,69,10
1,0,3.80,3,SDP,20,.950,2,67%,0,0
8,10,5.64,134,NYM,807,.985,52,38%,127,10
4,-5,5.32,32,SFG,202,.975,8,17%,25,-22
0,-1,0.00,0,SFG,0, ,0, ,0,-600
8,0,5.50,25,NYM,168,.982,14,36%,18,0
2,2,5.53,104,SFG,651,.986,43,33%,94,3
0,2,2.68,11,PHI,83,1.000,3,50%,8,19
1,-2,4.89,14,PIT,88,1.000,2,12%,13,-19
1,-1,5.00,9,STL,51,.980,2,29%,6,-17
4,-3,4.22,15,LAD,137,.985,2,10%,12,-21
2,-2,5.12,34,STL,217,.991,11,26%,21,-8
6,-1,4.57,16,ATL,99,.970,12,48%,14,-8
2,12,4.70,72,LAD,433,.988,35,47%,58,23
0,-6,5.35,26,SFG,172,.965,3,8%,19,-30
0,1,3.00,3,NYM,15,1.000,3,100%,2,60
14,-13,5.23,53,ATL,326,.979,9,14%,44,-33
9,0,5.52,103,TOT,631,.989,31,31%,80,0
1,4,5.50,34,PHI,188,.995,16,53%,14,19
0,-1,4.00,0,PHI,4,1.000,0,0%,0,-300
5,1,6.22,46,HOU,319,.994,18,33%,41,3
