Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 2,vs. Saint Benedict (Minn.),"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Mar 2,vs. Saint Benedict (Minn.),"W, 8-4",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Bethany College (W.V.),"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Oswego State (N.Y.),"W, 15-1",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Benedictine Univ. (Ill.),"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Wellesley (Mass.),"W, 10-4",-,-,-,-,-,-,-,-,-,-,-
Mar 19,vs. Tufts University (Mass.),"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 19,vs. Mass.-Boston,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. SUNY-Geneseo,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Mar 21,vs. Plymouth St. (N.H.),"W, 15-0",1,0,0,-,-,-,0,-,-,-,-
Mar 22,vs. Allegheny (Pa.),"W, 10-2",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Ramapo (N.J.),"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 29,vs. Gustavus Adolphus (Minn.),"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Simpson College (Iowa),"L, 4-1",-,-,-,-,-,-,-,-,-,-,-
Mar 30,vs. Central (Iowa),"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,vs. UW-Stevens Point,"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 6,vs. UW-Superior,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 7,vs. UW-Stevens Point,"W, 8-3",-,-,-,-,-,-,-,-,-,-,-
Apr 7,vs. UW-Superior,"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 20,vs. UW-La Crosse,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 20,vs. UW-La Crosse,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at UW-Stout,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at UW-Stout,"W, 12-9",-,-,-,-,-,-,-,-,-,-,-
Apr 26,UW-River Falls,"W, 12-4",-,-,-,-,-,-,-,-,-,-,-
Apr 26,UW-River Falls,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at UW-Whitewater,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at UW-Whitewater,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 28,UW-Platteville,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 28,UW-Platteville,"W, 12-1",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at UW-Oshkosh,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at UW-Oshkosh,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
May 5,vs. UW-Stout,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
May 5,vs. UW-Whitewater,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
May 9,vs. North Central (Ill.),"L, 12-10",-,-,-,-,-,-,-,-,-,-,-
May 10,vs. Benedictine Univ. (Ill.),"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
May 11,at UW-Whitewater,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
May 11,vs. Carthage College (Wis.),"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
