Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 21,vs. Dowling,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 21,vs. Molloy,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 22,vs. Caldwell,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Feb 23,vs. Felician,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Feb 23,vs. Pfeiffer,"W, 4-3",0,0,0,-,-,-,0,-,-,-,-
Mar 1,at Queens (N.Y.), ,-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Queens (N.Y.), ,-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Queens (N.Y.), ,-,-,-,-,-,-,-,-,-,-,-
Mar 8,at Pace, ,-,-,-,-,-,-,-,-,-,-,-
Mar 9,vs. Pace,"L, 16-2",0,0,0,-,-,-,0,-,-,-,-
Mar 9,vs. Pace,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. Molloy,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. Caldwell,"W, 10-2",0,0,0,-,-,-,0,-,-,-,-
Mar 17,vs. Dowling, ,-,-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Pace, ,-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. Caldwell, ,-,-,-,-,-,-,-,-,-,-,-
Mar 19,at Barton, ,-,-,-,-,-,-,-,-,-,-,-
Mar 20,at Queens (N.Y.),"L, 5-2",0,0,0,-,-,-,0,-,-,-,-
Mar 21,at Felician,"L, 5-3",0,0,0,-,-,-,0,-,-,-,-
Mar 22,vs. Southern Conn. St.,"W, 6-0",-,-,-,-,-,-,-,-,-,-,-
Mar 22,vs. Southern Conn. St.,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at New Haven,"L, 13-1",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at New Haven,"W, 10-3",0,0,0,-,-,-,0,-,-,-,-
Mar 27,vs. American Int'l,"W, 11-10",0,0,0,-,-,-,0,-,-,-,-
Mar 29,vs. St. Anselm,"L, 6-5",0,0,0,-,-,-,0,-,-,-,-
Mar 30,vs. St. Anselm,"W, 16-2",-,-,-,-,-,-,-,-,-,-,-
Mar 30,vs. St. Anselm,"W, 9-8",0,0,0,-,-,-,0,-,-,-,-
Apr 2,at Bentley,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 3,Assumption,"L, 16-11",0,0,0,-,-,-,0,-,-,-,-
Apr 5,St. Rose,"L, 10-7",0,0,0,-,-,-,0,-,-,-,-
Apr 5,St. Rose,"W, 10-5",-,-,-,-,-,-,-,-,-,-,-
Apr 6,Le Moyne,"L, 18-4",-,-,-,-,-,-,-,-,-,-,-
Apr 6,Le Moyne,"W, 14-7",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at American Int'l,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at Bentley,"L, 6-5",0,0,0,-,-,-,0,-,-,-,-
Apr 12,at #29 Franklin Pierce,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at #29 Franklin Pierce,"W, 12-4",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at #29 Franklin Pierce,"L, 5-4",0,0,0,-,-,-,0,-,-,-,-
Apr 16,at Assumption,"L, 10-7",0,0,0,-,-,-,0,-,-,-,-
Apr 18,#12 Southern N.H.,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 19,#12 Southern N.H.,"W, 11-1",-,-,-,-,-,-,-,-,-,-,-
Apr 24,#10 Southern N.H.,"L, 7-5",0,0,0,-,-,-,0,-,-,-,-
Apr 26,at St. Michael's,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at St. Michael's,"W, 12-1",-,-,-,-,-,-,-,-,-,-,-
Apr 27,at St. Michael's,"W, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 29,Assumption,"W, 7-6",0,0,0,-,-,-,0,-,-,-,-
Apr 30,Bentley,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
May 2,at Stonehill,"W, 3-2",0,0,0,-,-,-,0,-,-,-,-
May 2,at Stonehill,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
May 3,at Stonehill,"L, 8-7",-,-,-,-,-,-,-,-,-,-,-
