AVG,POS,H,HR,Player,3B,G,OBP
.248,3B,63,9,H Wrigley,1,62,.280
.279,2B,107,5,T Kuhn,6,109,.345
.246,SS,75,4,M Gonzalez,3,86,.284
.220,1B,68,12,M Fields,0,87,.291
.214,SS,3,0,R Hudson,0,4,.353
.667,SS,2,0,N Franklin,0,1,.750
.317,C,86,5,S Clevenger,0,88,.367
--,C,0,0,C Tanabe,0,1,--
.297,C,43,2,J Sucre,1,38,.301
.244,1B,67,6,M Saccomanno,2,70,.280
.000,C,0,0,A Salome,0,2,.000
.254,3B,17,3,R Wheeler,0,19,.315
.241,C,20,1,C McMurray,0,30,.276
.239,C,11,2,A Garabedian,0,19,.327
.302,1B,147,14,J Limonta,2,132,.377
.333,C,14,2,L Oliveros,0,15,.420
.270,SS,89,4,C De La Cruz,4,94,.324
.277,SS,154,2,D Gordon,10,133,.332
.260,3B,102,13,T Green,1,113,.336
.202,C,54,3,C Hatcher,1,84,.261
.240,3B,100,11,D Linares,1,109,.279
.229,1B,11,1,D Yount,0,34,.327
.286,C,2,0,I Paxton,0,3,.286
.000,C,0,0,K Skipworth,0,2,.125
.313,C,47,4,C Denove,0,48,.383
.241,C,19,1,B Bantz,1,24,.294
.223,3B,46,7,J Vitters,0,63,.292
.275,SS,132,11,Z Wheeler,2,135,.382
.302,SS,156,5,O Martinez,4,130,.372
.257,C,47,2,M Rivera,0,58,.384
.452,C,19,0,J Lucroy,0,10,.500
1.000,SS,2,0,A Amezaga,0,1,1.000
.400,C,2,0,A Herrnberger,0,2,.400
.313,C,15,1,S McGill,0,13,.340
.181,SS,26,0,S O'Malley,3,44,.289
.196,3B,32,2,M Sweeney,0,46,.263
.196,C,20,3,J Price,0,35,.268
.276,C,87,8,C Armstrong,0,97,.370
.251,3B,42,8,K Casto,0,49,.358
.262,3B,61,1,N Samson,1,84,.307
.253,C,59,3,B Yarbrough,0,82,.309
.276,2B,111,11,T Thomas,11,116,.338
.183,2B,13,1,R Flaherty,0,23,.286
.222,C,37,2,D Buller,3,50,.303
.333,C,1,0,N Wilson,0,2,.333
.287,1B,102,21,R Canzler,4,112,.372
.385,3B,10,0,P Baez,0,7,.448
.091,C,1,0,T Scott,0,4,.231
.307,C,133,8,V Rottino,1,116,.384
.182,C,12,3,M Spring,0,19,.243
.273,1B,70,6,D Anderson,2,74,.365
.000,C,0,0,H Jimenez,0,1,.000
.211,C,20,1,A De La Rosa,0,28,.240
.222,SS,6,0,M Rojas,0,7,.276
.161,SS,33,1,J Wald,1,72,.262
.188,SS,15,0,J Fuller,2,25,.283
.265,C,18,3,M Wallach,0,24,.381
.272,1B,25,1,J Ruiz,1,23,.358
.267,2B,117,8,E Duncan,5,119,.323
.252,3B,127,14,M Dominguez,2,138,.333
