Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 15,at Texas,"L, 6-5",4,1,0,-,-,-,1,1,-,1,-
Feb 16,at Texas,"W, 5-3",4,1,2,-,-,-,1,1,-,-,-
Feb 17,at Texas,"L, 6-3",4,0,0,-,-,-,0,-,-,-,-
Feb 19,at Fresno State, ,-,-,-,-,-,-,-,-,-,-,-
Feb 22,UC Riverside,"L, 2-1",1,0,1,-,-,-,0,-,-,-,-
Feb 23,UC Riverside,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 23,UC Riverside,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Feb 24,UC Riverside,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Feb 26,Nevada,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Mar 1,Utah Valley,"W, 1-0",3,1,1,-,-,-,0,-,-,-,-
Mar 2,Utah Valley,"L, 6-4",4,1,0,-,-,-,0,-,1,-,-
Mar 3,Utah Valley,"W, 10-3",4,0,0,-,-,-,1,1,-,1,-
Mar 5,at UC Davis,"W, 14-0",5,2,3,2,-,-,2,-,-,-,-
Mar 8,Cal State Northridge,"W, 4-3",4,1,2,1,-,-,0,-,1,-,-
Mar 9,Cal State Northridge,"L, 5-3",4,1,2,-,-,-,0,1,1,-,-
Mar 10,Cal State Northridge,"W, 9-6",4,2,2,1,-,1,3,-,-,-,-
Mar 12,at Saint Mary's,"W, 10-0",4,1,1,-,-,-,2,1,-,-,-
Mar 15,at UC Santa Barbara,"L, 5-0",3,0,0,-,-,-,0,-,1,-,-
Mar 16,at UC Santa Barbara,"L, 5-4",4,1,2,-,-,-,0,-,1,-,-
Mar 17,at UC Santa Barbara,"W, 13-7",5,1,1,-,-,-,0,-,2,-,-
Mar 19,at Saint Mary's,"W, 9-7",4,1,1,-,-,1,3,-,1,-,-
Mar 22,CSU Bakersfield,"L, 4-2",3,1,3,-,-,-,0,1,-,-,-
Mar 23,CSU Bakersfield,"W, 5-0",3,2,1,-,-,-,0,-,-,1,-
Mar 24,CSU Bakersfield,"L, 6-3",5,1,1,-,-,-,0,-,-,-,-
Mar 26,Fresno State,"L, 3-2",4,1,1,-,-,-,0,1,-,-,-
Mar 28,at Dallas Baptist,"L, 10-0",3,0,0,-,-,-,0,-,1,-,-
Mar 29,at Dallas Baptist,"L, 6-3",4,0,1,1,-,-,2,-,1,-,-
Mar 30,at Dallas Baptist,"W, 11-7",4,0,1,-,-,-,2,1,1,-,-
Apr 2,UC Davis,"W, 6-4",4,1,2,-,-,-,0,-,-,-,-
Apr 3,San Francisco,"L, 8-4",4,0,0,-,-,-,0,-,1,-,-
Apr 5,Texas State,"W, 3-2",3,0,0,-,-,-,0,1,-,-,-
Apr 6,Texas State,"W, 7-5",5,2,2,1,-,-,1,-,-,-,-
Apr 7,Texas State,"W, 1-0",4,0,0,-,-,-,0,-,-,-,-
Apr 9,Simpson,"W, 7-0",5,0,2,-,-,-,1,-,-,-,-
Apr 12,at New Mexico State,"L, 5-4",4,1,1,-,-,-,0,-,1,-,-
Apr 13,at New Mexico State,"W, 16-4",4,2,2,-,-,-,4,-,1,-,-
Apr 14,at New Mexico State,"W, 6-4",4,1,0,-,-,-,0,-,2,-,-
Apr 19,at Texas-San Antonio,"L, 7-2",3,0,0,-,-,-,0,1,-,-,-
Apr 20,at Texas-San Antonio,"W, 12-1",4,1,2,1,-,-,2,-,-,-,-
Apr 21,at Texas-San Antonio,"L, 8-5",4,1,1,-,-,1,1,-,1,-,-
Apr 23,Saint Mary's,"W, 3-0",3,0,0,-,-,-,0,-,-,-,-
Apr 24,at San Francisco,"W, 7-2",4,1,1,-,-,1,1,-,-,-,-
Apr 26,Louisiana Tech,"L, 5-4",4,0,1,-,-,-,0,-,2,-,-
Apr 27,Louisiana Tech,"W, 1-0",3,0,0,-,-,-,0,-,-,-,-
Apr 28,Louisiana Tech,"W, 4-1",4,2,3,-,-,1,2,-,-,-,-
Apr 30,at Nevada,"W, 7-6",4,1,1,-,-,1,4,-,1,-,-
May 3,at Seattle University,"W, 7-1",5,1,2,1,-,-,2,-,-,-,-
May 4,at Seattle University,"W, 6-4",4,1,1,-,-,1,2,-,-,-,-
May 5,at Seattle University,"L, 10-7",5,1,3,-,-,1,1,-,1,1,-
May 7,at UC Davis,"W, 4-3",4,0,2,-,-,-,0,-,1,-,1
May 10,San Jose State,"W, 4-1",4,0,1,-,-,-,1,-,-,-,-
May 11,San Jose State,"L, 8-6",4,0,1,-,-,-,2,-,1,-,-
May 12,San Jose State,"W, 3-2",3,0,0,-,-,-,0,1,-,-,-
May 14,at Pacific,"W, 3-1",4,1,2,-,-,-,0,-,-,-,-
May 16,UT Arlington,"L, 15-7",4,1,1,-,-,1,4,-,-,-,-
May 17,UT Arlington,"L, 3-2",4,0,1,-,-,-,1,-,1,-,-
May 18,UT Arlington,"L, 6-5",3,1,0,-,-,-,0,-,1,-,-
May 22,vs. UTSA,"L, 3-2",6,1,2,-,-,1,1,1,3,-,-
May 23,vs. CSU Bakersfield,"L, 7-1",4,0,1,1,-,-,0,-,-,-,-
May 25,vs. San Jose State,"W, 3-0",4,2,3,-,-,-,0,-,-,1,-
