SLG,H,Player,CS,OPS,SB,2B,AVG,GIDP,HR
0.341,10,T Pena,0,0.602,0,2,0.227,1,1
0.48,172,D Uggla,6,0.818,6,26,0.282,5,27
0.208,4,R Andino,0,0.394,1,1,0.167,0,0
0.49,104,J Valentin,2,0.82,6,24,0.271,5,18
0.381,169,F Lopez,12,0.739,44,27,0.274,9,11
0.212,5,O Robles,0,0.475,0,0,0.152,0,0
0.313,5,T De La Rosa,0,0.665,0,0,0.313,0,0
0.404,139,J Carroll,12,0.781,10,23,0.3,10,5
0.267,16,A Green,0,0.56,1,4,0.186,0,1
0.31,10,A Callaspo,1,0.607,0,1,0.238,0,0
0.343,60,N Perez,1,0.61,0,13,0.254,3,2
0.0,0,J Nelson,0,0.0,0,0,0.0,0,0
0.421,27,J Castro,1,0.741,0,5,0.284,0,2
0.398,123,T Walker,1,0.754,2,22,0.278,8,9
0.371,46,R Belliard,3,0.666,0,9,0.237,9,5
0.317,33,J Vizcaino,2,0.631,0,6,0.232,5,2
0.263,4,M Dorta,2,0.513,0,1,0.211,0,0
0.538,146,R Durham,2,0.898,7,30,0.293,17,26
0.37,148,J Wilson,3,0.686,4,27,0.273,15,8
0.487,194,J Reyes,17,0.841,64,30,0.3,6,19
0.379,65,K Matsui,1,0.689,10,12,0.267,1,3
0.341,117,R Clayton,6,0.648,14,30,0.258,11,2
0.527,203,C Utley,4,0.906,15,40,0.309,9,32
0.353,18,T Womack,1,0.695,1,3,0.265,0,1
0.237,8,D Sandoval,0,0.516,0,1,0.211,2,0
0.518,132,R Aurilia,0,0.867,3,25,0.3,10,23
0.267,32,J Lugo,5,0.545,6,5,0.219,2,0
0.517,66,S Drew,0,0.874,2,13,0.316,1,5
0.067,2,C Barnwell,0,0.163,1,0,0.067,0,0
0.345,33,E Bruntlett,1,0.695,3,8,0.277,2,0
