PF,SPG,#,APG,MPG,3P%,FG%,ORB,FTM,3PA
3.3,1.0,11,2.1,27.4,0.357,0.548,2.2,3.2,1.6
3.0,1.5,67,5.2,28.8,0.278,0.343,0.5,0.2,4.5
1.6,0.8,21,1.8,28.4,0.485,0.446,1.1,4.2,4.1
3.2,2.1,42,3.9,27.4,0.262,0.345,0.1,1.8,4.7
2.2,2.3,1,1.7,35.4,0.4,0.504,1.1,7.0,4.4
1.1,1.1,32,1.8,27.3,0.229,0.409,0.8,1.3,3.9
1.5,0.2,70,2.9,22.5,0.385,0.489,0.5,0.4,3.2
2.1,2.1,46,0.7,22.2,0.321,0.439,1.1,2.4,3.1
2.8,1.8,47,2.1,23.3,0.083,0.481,0.9,3.1,1.3
1.8,0.4,81,0.2,15.2,0.667,0.657,1.8,1.0,0.3
3.0,0.8,4,1.3,32.0,0.4,0.451,3.6,3.8,2.2
2.0,2.6,6,5.4,36.8,0.239,0.407,1.3,3.9,5.1
2.7,2.2,57,1.7,23.0,0.292,0.329,0.6,1.7,2.7
2.8,0.7,90,0.3,17.7,0.258,0.392,1.6,0.7,3.4
1.5,0.8,83,1.2,19.2,0.538,0.6,0.8,0.2,2.2
2.6,1.0,25,0.6,28.4,0.0,0.494,2.6,1.2,0.1
1.7,1.5,34,2.2,23.8,0.474,0.468,1.2,1.7,3.2
2.3,1.2,36,0.9,26.1,0.0,0.551,0.9,1.9,0.0
2.9,0.9,99,0.0,27.0,0.167,0.37,1.3,1.6,2.0
2.0,0.7,71,0.7,16.7,0.714,0.667,0.3,0.0,2.3
2.2,0.8,49,1.7,22.8,0.234,0.302,0.1,1.7,5.2
2.5,0.8,93,0.6,24.5,0.25,0.516,2.1,1.8,0.5
2.6,1.3,84,1.0,23.0,0.238,0.344,1.0,1.1,2.3
1.6,0.6,27,1.1,28.9,0.229,0.442,0.9,1.2,4.4
1.8,3.1,24,5.9,31.6,0.25,0.366,0.9,3.7,4.4
2.1,1.1,28,0.9,22.2,0.4,0.493,0.4,2.8,3.9
2.2,1.0,87,0.9,18.4,0.292,0.383,1.0,0.8,3.0
2.3,1.8,63,0.9,27.0,0.208,0.361,1.1,0.6,2.7
2.1,1.7,98,2.1,23.6,0.231,0.425,1.0,1.6,1.4
4.0,0.8,3,1.5,25.9,0.292,0.389,0.4,4.5,6.0
3.4,1.2,9,0.6,28.0,0.429,0.6,4.2,2.9,0.8
