Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G,AST,PIM
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Final Standings, ,11T,1984-02-07, ,0,1,4
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Group B,Match #3,2,1984-02-07,"TCH 10, NOR 4",0,0,0
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Group B,Match #6,2,1984-02-09,"FIN 16, NOR 2",0,0,0
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Group B,Match #8,1T,1984-02-11,"USA 3, NOR 3",0,0,0
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Group B,Match #10,2,1984-02-13,"CAN 8, NOR 1",0,0,2
1984 Winter,25,Sarajevo,Ice Hockey,Norway,NOR,Group B,Match #13,2,1984-02-15,"AUT 6, NOR 5",0,1,2
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Final Standings, ,9,1992-02-08, ,0,1,4
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Final Round,Match 9/10,1,1992-02-21,"NOR 5, SUI 2",0,0,2
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Classification 9-12,Match #1,1,1992-02-18,"NOR 5, ITA 3",0,0,0
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Group B,Match #2,2,1992-02-08,"TCH 10, NOR 1",0,0,0
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Group B,Match #4,2,1992-02-10,"EUN 8, NOR 1",0,0,0
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Group B,Match #7,2,1992-02-12,"CAN 10, NOR 0",0,0,0
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Group B,Match #11,2,1992-02-14,"SUI 6, NOR 3",0,1,0
1992 Winter,33,Albertville,Ice Hockey,Norway,NOR,Group B,Match #13,2,1992-02-16,"FRA 4, NOR 2",0,0,2
