H,SLG,BB,R,AVG,3B,SF,Player,Team,HR
83,.604,26,42,.353,2,5,M Holliday,STL,13
16,.275,5,11,.176,0,0,F Martinez,NYM,1
28,.400,5,12,.267,1,0,D McDonald,CIN,2
3,.176,2,1,.176,0,1,T Colvin,CHC,0
18,.253,11,8,.182,0,0,C Jackson,ARI,1
203,.551,57,113,.320,6,3,R Braun,MIL,32
180,.490,52,97,.297,7,6,M Kemp,LAD,26
132,.404,25,59,.290,8,6,G Parra,ARI,5
5,.300,5,6,.250,0,1,A De Aza,FLA,0
15,.261,5,6,.217,0,1,A Amezaga,FLA,0
111,.496,61,70,.260,0,2,J Willingham,WSH,24
27,.368,17,18,.255,0,0,E Hinske,PIT,1
4,.409,0,2,.182,0,2,J Hoffmann,LAD,1
79,.525,28,53,.284,7,3,C Gonzalez,COL,13
117,.392,27,57,.308,8,1,J Pierre,LAD,0
3,.214,1,2,.214,0,0,J Gathright,CHC,0
105,.487,25,54,.306,11,3,A Pagan,NYM,6
98,.384,33,46,.273,0,2,R Church,ATL,4
74,.476,22,42,.239,1,4,L Nix,CIN,15
70,.373,39,31,.275,3,2,C Dickerson,CIN,2
6,.280,0,1,.240,0,1,S Robinson,STL,0
102,.531,71,62,.290,2,1,M Ramirez,LAD,19
15,.316,13,8,.197,0,0,D Macias,SD,1
37,.514,18,24,.250,0,0,K Blanks,SD,10
141,.353,47,65,.262,5,8,R Winn,SF,2
4,.308,4,2,.308,0,0,B Jones,ATL,0
41,.533,16,30,.270,8,0,A Torres,SF,6
129,.447,41,63,.265,1,4,R Ludwick,STL,22
54,.393,12,26,.226,1,2,E Byrnes,ARI,8
162,.460,53,84,.321,6,1,C Coghlan,FLA,9
33,.383,11,18,.234,2,1,B Carroll,FLA,3
119,.407,36,72,.251,2,2,C Rasmus,STL,16
165,.472,58,76,.282,5,3,H Pence,HOU,25
4,.385,0,1,.308,0,0,M Jones,LAD,0
92,.400,59,54,.212,4,2,C Young,ARI,15
86,.387,26,50,.231,2,3,R Ankiel,STL,11
97,.285,18,56,.240,2,2,W Taveras,CIN,1
26,.328,14,13,.194,2,1,D Erstad,HOU,2
