Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,WPA,aLI,WPA+,WPA-,RE24,PO,A
Woodie Held SS,4,1,1,1,1,2,5,0.272,0.327,0.462,0.789,0.114,1.07,0.161,-0.047,0.7,2.0,3.0
Vic Power 1B,4,1,1,0,1,0,5,0.291,0.336,0.443,0.779,-0.1,1.61,0.073,-0.173,0.2,10.0,0.0
Tito Francona CF,3,0,0,0,0,1,4,0.339,0.386,0.532,0.918,-0.063,1.09,0.025,-0.087,-0.5,1.0,0.0
Rocky Colavito RF,2,0,0,0,2,1,4,0.296,0.372,0.614,0.986,0.064,0.92,0.096,-0.031,0.3,3.0,0.0
Minnie Minoso LF,4,1,0,0,0,0,4,0.298,0.364,0.489,0.853,-0.132,1.37,0.0,-0.132,-1.0,2.0,0.0
George Strickland 3B,4,1,1,1,0,0,4,0.283,0.34,0.42,0.76,0.087,1.23,0.178,-0.092,0.8,1.0,3.0
Dick Brown C,2,1,0,0,2,0,4,0.278,0.381,0.417,0.798,-0.056,1.42,0.036,-0.092,-0.0,3.0,0.0
Billy Martin 2B,3,0,0,0,0,1,3,0.239,0.278,0.396,0.674,-0.116,1.17,0.0,-0.116,-1.0,2.0,3.0
Willie Jones PH,1,0,1,0,0,0,1,0.27,0.342,0.46,0.802,0.082,2.13,0.082,0.0,0.3, , 
Carroll Hardy PR,0,0,0,0,0,0,0,0.107,0.167,0.107,0.274,0.0,0.0,0.0,0.0,0.0, , 
Bobby Locke P,2,1,1,3,0,0,2,0.5,0.5,2.0,2.5,0.268,1.57,0.293,-0.025,2.4,0.0,2.0
Mike Garcia P,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.025,0.99,0.0,-0.025,-0.2,0.0,0.0
Jim Perry P,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granny Hamner PH,1,0,0,0,0,1,1,0.255,0.296,0.412,0.708,-0.093,3.88,0.0,-0.093,-0.3, , 
Team Totals,31,6,5,5,6,7,38,0.161,0.297,0.452,0.749,0.03,1.35,0.944,-0.913,1.4,24.0,11.0
