Date,Age,TRB%,ORB%,G,GmSc,USG%,TS%
1990-01-26,34-224,7.4,0.0,18,4.4,5.7,1.000
1989-11-22,34-159,19.1,10.7,9,2.1,12.3,.425
1990-03-28,34-285,0.0,0.0,41,-0.8,0.0, 
1990-04-18,34-306,0.0,0.0,47,2.3,18.4,.500
1990-03-06,34-263,12.4,30.8,34,1.6,17.0,.000
1989-11-03,34-140,13.7,4.1,1,0.4,6.9,.200
1989-11-11,34-148,16.2,4.4,5,3.0,15.1,.750
1990-03-24,34-281,7.0,7.1,39,2.9,7.9,.532
1990-01-15,34-213,8.6,4.0,12,3.9,9.5,.500
1990-04-03,34-291,11.4,22.9,43,3.8,8.5,1.000
1990-03-17,34-274,0.0,0.0,35,-1.1,7.3,.000
1990-02-03,34-232,21.3,11.5,21,4.5,8.3,1.000
1990-02-27,34-256,0.0,0.0,31,-0.7,7.9,.000
1989-11-17,34-154,20.7,19.3,8,7.0,8.4,.615
1990-02-14,34-243,8.9,0.0,25,-1.8,12.1,.000
1989-11-14,34-151,15.3,11.3,6,7.9,6.9,.515
1990-04-11,34-299,8.5,0.0,46,-0.1,0.0, 
1990-01-20,34-218,15.7,5.6,15,2.9,5.1,.000
1990-03-23,34-280,9.6,6.8,38,5.4,10.2,.667
1990-01-13,34-211,14.9,5.9,11,2.3,11.6,.387
1990-01-24,34-222,7.3,13.6,17,-1.0,10.7,.000
1990-03-02,34-259,9.8,0.0,32,2.9,3.6,1.000
