ORB%,USG%,Age,Date,ORtg,eFG%,DRtg
10.5,27.7,32-009,2006-02-09,66,.500,107
0.0,22.1,31-312,2005-12-09,81,.333,90
0.0,35.1,32-071,2006-04-12,109,.500,108
0.0,16.4,31-319,2005-12-16,105,1.000,127
6.4,23.8,32-006,2006-02-06,59,.143,114
0.0,32.3,31-313,2005-12-10,45,.500,114
0.0,19.8,31-308,2005-12-05,70,.333,119
0.0,25.1,31-303,2005-11-30,112,.500,109
0.0,0.0,32-046,2006-03-18,214, ,74
0.0,15.0,31-359,2006-01-25,0,.000,103
19.7,17.9,31-302,2005-11-29,84,.333,92
6.6,19.6,32-076,2006-04-17,134,.500,118
0.0,19.2,32-067,2006-04-08,65,.500,113
0.0,21.6,32-004,2006-02-04,91,.667,119
0.0,17.3,32-050,2006-03-22,161,.667,108
10.3,15.9,31-343,2006-01-09,153,.500,118
0.0,22.2,31-350,2006-01-16,137,.800,103
0.0,14.2,31-320,2005-12-17,187, ,103
7.4,36.9,32-008,2006-02-08,60,.273,110
36.0,13.0,32-025,2006-02-25,61,.000,118
13.4,24.5,31-355,2006-01-21,102,.500,88
6.5,32.2,31-336,2006-01-02,139,.875,93
34.4,30.9,31-317,2005-12-14,136,.500,107
0.0,10.7,31-362,2006-01-28,124,1.000,103
10.5,19.2,32-000,2006-01-31,121,.667,116
0.0,14.7,32-073,2006-04-14,74,1.000,113
0.0,19.8,31-352,2006-01-18,49,.200,109
0.0,13.6,32-001,2006-02-01,0,.000,103
0.0,7.6,32-033,2006-03-05,0,.000,106
