SLG,GB%,Age,SB,LD%,BA,PA,BABIP,G,K%
0.63,38.2%,20.17,6,16.1%,0.349,365,0.407,80,20.8%
0.216,52.6%,24.33,1,15.5%,0.198,125,0.24,32,16.8%
0.193,34.5%,23.08,3,13.8%,0.11,124,0.182,35,41.9%
0.421,51.3%,24.08,31,14.5%,0.271,499,0.378,119,29.9%
0.398,36.2%,23.75,16,15.9%,0.272,294,0.333,68,17.3%
0.489,43.6%,22.25,13,11.1%,0.288,436,0.352,94,22.7%
0.582,32.0%,21.58,20,15.2%,0.332,218,0.467,50,27.1%
0.41,41.8%,22.42,8,11.4%,0.262,416,0.33,94,24.8%
0.386,54.5%,23.0,3,11.6%,0.258,155,0.296,40,14.8%
0.321,46.2%,24.33,2,12.8%,0.245,111,0.329,29,27.0%
0.206,54.0%,24.83,0,11.2%,0.177,210,0.203,56,11.4%
0.453,34.7%,24.17,5,21.4%,0.299,409,0.356,95,19.6%
0.467,45.2%,20.17,4,8.6%,0.267,125,0.315,29,21.6%
0.384,38.1%,24.33,5,12.5%,0.223,256,0.293,65,27.3%
0.335,53.5%,21.67,9,12.4%,0.244,302,0.285,72,17.2%
0.533,44.6%,22.42,3,16.2%,0.282,214,0.311,50,23.4%
0.553,45.8%,24.33,0,14.5%,0.333,138,0.423,32,23.9%
0.58,40.1%,20.83,4,13.6%,0.317,249,0.349,53,18.5%
0.292,44.1%,22.5,2,12.8%,0.204,314,0.255,76,21.3%
0.493,38.4%,24.75,2,14.7%,0.295,348,0.358,82,19.8%
0.332,41.3%,24.33,19,16.0%,0.272,468,0.324,105,14.7%
0.484,34.5%,23.75,1,14.3%,0.293,277,0.337,66,18.1%
0.452,46.2%,23.5,9,12.7%,0.294,228,0.351,53,17.5%
0.53,35.4%,23.5,4,17.8%,0.303,577,0.417,132,32.8%
0.397,36.9%,23.42,7,14.9%,0.268,586,0.301,131,16.6%
0.414,33.4%,22.0,0,16.0%,0.249,387,0.265,93,16.3%
0.417,35.6%,21.75,7,19.1%,0.272,362,0.366,86,27.9%
0.661,37.1%,22.33,1,19.5%,0.361,214,0.361,47,11.7%
0.419,44.2%,22.75,8,10.6%,0.261,348,0.364,82,30.5%
0.426,45.3%,22.33,18,14.6%,0.304,492,0.354,114,15.9%
0.256,55.6%,21.83,0,16.2%,0.195,138,0.247,40,24.6%
0.371,31.5%,25.67,1,13.7%,0.204,223,0.225,56,21.5%
0.466,51.1%,20.5,18,11.9%,0.305,579,0.371,131,22.5%
0.356,56.8%,22.92,9,9.0%,0.236,250,0.254,63,15.6%
0.372,29.4%,24.0,9,18.9%,0.227,414,0.33,107,32.4%
0.516,41.6%,21.83,5,13.5%,0.3,478,0.326,107,15.9%
0.377,37.7%,25.17,6,13.6%,0.241,243,0.34,62,30.5%
0.435,50.8%,22.33,6,13.6%,0.272,416,0.33,105,21.6%
0.362,59.2%,23.75,14,10.7%,0.238,159,0.316,40,22.6%
0.431,44.8%,21.75,4,11.5%,0.263,566,0.331,130,26.5%
0.449,50.5%,23.33,1,16.5%,0.327,115,0.358,34,11.3%
0.298,41.7%,25.08,0,11.9%,0.202,132,0.275,35,25.0%
0.41,48.9%,22.42,13,20.9%,0.292,215,0.37,50,18.1%
0.427,41.0%,22.58,15,12.7%,0.267,483,0.297,119,17.2%
0.55,34.7%,21.67,31,12.3%,0.294,455,0.373,96,25.5%
0.475,50.0%,21.08,40,10.6%,0.327,261,0.4,55,18.4%
0.428,46.1%,22.42,0,13.5%,0.285,600,0.304,136,13.2%
0.423,45.2%,23.83,0,14.8%,0.273,317,0.327,81,18.6%
0.311,42.6%,22.25,11,19.4%,0.246,172,0.32,46,22.7%
0.411,36.4%,23.75,4,14.5%,0.241,427,0.296,97,23.7%
0.367,40.1%,21.08,3,15.5%,0.233,428,0.298,108,26.2%
0.464,36.2%,21.75,4,14.9%,0.348,124,0.419,28,16.9%
0.438,47.8%,20.08,4,12.8%,0.293,602,0.335,131,15.1%
0.415,38.2%,23.67,16,13.8%,0.272,316,0.335,74,21.2%
0.282,34.3%,22.58,0,12.7%,0.215,212,0.244,54,15.6%
0.404,37.5%,21.92,16,15.1%,0.256,547,0.335,127,27.4%
0.382,52.4%,23.67,9,11.7%,0.295,195,0.362,42,18.5%
0.476,41.4%,23.17,8,15.5%,0.3,313,0.33,69,15.7%
0.384,41.8%,24.0,9,13.7%,0.233,477,0.27,115,21.8%
0.337,45.1%,20.0,16,13.3%,0.238,470,0.285,114,17.2%
0.461,34.8%,22.58,10,11.9%,0.272,267,0.297,66,16.5%
0.295,45.6%,23.75,4,14.2%,0.214,399,0.267,107,21.3%
0.415,39.2%,23.08,9,11.9%,0.267,214,0.353,49,25.7%
0.379,33.6%,24.42,3,9.5%,0.243,357,0.317,89,26.6%
0.494,42.4%,23.5,3,16.7%,0.279,278,0.321,67,19.8%
0.218,48.7%,22.0,11,13.2%,0.218,100,0.268,26,17.0%
0.506,49.3%,23.92,6,15.5%,0.318,100,0.353,23,14.0%
