IAP,G,IGP,#,Points
43.9,9,22.0,146,27
36.0,20,40.0,19,38
42.4,11,33.3,47,25
59.3,4,14.8,93,20
41.8,15,27.3,139,38
38.0,12,24.0,34,31
45.9,10,27.0,116,27
43.5,5,21.7,92,15
37.9,7,24.1,108,18
18.5,7,25.9,21,12
47.8,13,19.4,159,45
41.4,8,27.6,141,20
22.0,10,24.4,23,19
35.7,9,21.4,138,24
44.4,7,19.4,106,23
39.4,15,22.7,142,41
18.4,19,38.8,16,28
26.0,11,22.0,11,24
35.7,5,11.9,154,20
45.2,12,28.6,35,31
51.5,4,6.1,168,38
34.8,7,30.4,44,15
37.5,17,30.4,78,38
0.0,7,35.0,29,7
18.4,13,34.2,30,20
33.3,6,33.3,6,12
16.3,10,23.3,43,17
44.7,6,15.8,115,23
49.1,15,26.3,95,43
29.6,26,36.6,24,47
25.6,10,25.6,40,20
50.0,8,25.0,58,24
31.2,6,37.5,136,11
24.5,16,32.7,63,28
42.5,8,20.0,157,25
54.5,7,21.2,129,25
28.9,9,23.7,13,20
53.7,9,16.7,131,38
29.0,8,25.8,74,17
41.2,5,14.7,121,19
52.3,9,20.5,137,32
36.4,5,22.7,114,13
38.7,17,27.4,94,41
37.9,7,24.1,53,18
47.5,11,27.5,2,30
17.4,6,26.1,90,10
21.4,12,42.9,17,18
24.4,14,31.1,46,25
33.3,9,20.0,76,24
35.6,12,26.7,118,28
58.7,9,19.6,14,36
8.3,9,37.5,65,11
33.9,18,32.1,60,37
25.7,4,11.4,149,13
39.4,7,21.2,20,20
46.5,9,20.9,100,29
25.0,6,37.5,145,10
47.8,6,13.0,156,28
37.5,11,22.9,48,29
46.9,4,12.5,167,19
38.9,11,20.4,104,32
47.1,22,31.4,86,55
39.5,5,11.6,125,22
40.0,6,24.0,81,16
36.4,7,21.2,59,19
46.7,7,23.3,69,21
28.1,14,43.8,22,23
48.6,5,14.3,155,22
13.9,12,33.3,54,17
24.3,14,37.8,26,23
30.3,9,27.3,57,19
53.3,4,13.3,160,20
25.6,10,23.3,3,21
16.2,9,24.3,107,15
56.5,2,8.7,166,15
34.4,5,15.6,162,16
15.2,14,30.4,45,21
20.8,7,29.2,97,12
43.8,3,9.4,163,17
13.7,22,43.1,4,29
24.5,18,36.7,9,30
22.0,19,32.2,15,32
10.0,12,40.0,12,15
52.1,3,6.2,165,28
22.6,9,29.0,109,16
53.3,6,20.0,144,22
56.1,8,19.5,75,31
37.5,6,15.0,122,21
24.1,22,37.9,25,36
50.0,9,25.0,147,27
46.9,10,31.2,117,25
22.6,13,21.0,37,27
26.7,5,16.7,161,13
48.5,4,12.1,153,20
48.1,8,29.6,73,21
