Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:55 AM,75.0 °F,-,71.1 °F,87%,29.94 in,10.0 mi,Calm,Calm,-, , ,Clear
1:55 AM,73.9 °F,-,71.1 °F,91%,29.93 in,10.0 mi,Calm,Calm,-, , ,Clear
2:55 AM,75.0 °F,-,71.1 °F,87%,29.91 in,10.0 mi,Calm,Calm,-, , ,Clear
3:55 AM,75.0 °F,-,72.0 °F,90%,29.91 in,10.0 mi,Calm,Calm,-, , ,Clear
4:55 AM,75.9 °F,-,72.0 °F,87%,29.92 in,10.0 mi,Calm,Calm,-, , ,Clear
5:55 AM,75.9 °F,-,73.0 °F,91%,29.92 in,10.0 mi,South,3.5 mph,-, , ,Clear
6:55 AM,75.9 °F,-,73.0 °F,91%,29.93 in,10.0 mi,Calm,Calm,-, , ,Partly Cloudy
7:55 AM,77.0 °F,-,73.9 °F,90%,29.95 in,10.0 mi,Calm,Calm,-, , ,Scattered Clouds
8:55 AM,81.0 °F,86.2 °F,73.9 °F,79%,29.95 in,10.0 mi,West,6.9 mph,-, , ,Clear
9:55 AM,84.9 °F,92.1 °F,73.9 °F,69%,29.94 in,10.0 mi,West,12.7 mph,17.3 mph, , ,Scattered Clouds
10:55 AM,86.0 °F,93.0 °F,73.0 °F,65%,29.93 in,10.0 mi,West,11.5 mph,18.4 mph, , ,Mostly Cloudy
11:55 AM,89.1 °F,93.7 °F,69.1 °F,52%,29.91 in,10.0 mi,WSW,11.5 mph,23.0 mph, , ,Partly Cloudy
12:55 PM,88.0 °F,91.4 °F,68.0 °F,51%,29.90 in,10.0 mi,West,13.8 mph,19.6 mph, , ,Scattered Clouds
1:55 PM,78.1 °F,-,70.0 °F,76%,29.91 in,10.0 mi,North,10.4 mph,23.0 mph,0.00 in,Rain,Light Rain
2:55 PM,88.0 °F,93.8 °F,71.1 °F,57%,29.88 in,10.0 mi,NNW,15.0 mph,23.0 mph,0.00 in, ,Clear
3:55 PM,87.1 °F,92.0 °F,70.0 °F,57%,29.88 in,10.0 mi,NE,9.2 mph,-, , ,Mostly Cloudy
4:44 PM,78.8 °F,-,71.6 °F,78%,29.89 in,10.0 mi,SE,13.8 mph,-, ,Thunderstorm,Thunderstorm
4:55 PM,78.1 °F,-,71.1 °F,79%,29.90 in,10.0 mi,SSE,15.0 mph,-, ,Thunderstorm,Thunderstorm
5:14 PM,77.0 °F,-,69.8 °F,78%,29.90 in,10.0 mi,SSW,12.7 mph,-,0.00 in,"Rain , Thunderstorm",Light Thunderstorms and Rain
5:21 PM,75.2 °F,-,71.6 °F,89%,29.92 in,1.8 mi,Variable,4.6 mph,19.6 mph,0.17 in,"Rain , Thunderstorm",Thunderstorms and Rain
5:26 PM,73.4 °F,-,71.6 °F,94%,29.91 in,0.8 mi,SE,5.8 mph,-,0.33 in,"Rain , Thunderstorm",Heavy Thunderstorms and Rain
5:44 PM,73.4 °F,-,71.6 °F,94%,29.91 in,1.2 mi,SE,12.7 mph,-,0.70 in,"Rain , Thunderstorm",Heavy Thunderstorms and Rain
5:50 PM,73.4 °F,-,71.6 °F,94%,29.90 in,2.0 mi,SSE,10.4 mph,-,0.74 in,"Rain , Thunderstorm",Heavy Thunderstorms and Rain
5:55 PM,73.0 °F,-,71.1 °F,93%,29.91 in,1.5 mi,South,9.2 mph,-,0.83 in,"Rain , Thunderstorm",Heavy Thunderstorms and Rain
6:06 PM,73.4 °F,-,71.6 °F,94%,29.90 in,3.0 mi,SSE,8.1 mph,-,0.03 in,"Rain , Thunderstorm",Light Thunderstorms and Rain
6:16 PM,73.4 °F,-,71.6 °F,94%,29.91 in,6.0 mi,SE,5.8 mph,-,0.05 in,Rain,Rain
6:55 PM,73.0 °F,-,71.1 °F,93%,29.91 in,10.0 mi,SSE,3.5 mph,-,0.12 in,"Rain , Thunderstorm",Light Thunderstorms and Rain
7:11 PM,71.6 °F,-,71.6 °F,100%,29.89 in,8.0 mi,South,4.6 mph,-,0.00 in,Rain,Light Rain
7:55 PM,73.0 °F,-,71.1 °F,93%,29.90 in,6.0 mi,SW,5.8 mph,-,0.06 in,Rain,Rain
8:55 PM,73.0 °F,-,71.1 °F,93%,29.89 in,10.0 mi,Calm,Calm,-,0.10 in,Rain,Light Rain
9:55 PM,73.0 °F,-,71.1 °F,93%,29.91 in,10.0 mi,Calm,Calm,-,0.00 in, ,Scattered Clouds
10:55 PM,73.0 °F,-,71.1 °F,93%,29.93 in,10.0 mi,Calm,Calm,-,0.00 in,Rain,Light Rain
11:41 PM,71.6 °F,-,71.6 °F,100%,29.86 in,10.0 mi,South,12.7 mph,-,0.01 in,Rain,Light Rain
11:55 PM,72.0 °F,-,71.1 °F,97%,29.85 in,10.0 mi,SSW,10.4 mph,-,0.01 in, ,Mostly Cloudy
