GmSc,DRtg,AST%,MP,TS%,BLK%,Tm,TRB%,ORB%
-0.1,92,20.0,5:00,.000,0.0,DEN,10.2,0.0
8.7,107,0.0,20:00,.654,3.2,DEN,9.5,14.4
6.6,102,0.0,15:00,.735,4.6,DEN,7.4,8.0
0.7,87,0.0,3:00, ,22.5,DEN,0.0,0.0
3.4,126,0.0,16:00,.667,4.1,DEN,8.3,16.2
3.1,93,0.0,14:00,.396,0.0,DEN,21.7,25.1
6.4,113,0.0,14:00,.773,0.0,DEN,13.4,17.6
-1.1,108,0.0,7:00,.266,0.0,DEN,0.0,0.0
8.3,93,0.0,18:00,.699,0.0,DEN,15.0,19.0
0.6,105,0.0,5:00, ,0.0,DEN,22.6,0.0
1.0,98,0.0,20:00,.333,0.0,DEN,18.0,6.9
7.6,91,0.0,19:00,.628,0.0,DEN,14.0,19.4
0.8,78,0.0,10:00,.000,0.0,DEN,11.6,10.0
-1.1,108,0.0,5:00,.000,0.0,DEN,0.0,0.0
10.4,100,0.0,13:00,.850,0.0,DEN,12.4,17.6
-0.7,126,23.4,5:00,.000,0.0,DEN,12.5,24.0
0.3,99,0.0,3:00, ,0.0,DEN,17.2,0.0
0.0,118,0.0,3:00, ,0.0,DEN,0.0,0.0
-0.7,105,0.0,3:00,.000,0.0,DEN,0.0,0.0
-0.1,111,24.0,5:00,.000,0.0,DEN,13.3,0.0
1.7,110,13.8,11:00,.333,0.0,DEN,5.0,8.2
