Opp,DRtg,TRB%,AST%,STL%,eFG%
NJN,89,29.9,0.0,0.0,.500
PHO,114,18.8,0.0,0.0,.000
NJN,102,0.0,0.0,0.0,.750
LAC,92,14.4,10.1,0.0,.591
PHO,119,4.1,20.6,0.0,.556
DEN,119,10.1,14.3,6.5,.200
UTA,102,3.9,8.5,0.0,.500
LAC,109,0.0,0.0,0.0,.000
UTA,114,7.1,20.7,0.0,.333
BOS,118,9.5,33.3,0.0,.500
DEN,103,3.5,9.6,3.0,.500
SEA,117,0.0,34.0,0.0,.000
IND,111,7.3,15.0,0.0,.333
MIL,137,7.2,7.4,0.0,.417
NYK,93,0.0,0.0,13.7, 
SAC,94,4.7,8.7,2.6,.333
CHI,119,0.0,0.0,0.0,.000
MIA,105,10.9,22.0,0.0,.333
PHI,104,0.0,0.0,0.0,.000
GSW,99,0.0,24.5,10.8,.000
HOU,111,12.9,0.0,0.0,.750
ATL,118,0.0,0.0,0.0, 
UTA,128,3.2,7.1,0.0,.429
MIL,117,0.0,0.0,0.0, 
WSB,97,0.0,23.2,0.0,.200
LAC,115,0.0,0.0,0.0, 
ORL,103,4.0,10.3,0.0,.400
SEA,113,0.0,0.0,0.0,.200
MIN,110,20.2,0.0,0.0,.667
