iFenwick,iFenwick/60,A,G
149,5.31,13,6
123,4.98,15,4
370,9.30,44,31
409,9.71,55,41
159,5.19,9,3
419,14.72,18,22
300,11.57,20,11
285,5.01,31,17
176,5.55,17,1
273,7.28,27,17
180,5.82,22,6
259,6.16,34,23
239,7.11,9,3
229,3.85,24,4
353,9.61,39,29
166,2.98,20,6
492,11.43,56,36
215,5.71,13,4
353,7.88,37,29
633,11.64,62,52
352,9.66,20,21
391,6.39,35,14
390,8.67,54,32
429,7.31,30,13
191,8.31,21,9
292,4.65,39,6
353,6.80,24,10
312,8.08,34,14
236,4.43,33,4
386,9.90,41,29
261,5.07,33,4
291,10.03,23,14
342,9.30,35,30
258,5.36,23,4
103,4.49,4,2
261,8.41,17,19
216,8.46,16,10
451,9.95,41,32
620,11.53,60,52
185,5.31,14,5
257,9.99,34,17
239,5.54,31,5
257,7.17,33,27
187,3.95,33,8
474,10.43,63,47
70,3.17,7,1
239,5.41,47,24
289,5.11,31,9
372,6.63,34,13
378,7.14,34,6
104,3.89,12,2
137,4.69,9,7
291,6.13,35,7
422,11.86,55,31
350,9.40,43,28
112,3.85,14,2
102,3.06,9,0
452,8.42,42,21
306,8.65,28,17
225,8.39,27,17
116,4.74,17,5
231,8.07,14,12
278,5.11,34,6
357,8.97,55,23
185,6.16,25,15
670,11.42,48,17
241,4.62,32,7
434,9.49,25,40
510,11.95,45,25
467,10.62,49,40
192,5.01,33,5
367,8.54,62,33
220,6.00,32,16
127,5.63,6,4
434,9.39,44,27
315,6.04,44,10
382,8.10,45,32
449,9.77,50,28
181,4.49,33,6
355,6.30,34,10
287,8.02,41,21
267,9.36,41,20
413,9.03,60,32
345,8.60,34,24
402,8.28,75,39
187,7.33,26,13
359,9.97,37,16
223,3.98,24,5
556,8.54,41,16
418,11.25,33,18
487,13.35,43,32
397,9.39,49,23
603,12.74,74,45
175,4.24,21,2
196,5.24,21,7
324,11.59,32,25
396,6.70,36,7
268,6.13,28,4
368,8.41,27,30
91,3.02,6,4
119,4.38,8,4
256,6.17,21,10
336,12.97,16,18
382,7.34,39,11
72,3.26,9,4
462,9.59,52,40
147,6.04,7,6
464,11.40,32,33
245,4.33,32,3
406,11.41,27,22
425,11.91,38,23
768,14.21,64,54
211,7.89,17,20
319,7.95,26,20
473,10.59,47,41
209,4.23,26,4
438,10.32,57,34
231,9.06,15,14
139,4.73,17,1
420,6.80,44,10
664,12.52,49,51
186,4.02,23,3
195,5.36,28,2
558,13.50,54,35
415,12.39,31,21
426,9.26,33,32
172,6.53,17,15
267,6.41,17,8
535,8.41,53,13
323,5.34,26,12
160,4.16,21,4
360,10.80,26,23
419,10.33,29,26
241,4.72,29,1
406,8.09,36,11
315,11.11,28,18
348,5.64,41,13
319,5.19,67,4
221,7.57,16,10
280,12.63,13,14
265,9.88,18,13
216,6.92,20,15
267,6.65,38,7
250,4.85,30,4
140,6.71,19,11
477,9.56,39,32
365,8.99,51,20
183,5.44,20,7
622,13.04,49,38
277,8.28,24,15
318,8.07,16,23
237,10.54,18,17
277,9.06,33,20
254,8.25,29,12
276,12.42,18,10
305,10.53,18,21
315,6.48,21,6
279,8.21,30,16
574,15.53,35,25
126,5.68,10,3
444,12.46,34,31
118,5.29,13,2
393,6.30,28,10
581,11.27,49,36
338,9.70,21,27
249,8.86,29,22
807,15.32,58,49
233,4.15,30,2
446,12.06,36,32
309,5.74,38,9
446,12.47,37,36
344,9.60,19,19
272,7.92,29,18
593,14.29,50,45
295,10.60,18,19
200,3.34,30,4
218,7.95,13,3
240,5.30,26,9
437,11.61,29,23
419,9.74,36,22
372,13.15,23,16
407,10.12,40,24
225,7.37,10,5
469,8.03,45,13
325,4.93,32,12
169,4.19,17,3
260,8.28,27,19
211,7.90,21,4
215,4.30,31,3
97,2.61,11,2
389,11.42,22,9
284,8.04,46,27
246,5.50,32,6
491,9.17,26,8
239,6.52,45,22
341,6.80,70,24
256,5.23,30,8
445,10.93,45,35
322,9.44,33,19
97,3.06,9,4
317,7.94,31,27
249,4.98,29,5
377,9.37,24,29
612,14.00,19,37
356,7.08,29,10
103,4.75,12,2
501,12.60,28,49
114,4.58,15,2
515,12.85,24,24
296,5.58,37,17
369,9.41,36,25
248,6.68,47,16
351,12.44,20,11
291,7.03,34,27
398,11.35,33,27
449,9.83,38,35
174,5.11,17,5
568,11.23,41,44
250,10.19,25,27
377,7.39,75,18
235,8.50,13,7
503,11.12,61,57
220,6.45,23,9
391,10.84,23,19
189,8.49,19,14
493,12.27,39,29
102,3.48,8,1
102,4.27,13,0
428,11.32,38,22
188,4.35,23,4
198,8.21,10,8
175,5.30,14,8
257,9.57,28,22
344,10.42,37,15
131,4.16,10,2
287,5.39,36,10
597,11.94,61,42
294,9.24,20,19
228,5.64,16,5
299,8.54,25,13
238,4.45,26,6
487,11.15,42,41
320,11.02,16,9
297,7.25,48,34
410,9.67,42,28
98,4.53,13,5
469,12.36,21,26
456,9.84,30,28
390,10.06,46,30
320,9.16,36,23
192,8.92,15,14
310,8.53,31,12
521,11.83,52,42
71,3.38,14,6
274,5.20,23,19
529,11.93,65,35
203,3.71,23,7
143,6.68,17,1
190,7.10,25,15
439,10.23,55,38
