CS,SH,OPS,SF,G
0,0,.500,0,2
1,0,.669,1,37
0,0,.313,0,6
1,0,.509,0,7
0,0,.982,0,14
0,0,.369,0,12
0,1,.809,1,40
0,0,.842,1,49
4,2,.515,0,42
1,0,.387,0,10
1,1,.632,0,26
0,0,.354,2,25
0,0,.519,1,19
0,0,.804,0,2
2,0,.883,1,50
1,0,.798,0,46
1,1,.572,1,33
0,0,.844,0,9
0,0,.660,0,48
2,0,.719,0,32
2,1,.743,4,45
2,1,.780,1,42
2,0,1.059,1,36
0,0,.644,0,7
1,1,.444,0,24
1,1,.612,0,40
1,0,.894,5,42
0,0,.804,1,14
0,0,1.000,0,1
0,0,.234,1,6
1,1,.606,0,34
1,1,.841,0,25
2,0,1.639,0,4
0,0,.908,0,4
1,0,.599,1,51
0,1,.529,0,32
0,0,1.261,0,3
4,2,.544,0,35
1,1,.603,2,34
0,0,.580,2,21
1,1,.517,0,41
0,0,.347,0,3
0,1,.481,0,26
4,2,.574,0,21
1,0,.890,0,17
0,0,.706,1,21
0,0,.719,0,31
0,0,.000,0,1
0,0,.000,0,1
0,1,.859,1,24
2,0,.626,2,41
1,1,.545,0,32
1,0,.726,1,37
0,0,.236,1,5
0,0,.501,0,21
0,0,2.000,0,1
0,0,.597,0,25
0,0,.400,0,2
0,0,1.140,0,8
4,1,.758,0,51
10,0,.765,2,54
0,0,.270,0,7
5,1,.788,0,39
0,0,1.076,0,5
0,1,.710,0,40
0,0,.533,0,3
0,0,.798,0,34
0,0,.833,0,2
0,0,.497,0,24
0,0,1.012,0,5
0,0,.991,1,22
1,0,.565,0,34
1,0,.485,0,24
0,0,.362,1,17
0,0,.668,0,8
1,4,.832,0,44
1,0,.259,0,5
1,1,.543,0,36
0,0,1.066,1,8
0,0,.697,0,12
3,10,.719,5,52
3,0,.710,1,34
4,1,.700,0,32
0,1,.488,0,16
3,4,.545,2,44
1,0,.630,0,20
0,0,.550,0,12
5,2,.866,0,45
1,1,.600,0,22
0,0,.850,2,42
0,0,1.167,0,1
2,0,.796,0,28
0,1,.371,0,19
1,0,.713,1,41
2,2,.685,0,20
0,0,.347,0,10
0,0,.490,0,3
0,0,.692,0,30
0,2,.674,0,11
1,0,.702,1,48
0,0,1.063,1,7
