ORB%,GS,STL%,ORtg,TOV%,BLK%,TRB%
17.1,0,6.6,126,0.0,0.0,19.0
0.0,0,0.0,123,0.0,0.0,0.0
0.0,0,11.2,91,0.0,0.0,7.0
32.6,0,3.5,141,0.0,0.0,18.1
0.0,0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,24,33.3,0.0,13.3
0.0,0,0.0, , ,0.0,0.0
18.8,0,2.0,116,8.8,0.0,21.8
8.1,0,5.4,92,16.7,3.3,6.4
23.5,0,0.0,36,0.0,0.0,13.0
0.0,0,0.0,0,100.0,0.0,27.0
0.0,0,8.3,153,0.0,0.0,0.0
18.0,0,0.0,144,0.0,0.0,8.0
13.3,0,2.2,204,0.0,0.0,17.5
9.8,0,4.2,122,17.7,0.0,27.9
0.0,0,0.0,0,50.0,0.0,0.0
9.0,0,0.0,74,11.1,0.0,6.8
4.3,1,1.9,83,10.7,2.4,13.7
17.8,1,2.0,122,14.7,0.0,15.4
0.0,0,0.0,69,0.0,0.0,0.0
0.0,0,3.3,84,33.3,0.0,15.5
12.8,0,0.0,42,50.0,0.0,5.9
24.8,0,2.2,123,12.7,0.0,18.6
0.0,0,3.6,62,50.0,0.0,13.0
0.0,1,0.0,114,25.0,0.0,0.0
0.0,0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,200,0.0,15.4,16.7
30.8,0,0.0,145,0.0,0.0,15.8
19.4,0,0.0,154,12.7,0.0,14.6
24.2,0,6.0,106,26.2,7.8,21.4
0.0,0,0.0,0,50.0,0.0,8.7
13.7,0,0.0,123,0.0,0.0,20.8
0.0,0,0.0,89,0.0,0.0,9.3
0.0,0,4.7,21,33.3,0.0,12.5
0.0,0,0.0, , ,0.0,0.0
0.0,0,0.0,39,0.0,0.0,8.7
21.4,0,6.4,128,0.0,0.0,9.7
0.0,0,0.0, , ,0.0,0.0
8.0,0,0.0,125,0.0,0.0,8.0
0.0,0,0.0,42,20.0,0.0,15.0
