Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 16,Maine-Presque Isle,"W, 11-1",2,2,1,-,-,-,0,-,-,1,-
Feb 16,at Averett,"L, 7-6",5,1,0,-,-,-,0,-,2,-,-
Feb 19,vs. Maine-Presque Isle,"W, 11-1",3,2,1,-,-,-,0,1,-,-,1
Feb 20,vs. Maine-Presque Isle,"W, 11-1",3,0,0,-,-,-,0,-,-,-,-
Feb 20,vs. East. Mennonite,"L, 14-1",2,0,0,-,-,-,0,-,1,-,-
Feb 20,vs. East. Mennonite,"L, 9-6",3,0,0,-,-,-,0,-,1,-,-
Feb 27,at Montreat,"L, 3-2",1,0,0,-,-,-,0,-,-,-,-
Feb 27,at Montreat,"W, 4-3",0,1,0,-,-,-,0,-,-,-,-
Mar 3,at Washington and Lee,"L, 12-3",4,0,0,-,-,-,0,-,2,-,-
Mar 5,Hiwassee,"W, 12-2",2,0,0,-,-,-,0,-,-,-,-
Mar 5,Hiwassee,"W, 12-2",3,2,2,-,-,-,1,-,1,-,-
Mar 6,Hiwassee,"W, 8-3",3,1,1,-,-,-,1,-,2,-,-
Mar 6,Hiwassee,"W, 25-4",0,0,0,-,-,-,0,-,-,-,-
Mar 11,Guilford,"L, 12-2",3,1,1,-,1,-,0,-,1,-,-
Mar 11,Guilford,"W, 7-3",3,1,2,-,-,-,1,-,1,-,-
Mar 12,Penn St.-Harrisburg,"W, 10-6",3,1,2,-,-,-,0,1,-,-,1
Mar 19,vs. PSU-Greater Allegheny,"W, 9-1",3,1,2,-,-,-,1,-,1,-,-
Mar 19,vs. PSU-Greater Allegheny,"W, 7-3",2,1,0,-,-,-,0,1,-,-,-
Mar 20,PSU-Greater Allegheny,"L, 7-2",3,1,1,1,-,-,0,-,1,-,-
Mar 20,PSU-Greater Allegheny,"W, 11-1",0,2,0,-,-,-,1,1,-,-,-
Mar 23,at Ferrum College,"L, 9-2",2,0,0,-,-,-,0,1,1,-,-
Mar 27,at Averett,"L, 6-5",3,0,1,-,-,-,2,-,-,-,-
Mar 27,at Averett,"W, 3-0",3,0,1,-,-,-,0,-,1,-,-
Mar 30,at Washington and Lee,"L, 17-3",3,0,0,-,-,-,1,1,-,-,-
Mar 31,at Bluefield,"L, 5-4",2,0,1,-,-,-,1,-,-,-,-
Mar 31,at Bluefield,"L, 7-0",3,0,1,-,-,-,0,-,2,-,-
Apr 7,Virginia-Wise,"L, 9-8",3,1,1,-,-,-,0,1,1,-,-
Apr 7,Virginia-Wise,"L, 2-0",3,0,0,-,-,-,0,-,-,-,-
Apr 10,at Virginia St.,"W, 7-1",2,2,2,-,-,-,0,2,-,-,-
Apr 10,at Virginia St.,"W, 8-4",4,0,1,-,-,-,1,-,1,-,-
Apr 13,at Virginia-Wise,"L, 15-5",3,0,0,-,-,-,0,-,-,-,-
Apr 13,at Virginia-Wise,"L, 4-3",4,2,1,-,-,-,0,-,-,-,-
Apr 16,at Hiwassee,"L, 2-0",2,0,0,-,-,-,0,1,-,1,-
Apr 16,at Hiwassee,"W, 5-3",4,0,0,-,-,-,0,-,-,-,-
Apr 17,at Hiwassee,"W, 16-1",3,2,2,1,1,-,0,-,1,-,-
Apr 17,at Hiwassee,"W, 4-3",2,0,1,-,-,-,1,-,-,-,-
Apr 20,Montreat,"W, 6-0",3,0,1,-,-,-,2,-,-,-,-
Apr 20,Montreat,"W, 8-1",3,0,2,1,-,-,1,-,-,-,-
May 1,at Mary Washington,"L, 7-1",3,1,1,-,-,-,0,-,-,-,-
May 1,at Mary Washington,"L, 15-6",2,1,1,-,-,-,1,1,1,-,-
May 10,vs. UC Clermont,"L, 3-1",3,0,1,-,-,-,0,-,1,-,-
May 11,vs. PSU-Greater Allegheny,"L, 3-2",2,0,0,-,-,-,0,-,1,1,1
