sb,h,e,avg,hr,gdp,rbi,bb
0,6,0,0.306,0,2,3,4
2,9,2,0.313,0,0,3,4
0,6,2,0.315,0,1,3,5
2,4,0,0.295,0,0,0,2
2,16,0,0.298,0,0,8,1
0,12,6,0.295,0,2,3,1
3,13,0,0.326,1,1,7,1
0,4,0,0.292,1,0,1,3
2,7,2,0.311,0,0,4,3
0,13,2,0.316,0,0,11,5
1,11,2,0.313,0,0,8,5
1,9,1,0.294,0,1,2,2
0,15,0,0.317,1,2,17,11
0,8,0,0.316,0,0,5,1
0,6,1,0.295,0,0,6,9
3,13,1,0.326,1,1,11,6
0,17,0,0.326,2,0,12,5
2,10,1,0.315,0,1,4,5
1,5,1,0.327,1,0,5,5
3,15,0,0.322,0,3,10,5
1,9,0,0.311,0,0,3,1
0,5,4,0.298,0,0,2,1
0,10,4,0.302,1,0,7,3
2,9,2,0.304,1,0,8,8
1,11,1,0.317,1,0,4,1
1,11,2,0.291,0,1,1,2
4,7,1,0.311,0,1,7,2
1,7,3,0.291,0,0,3,2
