ORtg,TRB%,ORB%,Rk,G,GS,USG%,TS%,Tm
104,5.2,0.0,15,15,0,30.4,.643,NOH
0,5.1,0.0,5,5,0,4.2,.000,NOH
48,21.6,0.0,20,20,0,34.2,.333,NOH
94,14.7,8.4,37,37,0,11.8,.400,ORL
51,0.0,0.0,4,4,0,15.5,.000,NOH
79,5.4,0.0,29,29,0,11.5,.333,NOH
0,0.0,0.0,46,46,0,18.1,.000,ORL
115,10.9,10.0,11,11,0,17.6,.694,NOH
80,8.6,9.4,40,40,0,17.8,.300,ORL
99,0.0,0.0,35,35,0,32.3,.500,NOH
59,16.3,8.8,7,7,0,25.5,.333,NOH
51,16.7,0.0,25,25,0,25.4,.258,NOH
121,10.5,8.3,42,42,0,7.9,.532,ORL
 ,0.0,0.0,34,34,0,0.0, ,NOH
106,7.1,0.0,44,44,0,19.8,.543,ORL
61,7.5,9.2,1,1,0,15.7,.212,NOH
73,11.2,0.0,10,10,0,20.0,.250,NOH
27,20.3,10.8,2,2,0,11.5,.000,NOH
230,14.1,16.2,36,36,0,8.8,1.087,ORL
95,16.8,0.0,32,32,0,17.4,.250,NOH
200,0.0,0.0,55,55,0,7.9,1.000,ORL
