RBI,R,AB,AVG,SB,SO,Player,SF,G,BB
1,2,10,.500,0,3,R Brayton,0,4,2
3,3,5,.200,0,1,V Wells,0,2,2
2,6,57,.298,0,14,A Todd,0,16,0
50,67,521,.246,10,130,C Owings,4,121,15
4,4,30,.167,0,8,J Campos,1,13,2
10,17,77,.273,0,24,K Greene,1,22,13
74,78,340,.365,11,64,J Gyorko,2,81,38
1,2,14,.000,0,4,B Lane,0,5,1
3,6,7,.571,2,0,O Hudson,0,4,6
27,16,127,.291,2,28,J McOwen,7,33,7
68,54,437,.293,1,73,C Haerther,3,117,24
0,2,18,.111,0,5,H Rodriguez,0,6,1
10,11,60,.200,1,26,K Sams,0,20,3
2,4,21,.190,0,2,M Cusick,0,6,4
1,2,25,.280,0,8,T Morris,0,6,1
48,38,183,.311,0,33,D Flores,3,50,17
0,0,9,.111,1,2,Y Gonzalez,0,2,0
13,22,164,.256,11,28,E Mesa,1,53,15
10,8,77,.195,0,22,A Giobbi,1,25,5
63,66,396,.268,1,99,T Delmonico,5,111,57
0,2,8,.500,0,2,J Uribe,0,3,0
1,2,22,.318,0,6,J Johnston,0,8,3
17,30,158,.272,4,42,J Schlander,2,47,27
41,44,349,.287,6,33,R Perez,1,103,49
28,26,237,.270,1,42,C Mendez,0,64,18
33,31,227,.251,3,43,J Blackwood,2,60,18
82,79,467,.285,9,134,M Choice,4,118,61
22,19,109,.321,2,17,W Ortiz,1,30,22
0,0,0,--,0,0,A Griffin,0,1,1
34,42,296,.247,13,61,R Jean,2,88,10
50,40,306,.265,3,62,T Coleman,4,93,58
49,59,224,.366,4,59,M Zuanich,2,58,30
0,0,0,--,0,0,S Tolleson,0,1,0
34,38,213,.408,19,26,J Altuve,3,52,19
31,47,293,.225,25,75,W Olabisi,1,94,33
54,61,466,.275,13,69,R Ynoa,7,126,42
79,79,502,.287,36,75,B Greene,3,126,41
21,27,221,.208,4,61,J Karcich,1,75,20
6,9,49,.224,1,7,O Garcia,2,18,2
28,30,188,.303,8,25,D Gregorius,3,46,10
40,48,167,.371,4,24,E Campbell,4,46,27
1,2,8,.375,0,2,C Blake,0,2,0
2,8,56,.268,0,14,J Nunez,0,16,5
97,75,504,.268,18,161,D Almonte,5,128,22
50,54,298,.329,1,59,E Rincon,6,74,32
17,25,130,.331,4,23,D Lohman,0,39,13
3,4,19,.263,0,3,T LaTorre,0,6,3
54,50,293,.317,1,53,M Wing,2,73,17
9,5,41,.317,0,8,K Walton,1,11,6
0,0,0,--,0,0,W Musick,0,1,0
28,25,236,.212,7,63,C Martinez,3,78,19
0,0,4,.000,1,1,E Patterson,0,2,2
58,31,212,.302,0,49,H Sanchez,3,52,11
3,1,20,.200,0,5,R Willits,0,5,3
18,25,148,.311,2,22,D Anna,3,44,19
75,61,309,.330,2,76,D Raben,5,76,28
0,2,21,.238,0,6,R Velasquez,0,8,1
0,0,0,--,0,0,D Cooper,0,1,0
1,0,7,.143,0,2,R Gomez,0,2,1
45,84,510,.275,41,117,R Fuentes,1,124,44
29,42,296,.247,16,92,J Jones,1,83,42
1,3,18,.333,0,4,J Parks,0,7,3
75,71,492,.264,4,124,M Gilmartin,5,124,51
18,17,153,.255,3,33,C Tremblay,3,53,16
95,70,371,.334,7,80,K Matthes,1,93,22
35,41,319,.248,4,69,S Irvine,5,99,27
42,28,185,.303,3,33,S Proscia,1,44,4
1,2,28,.071,1,8,T Alliman,0,9,3
36,44,303,.224,24,86,S Robinson,4,89,20
39,47,352,.256,5,123,L Gil,3,97,25
0,1,3,.000,0,1,P Sandoval,0,1,0
36,25,209,.234,0,83,A Younger,4,62,20
10,15,68,.279,2,14,T Witherspoon,0,16,5
27,26,174,.259,1,48,D Baird,2,50,15
0,0,6,.000,0,4,J Navarro,0,3,0
42,47,342,.284,6,35,A Buchholz,5,92,27
16,14,122,.246,1,18,N Noonan,1,28,12
47,74,456,.243,3,135,R Dixon,2,125,47
47,44,314,.248,3,51,R Lipkin,1,83,14
23,23,145,.262,0,41,B Heath,1,40,15
40,40,258,.291,8,73,C Dominguez,2,63,18
1,1,10,.400,0,1,M Pericht,0,2,0
6,3,22,.182,1,8,J Brossman,1,6,1
50,62,378,.246,1,91,L Anders,0,106,41
6,9,76,.250,1,17,M Browning,0,20,4
0,0,3,.000,0,2,Y Batista,0,1,0
0,2,28,.214,2,10,M Stokes,0,12,1
19,22,121,.231,1,22,M Stassi,0,31,16
5,5,19,.474,0,3,A Salome,0,5,2
0,4,11,.273,2,1,D Gordon,0,3,1
0,0,4,.250,0,3,J Vallejo,0,2,1
20,50,258,.275,13,56,N Franklin,1,64,31
30,32,143,.336,10,19,A Jackson,3,35,15
37,30,288,.281,6,38,N Liles,6,78,17
21,23,158,.272,0,41,E Rodriguez,1,46,12
40,37,226,.305,3,42,G Erickson,4,63,41
20,21,106,.274,0,26,B Seabury,1,31,7
9,5,98,.194,0,23,F Hernandez,1,31,7
16,19,147,.218,0,34,J Gualdron,1,49,11
21,23,180,.233,0,35,J Flores,2,52,25
86,84,488,.291,37,123,J Galvez,5,128,41
1,10,22,.318,1,3,R Furcal,0,6,3
48,58,426,.249,37,89,A Means,2,111,18
2,1,12,.167,0,7,C Weems,0,4,0
6,13,53,.283,0,13,R Grichuk,1,14,0
28,37,197,.289,2,59,S Hansen,2,54,20
46,49,267,.303,2,54,J Thompson,2,69,14
11,15,116,.233,7,36,P Mattingly,1,37,10
75,85,526,.300,26,86,A Wates,6,132,47
19,19,143,.259,6,43,J Christian,2,40,11
15,27,214,.210,2,47,J Gonzalez,2,69,24
0,1,10,.200,0,4,K Thompson,0,4,0
15,20,120,.250,9,32,D Read,0,33,8
9,12,68,.324,4,8,F Peguero,0,16,7
23,36,180,.250,5,44,C Jurica,1,55,25
3,7,35,.229,3,12,A Phillips,0,14,10
26,26,174,.259,20,56,J Villar,3,47,25
59,44,378,.291,3,96,S Hunt,1,104,36
57,52,354,.282,4,84,J Owings,2,96,34
92,80,531,.267,4,162,B Borchering,5,135,49
99,94,512,.324,20,96,K Calhoun,4,133,73
48,45,367,.218,2,102,M LeVier,3,99,22
70,61,285,.323,1,73,K Hinze,2,80,70
20,23,124,.274,5,19,J Ciriaco,2,43,12
45,44,343,.262,3,88,C Richburg,3,93,16
73,61,336,.286,2,90,J Wise,4,97,53
2,1,7,.143,0,1,J Rodriguez,0,3,0
1,3,54,.167,0,7,B Marcoe,0,18,1
21,28,208,.245,3,39,W Fairley,2,60,20
21,26,185,.281,18,26,J Segura,1,44,15
17,21,139,.302,0,32,T Medica,1,42,25
33,21,214,.229,0,66,J Clark,2,61,25
48,39,197,.259,3,38,T Denker,3,55,28
5,3,46,.261,1,17,K Lo,0,11,1
71,91,460,.348,16,91,J Rutledge,2,113,41
52,75,426,.268,24,85,C Crumbliss,5,120,96
19,21,157,.248,7,40,M Cerione,0,48,19
40,47,206,.296,0,57,Y Grandal,3,56,41
47,78,445,.279,52,97,R LaMarre,6,117,42
0,2,5,.400,0,1,M DeRosa,0,2,1
1,3,19,.211,0,1,J Kahaulelio,0,5,4
2,1,5,.600,0,0,G Blum,0,2,0
2,0,8,.375,0,1,P Burrell,0,2,0
106,93,535,.277,0,147,M Davidson,8,135,52
90,86,508,.270,10,92,R Cavan,10,130,64
0,0,5,.000,0,1,R Stafford,0,2,0
72,65,484,.264,1,125,J Meyer,6,130,59
10,7,71,.141,0,12,R Gale,1,27,7
7,3,24,.333,0,8,C Carter,0,6,4
19,16,106,.236,0,59,J Dunigan,0,33,12
0,1,22,.182,0,2,B Larosa,0,8,1
21,19,119,.235,0,25,P Paramore,3,31,14
29,25,190,.268,0,43,D Meeley,2,55,12
4,2,29,.172,0,6,I Sumi,0,13,3
10,7,77,.156,0,8,J Mier,0,21,4
