DRB%,Opp,BLK%,Date,GmSc,eFG%,Rk,Age
0.0,VAN,0.0,2000-12-26,1.7,.500,15,31-273
9.3,SAS,0.0,2000-12-13,7.4,1.167,10,31-260
14.6,TOR,0.0,2000-12-30,4.8,1.000,17,31-277
0.0,CHI,0.0,2000-12-11,1.7,.667,9,31-258
14.2,CHH,0.0,2000-11-08,-0.4,.000,2,31-225
18.9,LAL,0.0,2001-04-10,2.9,.333,47,32-013
0.0,LAC,0.0,2001-04-16,2.4,.333,48,32-019
0.0,MIL,0.0,2001-04-01,2.0, ,44,32-004
5.4,LAC,0.0,2000-12-15,3.5,.167,11,31-262
0.0,VAN,7.4,2001-01-31,2.1,.000,27,31-309
9.8,DET,0.0,2001-01-24,5.6,.750,23,31-302
0.0,DAL,0.0,2001-03-17,0.3,1.000,39,31-354
0.0,CHI,0.0,2000-11-09,3.4,.500,3,31-226
0.0,MIN,0.0,2001-02-14,0.0, ,31,31-323
0.0,NYK,0.0,2000-11-21,0.0,.500,4,31-238
0.0,MIL,0.0,2000-11-27,-1.0, ,6,31-244
7.1,CHI,0.0,2001-02-06,4.1,.500,28,31-315
55.8,ATL,0.0,2000-11-25,3.7,1.000,5,31-242
12.4,ATL,0.0,2001-01-29,4.7,.750,26,31-307
0.0,DEN,0.0,2001-03-03,-0.7,.000,34,31-340
15.2,UTA,0.0,2001-01-21,2.9,.400,21,31-299
36.4,LAL,0.0,2001-02-07,2.7,1.000,29,31-316
0.0,MIN,0.0,2001-04-06,-2.0, ,46,32-009
16.2,WAS,0.0,2001-01-27,3.2,.500,25,31-305
