Points,IGP,Shots,FirstA/60,GP,A,Team,iFenwick,G,#
34,7.6,262,0.23,196,24,Carolina,353,10,380
56,28.4,235,0.56,172,33,Columbus,312,23,152
34,2.8,110,0.27,191,31,Florida,170,3,510
13,2.8,62,0.16,151,11,Washington,97,2,513
59,9.4,242,0.48,201,47,St. Louis,335,12,356
99,40.1,384,0.47,199,44,Vancouver,527,55,4
65,10.7,459,0.36,190,48,Winnipeg,670,17,329
58,31.5,338,0.54,211,30,Pittsburgh,456,28,199
18,24.2,153,0.29,148,10,Buffalo,198,8,317
46,6.5,280,0.35,200,37,Montreal,387,9,406
37,3.7,151,0.23,186,33,New Jersey,236,4,494
43,16.2,213,0.41,186,31,Edmonton,310,12,319
13,5.9,58,0.13,129,9,Edmonton,97,4,440
45,4.3,219,0.22,197,39,Minnesota,292,6,469
99,34.4,360,1.08,149,57,Pittsburgh,478,42,7
79,42.4,259,0.55,186,37,Calgary,352,42,20
70,27.4,281,0.64,165,41,NY Islanders,386,29,123
64,36.5,263,0.54,182,33,Colorado,366,31,95
34,24.5,144,0.35,159,21,Vancouver,198,13,275
46,30.6,281,0.49,178,24,Florida,352,22,182
25,4.4,112,0.22,158,20,Montreal,159,5,451
30,22.5,130,0.57,178,21,Chicago,191,9,298
41,38.7,219,0.22,198,17,Nashville,296,24,207
28,7.9,132,0.29,161,21,St. Louis,196,7,388
96,24.6,298,0.94,173,66,Detroit,420,30,127
65,36.9,352,0.59,143,34,Minnesota,444,31,66
31,26.5,195,0.26,140,18,Winnipeg,265,13,260
45,6.0,189,0.57,154,38,Philadelphia,267,7,398
42,24.6,132,0.58,160,27,Chicago,168,15,276
46,27.0,230,0.35,208,26,Toronto,319,20,255
12,3.9,174,0.15,129,9,Detroit,239,3,479
67,20.8,160,0.73,172,45,Montreal,202,22,191
46,23.2,201,0.35,165,27,New Jersey,260,19,198
94,24.4,307,0.83,209,62,Colorado,394,32,184
57,32.3,262,0.37,208,27,Washington,368,30,147
21,1.7,148,0.28,135,20,San Jose,242,1,530
64,25.5,296,0.60,183,40,Columbus,407,24,206
71,24.5,306,0.54,212,44,Arizona,434,27,213
53,33.3,275,0.37,197,24,NY Rangers,377,29,131
100,25.4,379,0.92,203,65,Boston,529,35,97
30,7.1,159,0.28,189,24,Anaheim,238,6,435
90,28.1,165,0.97,183,56,Calgary,239,34,89
35,29.8,172,0.31,126,18,Nashville,237,17,114
38,6.8,241,0.22,210,28,San Jose,393,10,412
115,27.5,378,0.96,204,74,Los Angeles,531,41,83
47,27.9,251,0.63,135,30,Arizona,339,17,159
71,19.7,363,0.43,173,45,Ottawa,488,26,262
67,22.4,174,0.60,160,45,Buffalo,239,22,200
86,27.9,283,1.10,147,55,Ottawa,422,31,63
85,33.1,312,0.69,169,43,Boston,409,42,10
82,35.8,435,0.78,160,43,Montreal,587,39,14
57,25.6,190,0.48,183,34,New Jersey,259,23,234
32,2.0,162,0.20,195,30,Anaheim,233,2,525
66,20.2,296,0.60,174,49,Minnesota,415,17,293
48,12.6,198,0.18,207,31,Detroit,285,17,325
42,3.4,207,0.41,203,38,Philadelphia,304,4,482
45,22.4,224,0.42,186,28,Philadelphia,306,17,264
107,28.5,334,0.71,196,60,Pittsburgh,480,47,16
34,4.0,167,0.28,188,29,Detroit,249,5,467
48,4.9,245,0.33,208,41,Philadelphia,353,7,447
38,6.1,155,0.36,164,32,Florida,246,6,430
118,36.0,570,0.81,212,64,Toronto,768,54,25
86,29.9,294,0.76,195,51,Toronto,397,35,91
42,29.5,280,0.36,163,24,Edmonton,362,18,239
25,20.9,242,0.41,176,16,Philadelphia,320,9,323
39,27.1,274,0.49,146,23,Calgary,372,16,228
36,5.7,164,0.35,153,31,Columbus,239,5,454
32,11.9,180,0.27,190,20,Carolina,285,12,342
46,33.3,240,0.41,187,25,Minnesota,324,21,194
72,29.0,175,0.52,198,41,Nashville,258,31,125
5,0.0,70,0.10,119,5,Pittsburgh,105,0,533
73,33.0,260,0.71,187,40,Tampa Bay,355,33,27
59,30.7,163,0.60,151,36,Winnipeg,217,23,124
26,3.3,130,0.30,167,23,Ottawa,186,3,504
49,37.7,250,0.43,191,23,Detroit,333,26,94
58,8.8,312,0.38,207,45,St. Louis,469,13,358
18,8.9,66,0.14,96,13,Chicago,98,5,354
25,8.1,117,0.18,119,19,Arizona,175,6,365
118,35.4,409,0.91,186,61,Chicago,503,57,3
52,23.4,262,0.85,173,37,Detroit,344,15,279
51,8.1,198,0.51,182,42,Toronto,288,9,362
93,13.8,251,0.90,193,75,Anaheim,377,18,315
60,20.4,264,0.73,193,41,Minnesota,338,19,267
46,24.6,262,0.65,133,29,Detroit,349,17,217
94,46.4,469,0.66,207,43,San Jose,637,51,12
26,6.6,171,0.25,175,20,Arizona,273,6,439
26,9.1,120,0.31,158,20,Los Angeles,197,6,402
25,7.2,89,0.24,120,20,Montreal,128,5,403
24,3.3,136,0.21,144,21,NY Rangers,206,3,499
12,5.9,98,0.10,146,9,Chicago,159,3,468
13,7.9,87,0.27,99,10,NY Rangers,126,3,429
39,23.2,132,0.59,141,26,Washington,187,13,249
9,5.6,109,0.12,104,7,Florida,160,2,485
39,33.3,233,0.45,145,18,St. Louis,305,21,128
91,31.8,449,0.67,203,49,Boston,607,42,29
42,27.8,288,0.33,200,22,Ottawa,372,20,247
42,6.7,183,0.27,195,34,Florida,272,8,437
52,38.6,173,0.45,121,25,Philadelphia,250,27,11
71,22.2,182,0.43,196,47,Anaheim,239,24,237
23,3.1,105,0.12,183,20,Toronto,182,3,506
126,29.3,451,0.96,202,78,Chicago,601,48,47
34,36.0,252,0.27,121,16,Anaheim,336,18,142
48,21.4,404,0.46,188,33,Chicago,518,15,294
94,33.6,400,0.73,202,52,Minnesota,521,42,40
30,15.6,178,0.34,210,23,Pittsburgh,230,7,352
32,34.1,123,0.30,188,17,Carolina,172,15,226
29,31.1,178,0.31,140,15,Nashville,231,14,233
28,6.0,138,0.24,154,23,San Jose,220,5,433
39,28.3,204,0.42,174,24,NY Islanders,277,15,282
43,8.8,139,0.40,156,33,Winnipeg,197,10,359
26,25.0,163,0.38,184,16,Anaheim,221,10,316
85,26.5,415,0.54,212,49,St. Louis,581,36,140
39,23.9,158,0.50,102,23,Edmonton,225,16,162
53,23.4,381,0.43,212,35,Anaheim,512,18,306
19,6.6,78,0.28,105,15,Carolina,123,4,409
59,27.7,265,0.66,161,36,Florida,367,23,197
23,18.4,196,0.30,164,16,Tampa Bay,272,7,337
65,35.7,251,0.46,198,35,San Jose,342,30,84
82,28.8,214,0.68,196,48,Calgary,297,34,77
84,40.5,415,0.49,187,39,Carolina,589,45,19
76,26.8,294,0.77,168,46,Tampa Bay,390,30,104
86,29.4,292,0.87,201,54,Anaheim,390,32,134
95,35.4,451,0.67,176,50,Chicago,593,45,13
73,28.4,221,0.65,159,46,Columbus,284,27,111
30,2.3,128,0.39,138,28,Colorado,195,2,512
60,32.1,303,0.63,168,33,Ottawa,398,27,107
92,28.8,327,0.83,210,60,New Jersey,413,32,139
47,28.1,206,0.50,174,29,Nashville,272,18,245
32,10.9,193,0.52,157,26,San Jose,271,6,392
39,21.8,227,0.44,135,27,Boston,307,12,284
10,6.5,59,0.07,142,6,NY Rangers,91,4,432
57,30.1,239,0.68,120,32,St. Louis,324,25,56
92,29.9,340,0.75,212,52,NY Rangers,462,40,76
40,24.2,146,0.52,117,25,New Jersey,190,15,231
25,20.9,125,0.28,147,16,Detroit,180,9,310
32,5.8,209,0.15,210,26,Ottawa,303,6,460
43,28.8,283,0.43,118,24,Colorado,361,19,156
30,6.0,132,0.11,183,23,NY Islanders,203,7,436
80,34.9,417,0.71,203,42,Chicago,580,38,37
29,24.0,181,0.39,196,17,Winnipeg,242,12,302
119,30.4,453,0.97,201,74,Vancouver,603,45,41
26,6.8,169,0.16,170,19,New Jersey,236,7,417
68,30.5,258,0.71,152,39,Carolina,353,29,96
114,26.9,291,1.03,201,75,Boston,402,39,90
73,31.1,341,0.53,207,41,Columbus,451,32,136
38,8.0,147,0.24,176,29,Chicago,203,9,376
28,3.2,149,0.12,211,24,Washington,229,4,500
21,6.1,133,0.20,176,16,Winnipeg,228,5,445
38,21.4,175,0.35,159,23,Edmonton,250,15,285
28,4.0,142,0.21,163,24,NY Rangers,212,4,476
54,6.8,211,0.33,184,44,Tampa Bay,315,10,383
22,4.1,159,0.23,166,19,New Jersey,231,3,492
17,8.7,53,0.18,94,13,Philadelphia,81,4,395
36,6.5,184,0.21,211,29,Chicago,287,7,450
54,6.5,287,0.23,203,44,San Jose,420,10,410
21,2.0,128,0.10,196,19,Los Angeles,205,2,524
35,4.5,228,0.28,190,29,Calgary,337,6,455
39,37.0,181,0.56,158,19,Boston,233,20,121
68,33.3,450,0.56,179,37,Nashville,568,31,78
42,6.7,205,0.34,174,35,Toronto,291,7,421
13,2.6,64,0.18,102,12,Philadelphia,86,1,520
30,25.0,104,0.48,116,19,Montreal,140,11,243
23,9.8,132,0.22,140,17,Philadelphia,202,6,386
52,38.9,384,0.29,202,24,NY Rangers,527,28,151
77,50.5,396,0.43,199,28,NY Islanders,501,49,5
31,18.8,262,0.29,192,22,Los Angeles,389,9,335
98,31.0,347,0.88,196,58,Buffalo,465,40,45
88,33.3,354,0.63,207,47,Montreal,473,41,48
22,17.0,124,0.21,196,14,Edmonton,175,8,347
47,7.8,220,0.37,194,38,Nashville,309,9,405
46,24.0,230,0.74,136,28,Buffalo,315,18,180
48,34.2,361,0.36,156,23,Vancouver,479,25,144
49,10.3,269,0.25,201,33,Dallas,414,16,328
38,6.0,138,0.37,130,33,NY Islanders,192,5,434
16,2.4,101,0.10,183,14,Nashville,145,2,516
31,29.8,143,0.33,133,17,Colorado,197,14,223
100,31.4,233,1.75,99,63,Pittsburgh,302,37,1
68,31.2,382,0.52,191,39,Detroit,493,29,130
85,26.1,403,0.65,199,54,Arizona,568,31,171
68,35.2,340,0.49,174,36,Vancouver,446,32,68
22,7.9,113,0.23,135,17,Detroit,174,5,423
26,7.7,165,0.28,144,20,Detroit,224,6,389
47,40.0,340,0.40,192,21,Minnesota,469,26,149
105,22.7,281,1.02,204,76,Washington,377,29,209
14,1.8,64,0.19,97,13,Ottawa,108,1,523
54,8.1,242,0.24,207,41,Chicago,348,13,368
109,40.9,569,0.67,201,53,NY Rangers,732,56,6
32,4.0,176,0.34,156,28,Edmonton,268,4,473
55,36.6,296,0.47,193,29,Columbus,419,26,177
21,28.9,116,0.36,170,10,Columbus,166,11,256
43,9.6,290,0.22,196,30,Toronto,429,13,360
76,33.7,393,0.62,205,42,Montreal,526,34,117
103,26.0,310,0.83,209,69,Dallas,424,34,157
79,25.6,414,0.58,210,46,Los Angeles,591,33,161
68,29.7,316,0.83,157,41,San Jose,414,27,122
44,26.6,167,0.56,157,27,Carolina,225,17,181
73,35.1,315,0.62,174,39,Florida,425,34,82
80,30.4,360,0.66,181,45,Philadelphia,445,35,69
35,2.4,155,0.28,205,32,Carolina,245,3,514
69,32.6,265,0.60,197,38,Arizona,382,31,106
55,28.9,195,0.41,188,31,NY Islanders,257,24,192
25,15.7,164,0.34,171,17,New Jersey,210,8,332
58,30.3,229,0.43,197,31,Boston,317,27,154
15,3.8,86,0.18,93,13,Dallas,118,2,477
53,24.1,216,0.59,146,33,Tampa Bay,277,20,166
34,3.4,155,0.19,195,30,Anaheim,250,4,490
26,23.8,154,0.39,135,16,Carolina,216,10,299
10,15.4,102,0.13,174,6,Minnesota,127,4,397
