Opp,TRB%,AST%,MP,ORB%,STL%,DRB%
CLE,37.1,0.0,12:20,37.1,4.3,37.1
DET,12.8,11.7,22:07,13.3,0.0,12.1
MIA,11.7,0.0,15:38,7.5,0.0,16.2
PHO,29.4,0.0,14:06,0.0,0.0,54.2
BOS,0.0,0.0,7:47,0.0,6.5,0.0
MEM,24.7,0.0,15:39,32.3,3.4,12.8
ORL,19.6,0.0,12:35,9.1,4.5,31.8
CHI,16.5,0.0,11:11,20.9,0.0,11.6
PHO,6.9,0.0,16:59,7.4,0.0,6.4
NYK,18.4,0.0,24:55,24.1,2.2,14.3
GSW,22.4,0.0,16:52,12.9,0.0,31.6
HOU,15.9,19.4,15:06,13.5,7.0,19.3
GSW,14.8,0.0,17:33,28.8,5.5,0.0
NJN,0.0,0.0,7:20,0.0,0.0,0.0
MIL,12.4,16.6,14:50,7.5,0.0,18.5
UTA,24.2,0.0,7:44,15.1,0.0,34.5
CHI,33.1,0.0,7:26,34.9,0.0,31.5
IND,12.8,6.1,23:59,5.4,0.0,19.5
TOR,12.2,0.0,8:34,0.0,0.0,23.3
SAC,20.7,9.0,14:28,9.0,3.6,30.9
MIL,25.5,0.0,17:36,13.0,0.0,41.3
ATL,16.0,4.8,29:22,12.1,0.0,21.5
NYK,8.4,9.3,15:44,16.5,3.3,0.0
LAL,14.3,31.7,17:28,20.1,0.0,7.6
ATL,13.6,0.0,7:39,14.6,0.0,12.8
