AVG,SB,Player,Team,SF,2B
0.5,0,E Farris,NBR,0,0
0.284,24,D Fields,ERI,4,27
0.268,1,J Murphy,TRN,2,10
0.328,8,C Chen,AKR,2,10
0.269,10,A Loewen,NH,0,22
0.245,3,R Hague,HAR,2,19
0.325,20,B Burns,HAR,0,4
0.311,5,X Bogaerts,POR,2,12
0.0,0,M Reynolds,BIN,0,0
0.25,12,D Gibson,POR,2,16
0.224,3,J Robbins,ERI,0,26
0.252,0,J Van Ostrand,HAR,0,19
0.291,5,B Britton,BOW,2,12
0.253,12,A Burns,NH,3,19
0.316,5,J Beresford,NBR,3,5
0.253,2,J Head,HAR,0,21
0.245,13,J Parker,RIC,0,18
0.295,0,K Knudson,NBR,1,5
0.273,0,E Zambrano,RIC,0,0
0.163,0,J Talley,NH,0,5
0.177,10,G Ngoepe,ALT,3,10
0.268,1,R Bermudez,POR,1,1
0.235,0,J Suomi,REA,0,0
0.284,7,E Rosario,NBR,2,19
0.22,5,C Paulino,ALT,3,9
0.237,23,S Wilkerson,POR,6,23
0.256,1,A Susac,RIC,2,17
0.273,0,T Joseph,REA,0,1
0.326,24,C Puello,BIN,2,21
0.2,0,M Hernandez,ERI,0,1
0.28,7,N Romero,BOW,2,21
0.272,5,J Rodriguez,BIN,6,30
0.257,4,T Austin,TRN,3,17
0.231,0,C Smith,NBR,3,8
0.217,0,H Garcia,NBR,0,0
0.272,18,J Pirela,TRN,5,27
0.26,1,B Ward,BOW,2,9
0.267,4,J Johnson,HAR,1,7
0.225,12,E Duran,REA,5,19
0.265,1,T Manzella,NH,1,5
0.262,5,K Nolan,NH,4,24
0.254,18,D Maggi,ALT,5,14
0.296,8,G Cecchini,POR,2,14
0.246,0,T Taijeron,BIN,2,18
0.268,31,D Ceciliani,BIN,4,17
0.366,1,G Jacobo,NH,0,8
0.231,5,R Rodriguez,NBR,7,33
0.165,0,M Sobolewski,NBR,2,4
0.167,0,N Spears,AKR,0,1
0.295,0,A Monsalve,AKR,0,4
0.299,0,C Wallace,AKR,2,5
0.21,3,R Schimpf,NH,1,21
0.262,0,O Tejeda,ALT,0,2
0.276,0,J Linares,POR,2,24
0.213,0,A Zazueta,NH,0,8
0.308,0,J Pinto,NBR,0,23
0.228,1,C Stevenson,TRN,2,10
0.2,0,M Skole,HAR,0,1
0.127,1,C Pettit,BOW,1,7
0.192,4,K Brown,ALT,1,3
0.24,11,E Adrianza,RIC,2,12
0.198,3,K Tomlinson,RIC,0,5
0.26,17,P Hissey,POR,3,15
0.264,0,K Dugan,REA,1,12
0.218,4,A Castillo,TRN,1,4
0.226,1,J Gil,TRN,0,2
0.242,0,C Walker,BOW,0,5
0.224,5,D Hood,HAR,5,18
0.169,3,A Morales,NBR,3,6
0.257,0,T Mendonca,REA,0,8
0.193,1,C Jones,ERI,0,3
0.143,0,A Gonzalez,REA,0,1
0.189,2,J Christian,NBR,0,2
0.5,0,M Oliberto,TRN,0,0
0.252,19,B Goodwin,HAR,1,19
0.263,1,S Stromsmoe,RIC,1,7
0.28,0,J Howell,HAR,1,4
0.314,7,J Howard,ALT,0,15
0.298,3,C Cutler,ALT,2,16
0.267,6,R Lollis,RIC,4,24
0.185,2,J Martinson,HAR,1,3
0.271,12,T Robinson,BOW,1,15
0.313,15,K Pillar,NH,0,20
0.276,1,A Jimenez,NH,3,15
0.255,6,A Hanson,ALT,1,4
0.243,0,A Abraham,AKR,1,4
0.2,0,M Teixeira,TRN,0,0
0.255,11,H Meneses,POR,0,15
0.304,4,R Cabrera,ERI,3,22
0.273,0,D Lehmann,NBR,1,0
0.289,5,F Lindor,AKR,0,3
0.283,1,J Ruettiger,BOW,0,2
0.417,0,N Walker,ALT,0,1
0.164,2,A Solis,ALT,0,3
0.273,1,J Murphy,REA,8,24
0.248,12,A Vasquez,ALT,1,5
