Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 15,Illinois,"L, 13-2",-,-,-,-,-,-,-,-,-,-,-
Feb 16,Illinois,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 17,Illinois,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
Feb 19,at Lipscomb,"L, 12-1",1,0,0,-,-,-,0,-,1,-,-
Feb 22,Niagara,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Feb 23,Niagara,"W, 9-0",-,-,-,-,-,-,-,-,-,-,-
Feb 24,Niagara,"W, 10-9",-,-,-,-,-,-,-,-,-,-,-
Feb 26,Middle Tennessee,"L, 9-7",-,-,-,-,-,-,-,-,-,-,-
Mar 1,Bowling Green,"W, 10-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Bowling Green,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 3,Bowling Green, ,-,-,-,-,-,-,-,-,-,-,-
Mar 5,Michigan St., ,-,-,-,-,-,-,-,-,-,-,-
Mar 6,Michigan St.,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 8,at Eastern Kentucky,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at Eastern Kentucky,"L, 18-7",-,-,-,-,-,-,-,-,-,-,-
Mar 10,at Eastern Kentucky,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 12,Northern Kentucky,"W, 13-2",0,0,0,-,-,-,0,-,-,-,-
Mar 13,Northern Kentucky,"W, 7-1",1,0,0,-,-,-,0,-,1,-,-
Mar 15,Morehead State,"W, 11-4",-,-,-,-,-,-,-,-,-,-,-
Mar 16,Morehead State,"W, 11-5",-,-,-,-,-,-,-,-,-,-,-
Mar 17,Morehead State,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 19,at Alabama A&M,"W, 8-6",-,-,-,-,-,-,-,-,-,-,-
Mar 20,Berea,"W, 9-4",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at UT Martin,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at UT Martin,"W, 13-8",-,-,-,-,-,-,-,-,-,-,-
Mar 24,at UT Martin,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 26,Maryville (Tenn.),"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 26,at Tennessee, ,-,-,-,-,-,-,-,-,-,-,-
Mar 28,SIUE,"W, 1-0",-,-,-,-,-,-,-,-,-,-,-
Mar 30,SIUE,"W, 11-3",-,-,-,-,-,-,-,-,-,-,-
Mar 30,SIUE,"L, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 2,at East Tennessee State,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Austin Peay,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Austin Peay,"W, 10-7",-,-,-,-,-,-,-,-,-,-,-
Apr 7,at Austin Peay,"W, 12-4",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at Middle Tennessee,"L, 12-9",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Eastern Illinois,"W, 20-5",1,0,0,-,-,-,0,-,-,-,-
Apr 13,Eastern Illinois,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Eastern Illinois,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at Vanderbilt,"W, 10-9",-,-,-,-,-,-,-,-,-,-,-
Apr 19,at Jacksonville State,"L, 6-5",0,0,0,-,-,-,0,-,-,1,-
Apr 20,at Jacksonville State,"L, 7-5",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Jacksonville State,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Alabama A&M,"W, 12-5",1,0,0,-,-,-,0,-,1,-,-
Apr 26,Murray State,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Murray State,"W, 10-9",-,-,-,-,-,-,-,-,-,-,-
Apr 28,Murray State,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
May 1,East Tennessee State,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
May 3,at Western Carolina,"L, 18-7",1,0,0,-,-,-,0,-,1,-,-
May 4,at Western Carolina,"L, 6-1",-,-,-,-,-,-,-,-,-,-,-
May 10,at Southeast Missouri,"W, 16-1",-,-,-,-,-,-,-,-,-,-,-
May 11,at Southeast Missouri,"W, 11-6",-,-,-,-,-,-,-,-,-,-,-
May 12,at Southeast Missouri,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
May 14,Lipscomb,"W, 10-9",-,-,-,-,-,-,-,-,-,-,-
May 16,Belmont,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
May 17,Belmont,"W, 14-6",-,-,-,-,-,-,-,-,-,-,-
May 18,Belmont,"L, 13-10",-,-,-,-,-,-,-,-,-,-,-
May 23,vs. Southeast Missouri,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
May 24,vs. Austin Peay,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
May 25,vs. Eastern Kentucky,"L, 6-4",0,0,0,-,-,-,0,-,-,-,-
