Player,SPG,TOV,FGM,#,MPG,3P%,FGA
Kris Rolle,0.1,0.3,0.4,63,7.2,0.0,0.6
Jeron Belin,0.8,1.8,3.4,13,23.2,0.277,8.3
Lamin Fulton,1.1,1.9,3.2,17,29.6,0.345,8.7
Yvon Raymond,1.1,1.7,2.4,25,21.8,0.274,5.4
Kinzey Reeves,0.1,0.5,0.6,56,9.5,0.362,1.6
Kaimondre Owes,0.5,1.3,2.6,22,18.9,0.205,6.2
Jon Hogga,0.2,0.7,1.1,46,12.6,0.207,2.9
Gaetano Spera,0.0,0.2,0.2,68,11.3,0.0,1.3
Jack Hill,0.2,0.5,0.6,59,8.6,0.0,1.3
Raul Orta,0.9,1.7,3.9,7,30.8,0.365,9.7
Ryan Bacon,0.9,2.1,3.7,15,26.0,0.0,7.1
Markese Tucker,0.2,0.5,2.0,34,12.4,0.0,3.9
Quadir Welton,0.5,1.3,2.2,28,23.0,0.0,4.7
Kee-Kee Clark,2.2,3.4,8.2,1,38.6,0.365,20.4
Howard Sellars,0.1,0.2,0.5,60,7.2,0.091,1.8
Corey Hinnant,0.6,0.9,2.4,23,20.5,0.31,6.3
Tim Spitler,0.8,1.1,0.8,51,13.5,0.19,2.1
Marvin Dominique,1.0,1.9,5.5,2,33.1,0.347,11.9
Tyler DeChalus,0.0,0.2,0.0,75,2.6,0.0,0.8
Brandon Brock,0.7,1.5,1.1,44,16.3,0.233,3.5
Travis Hester,0.1,0.7,1.1,41,8.6,0.412,2.8
Mark Curry,0.4,0.7,0.7,55,11.9,0.0,1.5
Raheem Onibudo,0.1,0.2,0.5,64,8.1,1.0,1.5
Nick Leon,1.1,3.0,3.9,5,31.7,0.357,10.3
Steven Samuels,1.1,1.8,2.2,27,22.2,0.347,5.4
Kevin Spann,1.2,2.3,2.7,20,25.7,0.364,7.2
Derrick Hooker,0.5,0.5,0.6,54,7.4,0.426,1.5
Jordan Costner,0.4,1.0,0.8,49,16.4,0.31,2.3
Trevis Wyche,1.2,1.9,2.1,21,28.9,0.265,5.7
Kabeya Kabongo,0.1,0.3,0.2,74,4.8,0.0,0.8
Ron Yates,1.4,2.6,4.0,6,27.5,0.323,8.7
Todd Sowell,0.7,1.8,4.1,10,26.1,0.0,8.0
Chineme Usuwa,0.0,0.2,0.2,66,1.5,0.0,1.2
Kelsey Grant,0.0,0.2,0.3,71,1.8,0.0,0.7
Corien John,1.8,2.4,3.6,16,26.3,0.0,7.6
Elias Desport,0.2,0.7,0.7,52,12.9,0.25,1.8
Mohamed Farih,0.0,0.6,0.2,69,1.8,0.0,0.3
Terrance Watkins,1.0,2.3,3.5,14,22.2,0.228,8.5
Jamie Sowers,0.9,2.2,3.9,11,27.8,0.292,8.7
Rafael Martinez,0.4,0.9,1.1,45,12.4,0.386,2.2
Akeem Gooding,1.1,2.1,2.9,19,26.7,0.074,6.9
Quentin Martin,0.5,0.8,1.6,40,19.7,0.353,4.0
Tyler Gaskins,0.7,1.3,2.4,26,21.0,0.327,6.2
Regis Devonish,0.5,0.8,1.8,33,18.3,0.327,4.8
Wesley Jenkins,1.5,2.2,4.6,4,32.8,0.38,12.7
