Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 2,at Chowan,"W, 13-8",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 2,at Chowan,"W, 20-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 3,at Chowan,"W, 11-3",-,-,-,-,-,-,-,-,-,-,-
Feb 3,at Chowan,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Feb 5,Newberry,"W, 11-4",-,-,-,-,-,-,-,-,-,-,-
Feb 6,St. Augustine's,"W, 10-9",-,-,-,-,-,-,-,-,-,-,-
Feb 9,at Anderson (S.C.),"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Feb 9,at Anderson (S.C.),"W, 8-6",-,-,-,-,-,-,-,-,-,-,-
Feb 10,at Anderson (S.C.),"L, 1-0",-,-,-,-,-,-,-,-,-,-,-
Feb 16,Alderson-Broaddus, ,-,-,-,-,-,-,-,-,-,-,-
Feb 17,Alderson-Broaddus, ,-,-,-,-,-,-,-,-,-,-,-
Feb 17,Alderson-Broaddus, ,-,-,-,-,-,-,-,-,-,-,-
Feb 20,Claflin,"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Feb 24,Barton,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
Feb 24,Barton,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Feb 25,Barton,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Feb 26,St. Andrews, ,-,-,-,-,-,-,-,-,-,-,-
Feb 27,UNC Pembroke,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 1,Limestone,"L, 8-7",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Limestone,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Limestone,"L, 7-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 6,at Claflin,"W, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 9,at King (Tenn.),"W, 10-2",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at King (Tenn.),"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 10,at King (Tenn.),"W, 9-2",-,-,-,-,-,-,-,-,-,-,-
Mar 12,at Benedict, ,-,-,-,-,-,-,-,-,-,-,-
Mar 15,Pfeiffer,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 16,Pfeiffer,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Mar 16,Pfeiffer,"L, 7-5",-,-,-,-,-,-,-,-,-,-,-
Mar 19,West Georgia,"W, 8-6",-,-,-,-,-,-,-,-,-,-,-
Mar 20,West Georgia,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Mount Olive,"L, 16-1",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Mount Olive,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Mount Olive,"L, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Benedict,"W, 13-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 29,North Greenville,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Mar 30,North Greenville,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 30,North Greenville,"W, 13-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 3,at UNC Pembroke,"W, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 4,Paine, ,-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Newberry,"W, 10-5",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at St. Augustine's,"W, 7-6",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Belmont Abbey,"L, 14-8",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Belmont Abbey,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Belmont Abbey,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at St. Andrews,"W, 12-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 19,at Erskine, ,-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Erskine,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Erskine,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 25,vs. Pfeiffer,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 26,vs. King (Tenn.),"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 27,vs. Erskine,"W, 8-2",-,-,-,-,-,-,-,-,-,-,-
Apr 27,vs. Mount Olive,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 28,vs. King (Tenn.),"W, 14-11",-,-,-,-,-,-,-,-,-,-,-
Apr 28,vs. King (Tenn.),"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
May 16,vs. Armstrong,"W, 11-6",-,-,-,-,-,-,-,-,-,-,-
May 17,vs. USC Aiken,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
May 18,vs. Mount Olive,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
May 19,vs. Georgia College,"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
May 26,vs. Tampa,"L, 12-4",-,-,-,-,-,-,-,-,-,-,-
May 28,vs. Grand Canyon,"L, 10-2",-,-,-,-,-,-,-,-,-,-,-
