S,Feb,Jun,Last,Oct,May,Totals
292,0,0,28 Dec,18,86,501
0,0,0,18 May,0,11,11
2587,2,0,8 Dec,1409,599,3467
145,21,0,29 Dec,64,29,249
0,0,0,4 May,0,0,0
25,0,0,28 Oct,11,0,37
28,0,0,8 Dec,15,51,199
15,0,0,8 Dec,4,16,51
111,6,1,29 Dec,67,10,146
74,0,0,8 Dec,0,0,74
0,0,0,10 Mar,0,0,0
1,0,0,28 Dec,0,0,1
4,0,0,25 Sep,0,0,5
1,0,0,4 Oct,1,0,1
4,0,0,28 Oct,3,2,6
3,0,0,7 Oct,1,0,8
478,0,0,28 Oct,472,0,526
0,0,0,18 Aug,0,0,0
93,0,0,29 Dec,36,6,682
1,0,0,7 Jan,0,0,5
62,0,0,28 Dec,2,0,118
22,0,0,20 Oct,6,5,32
60,0,8,26 Nov,12,203,439
186,0,0,29 Dec,14,7,595
2,0,0,1 May,0,2,4
1,1,0,26 May,0,1,3
26,0,1,28 Sep,0,7,37
21,0,0,28 Oct,19,0,23
32,0,0,8 Dec,1,0,32
41,0,0,8 Dec,5,441,991
20,0,0,8 Dec,8,0,36
1,0,0,19 Oct,1,0,1
0,0,0,18 May,0,2,2
0,0,0,31 Aug,0,0,47
7,0,0,23 Sep,0,29,38
1,0,0,28 Sep,0,0,1
9,0,0,5 Oct,9,179,514
15,0,0,8 Dec,0,0,15
5259,0,0,29 Dec,4818,13,5316
1,0,0,7 Oct,1,0,1
870,7,0,29 Dec,66,83,1410
2,0,0,28 Dec,0,0,2
1,0,0,28 Oct,1,0,1
1,0,0,25 Jul,0,19,27
0,0,0,18 May,0,1,1
535,0,0,28 Oct,3,1309,2026
101,1,2,29 Dec,32,23,148
0,0,0,2 Jun,0,5,8
0,0,0,29 Dec,0,0,0
0,0,0,1 May,0,1,1
113,0,0,26 Nov,92,13,132
96,0,0,28 Oct,64,1256,3818
3,0,0,29 Dec,1,0,7
75,0,0,25 Sep,0,101,233
86274,0,1,29 Dec,84722,20,90176
441,0,0,29 Dec,381,5,2726
0,0,0,25 Sep,0,0,0
506,0,0,8 Dec,486,0,508
60,0,0,29 Dec,0,0,112
244,0,0,29 Dec,105,1,298
0,0,0,18 Aug,0,0,0
1,0,0,14 Sep,0,0,1
0,0,0,20 Apr,0,0,0
25,0,0,8 Dec,1,0,59
9,0,0,5 Oct,9,0,9
199,0,0,17 Nov,192,101,814
85,0,0,8 Dec,40,0,86
42,0,0,29 Dec,5,3,58
905,0,11,20 Oct,139,199,1478
195,11,0,29 Dec,58,35,369
31,0,0,28 Oct,3,14,157
0,0,0,30 Apr,0,0,1
0,0,0,18 May,0,1,1
0,0,0,5 Jan,0,0,1
33,0,0,28 Oct,27,0,37
16,0,0,17 Nov,1,19,43
1,0,0,20 Oct,1,0,1
0,0,0,18 May,0,1,1
248,0,0,29 Dec,55,85,995
1,0,0,7 Oct,1,0,3
13,0,0,28 Dec,0,0,77
4,0,0,28 Oct,2,0,11
139,0,6,18 Aug,0,1255,1946
1096,3,0,29 Dec,31,23,1312
623,70,0,29 Dec,67,8,903
2432,0,0,8 Dec,513,6,2460
69,0,0,26 Nov,63,0,69
0,0,0,7 May,0,54,94
747,0,86,29 Dec,44,292,1961
2,0,0,20 Oct,2,0,2
19,0,0,28 Sep,0,0,19
4763,30,3,29 Dec,1079,290,6731
0,0,0,18 May,0,3,3
2,0,0,7 Oct,2,0,3
1,0,0,17 Nov,0,0,3
0,0,0,4 May,0,0,0
29,0,0,28 Dec,5,65,97
794,0,0,29 Dec,271,12,920
4,0,0,28 Oct,2,11,22
33,9,0,29 Dec,6,0,53
329,0,0,8 Dec,3,0,363
