USG%,STL%,GmSc,MP,G,TS%,AST%,Tm
9.1,0.0,5.1,29:00,20,1.000,11.6,ORL
12.5,0.0,2.1,16:00,62,.400,0.0,ORL
13.4,1.7,15.3,33:00,21,.759,0.0,ORL
0.0,5.8,1.1,8:00,47, ,0.0,ORL
7.1,4.1,5.2,12:00,24,1.000,11.8,ORL
0.0,12.2,1.0,4:00,3, ,0.0,ORL
21.1,0.0,-2.8,14:00,39,.258,0.0,ORL
6.5,0.0,-0.7,7:00,5, ,22.1,ORL
13.4,0.0,1.6,7:00,14,1.000,0.0,ORL
18.4,3.0,11.6,17:00,66,.847,0.0,ORL
16.1,0.0,1.8,11:00,54,.500,15.4,ORL
5.1,0.0,2.2,9:00,10,1.000,0.0,ORL
17.7,3.9,5.9,13:00,60,.750,0.0,ORL
11.5,0.0,-3.9,15:00,27,.266,0.0,ORL
18.7,2.6,8.0,19:00,29,.533,9.4,ORL
7.3,0.0,3.8,12:00,50,1.000,0.0,ORL
20.6,3.3,10.9,15:00,51,.665,0.0,ORL
21.4,5.9,-0.9,9:00,9,.000,19.0,ORL
10.2,0.0,2.4,21:00,31,.205,0.0,ORL
4.8,8.1,3.7,18:00,38,.500,0.0,ORL
17.5,0.0,6.3,16:00,7,.846,0.0,ORL
9.7,0.0,-1.3,9:00,46,.000,0.0,ORL
13.2,6.4,0.8,17:00,23,.362,7.4,ORL
32.3,4.9,10.0,10:00,57,.827,66.1,ORL
14.8,4.2,1.8,12:00,22,.333,13.3,ORL
15.0,5.8,6.8,17:00,45,.554,0.0,ORL
15.7,0.0,6.1,26:00,18,.571,0.0,ORL
13.7,0.0,4.1,13:00,35,1.064,9.6,ORL
88.2,0.0,-2.1,1:00,2,.000,0.0,ORL
