TS%,TOV%,GS,Opp,Date,TRB%,STL%,ORtg,DRtg
.581,0.0,0,NJN,1988-02-04,24.7,0.0,156,82
.709,11.4,0,PHI,1988-03-28,15.2,2.3,141,111
.636,17.5,0,LAL,1988-01-18,5.4,0.0,111,130
.680,25.4,0,SAC,1988-01-19,8.0,2.5,94,106
.667,0.0,0,SAC,1988-04-14,8.5,0.0,144,106
 , ,0,NYK,1988-03-24,0.0,0.0, ,119
.600,16.7,0,CLE,1988-01-28,8.5,4.2,107,109
.611,0.0,0,SAS,1988-04-12,6.3,0.0,141,126
.444,0.0,0,GSW,1988-01-07,7.1,0.0,108,110
.000,0.0,0,ATL,1987-12-22,0.0,0.0,0,110
1.000,0.0,0,DET,1987-12-29,12.8,0.0,201,107
.799,30.4,0,GSW,1988-03-13,13.9,2.5,109,99
.400,16.7,0,LAL,1987-11-08,31.6,9.2,72,72
.793,0.0,0,LAC,1988-04-10,4.1,0.0,173,122
.436,22.5,0,CHI,1987-11-28,4.5,0.0,80,112
.000,0.0,0,WSB,1988-02-20,15.7,0.0,48,103
.444,20.2,0,LAC,1988-01-26,9.4,5.8,83,87
.000,50.0,0,DEN,1987-12-01,0.0,0.0,0,108
 , ,0,NJN,1987-11-17,0.0,0.0,207,117
.474,10.6,0,SEA,1988-04-09,11.5,0.0,96,110
.904,23.1,0,GSW,1988-02-16,21.2,0.0,145,118
.000,0.0,0,DAL,1988-04-19,10.5,0.0,24,111
.444,0.0,0,BOS,1988-02-09,9.9,0.0,123,119
.400,0.0,1,SAS,1988-04-21,16.7,4.8,104,107
1.000,66.7,0,SAC,1987-11-12,5.9,0.0,48,121
1.136,0.0,0,SAC,1988-03-19,0.0,0.0,244,120
.732,0.0,0,PHO,1988-04-24,9.9,0.0,158,112
 ,100.0,0,LAC,1988-02-12,0.0,6.1,23,91
.571,0.0,0,SAS,1988-02-28,7.1,0.0,127,97
.420,0.0,0,LAL,1988-04-17,14.9,8.4,114,103
.667,14.3,0,PHO,1988-01-13,13.5,3.1,109,112
.500,33.3,0,DEN,1988-04-15,18.0,2.2,81,117
.500,0.0,0,DEN,1988-03-08,4.5,0.0,109,105
