TS%,STL%,AST%,TRB%,Tm,Date,ORB%
.750,5.7,0.0,14.9,IND,1986-03-11,5.3
.694,0.0,14.7,11.9,IND,1985-12-21,6.2
.667,2.7,0.0,17.8,IND,1985-11-25,21.1
.399,0.0,22.0,0.0,IND,1985-12-10,0.0
.798,0.0,0.0,10.2,IND,1986-01-25,0.0
.654,3.5,4.8,4.5,IND,1985-12-04,0.0
.510,0.0,4.8,9.7,IND,1985-11-01,12.0
.580,0.0,0.0,26.0,IND,1985-12-11,25.4
.906,2.3,0.0,9.1,IND,1986-02-15,0.0
.377,0.0,15.4,3.0,IND,1985-10-30,5.6
.690,0.0,18.5,7.6,IND,1986-02-11,10.1
.394,0.0,6.7,8.9,IND,1986-02-23,12.0
 ,0.0,50.0,0.0,IND,1986-04-01,0.0
.273,0.0,7.6,21.8,IND,1986-01-28,23.3
.595,0.0,7.1,11.4,IND,1986-03-19,6.5
.500,0.0,6.4,19.2,IND,1985-12-30,11.8
.563,0.0,17.5,27.7,IND,1985-11-23,16.1
.694,0.0,0.0,10.9,IND,1986-01-20,0.0
.600,3.0,0.0,14.5,IND,1986-02-12,0.0
.515,2.6,0.0,3.0,IND,1986-02-21,0.0
.767,6.8,0.0,22.9,IND,1986-01-13,21.4
.333,2.2,17.3,15.0,IND,1985-10-26,0.0
1.064,0.0,0.0,14.1,IND,1985-11-29,21.6
 ,0.0,18.5,7.8,IND,1986-01-24,0.0
 ,0.0,0.0,10.4,IND,1986-04-07,19.6
.571,1.9,12.0,11.0,IND,1986-01-10,11.8
 ,8.0,21.1,0.0,IND,1986-03-04,0.0
 ,0.0,0.0,9.3,IND,1986-01-31,0.0
.512,0.0,0.0,15.1,IND,1986-03-12,9.5
.000,0.0,17.8,17.2,IND,1986-04-05,16.3
 ,0.0,0.0,0.0,IND,1986-01-02,0.0
.333,0.0,11.7,8.6,IND,1986-01-17,15.7
.333,6.3,17.3,18.0,IND,1986-01-15,6.7
 ,0.0,0.0,0.0,IND,1986-03-24,0.0
.735,2.5,5.7,13.7,IND,1986-01-04,10.0
.000,0.0,23.1,13.8,IND,1986-03-28,19.6
.798,0.0,17.0,16.8,IND,1986-02-06,21.3
1.025,9.5,11.5,3.9,IND,1985-11-13,0.0
.773,6.1,10.8,2.5,IND,1985-12-14,0.0
.000,0.0,9.8,11.5,IND,1985-11-06,0.0
.000,0.0,12.2,0.0,IND,1985-11-16,0.0
1.064,0.0,5.5,8.9,IND,1986-02-02,6.7
.521,3.6,14.6,9.4,IND,1985-12-03,8.1
.524,2.4,19.0,13.2,IND,1985-11-14,14.9
.000,0.0,10.7,17.8,IND,1985-11-02,14.2
.532,0.0,11.0,16.0,IND,1986-02-04,0.0
.500,6.4,35.8,6.7,IND,1986-02-25,7.8
.753,0.0,16.5,0.0,IND,1986-03-22,0.0
.258,0.0,14.3,4.2,IND,1985-12-26,7.7
