Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 1,at Navy,"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Navy,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Navy,"W, 4-2",0,0,0,-,-,-,0,-,-,-,-
Mar 3,at Navy,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at St. Joseph's,"L, 9-4",-,-,-,-,-,-,-,-,-,-,-
Mar 9,at St. Joseph's,"L, 2-1",0,0,0,-,-,-,0,-,-,-,-
Mar 10,at Villanova,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Mar 13,Connecticut,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at High Point,"L, 6-2",0,0,0,-,-,-,0,-,-,-,-
Mar 16,at High Point,"L, 10-2",-,-,-,-,-,-,-,-,-,-,-
Mar 17,at High Point,"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 19,Hartford, ,-,-,-,-,-,-,-,-,-,-,-
Mar 22,Fairleigh Dickinson,"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 23,Fairleigh Dickinson,"W, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 23,Fairleigh Dickinson,"W, 6-3",0,0,0,-,-,-,0,-,-,-,-
Mar 24,Fairleigh Dickinson,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 25,Northeastern,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Mar 28,at Monmouth,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Monmouth,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Monmouth,"L, 2-1",0,0,0,-,-,-,0,-,-,-,-
Mar 30,at Monmouth,"W, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 3,at Rhode Island,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at LIU Brooklyn,"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at LIU Brooklyn,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at LIU Brooklyn,"W, 3-2",0,0,0,-,-,-,0,-,-,-,-
Apr 7,at LIU Brooklyn,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Holy Cross,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Sacred Heart,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 13,Sacred Heart,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 14,Sacred Heart,"L, 2-1",0,0,0,-,-,-,0,-,-,-,-
Apr 14,Sacred Heart,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Apr 16,at Massachusetts,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 19,at Wagner,"L, 7-6",0,0,0,-,-,-,0,-,-,-,-
Apr 20,at Wagner,"W, 13-1",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Wagner,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 21,at Wagner,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Apr 23,Stony Brook,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 24,Fairfield,"L, 12-4",-,-,-,-,-,-,-,-,-,-,-
Apr 26,Iona,"W, 3-0",0,0,0,-,-,-,0,-,-,-,-
Apr 27,Iona,"W, 14-4",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at Albany (N.Y.),"W, 10-1",-,-,-,-,-,-,-,-,-,-,-
May 3,Bryant,"L, 5-3",0,0,0,-,-,-,0,-,-,-,-
May 4,Bryant,"L, 4-1",-,-,-,-,-,-,-,-,-,-,-
May 4,Bryant,"L, 4-1",-,-,-,-,-,-,-,-,-,-,-
May 5,Bryant,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
May 9,at Quinnipiac,"W, 17-4",0,0,0,-,-,-,0,-,-,-,-
May 10,at Quinnipiac,"L, 11-4",-,-,-,-,-,-,-,-,-,-,-
May 10,at Quinnipiac,"W, 8-2",-,-,-,-,-,-,-,-,-,-,-
May 12,at Quinnipiac,"W, 13-12",-,-,-,-,-,-,-,-,-,-,-
May 15,at Hartford,"W, 9-4",-,-,-,-,-,-,-,-,-,-,-
May 17,Mount St. Mary's,"W, 7-4",0,0,0,-,-,-,0,-,-,-,-
May 18,Mount St. Mary's,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 18,Mount St. Mary's,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
May 19,Mount St. Mary's,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
