AVG,Team,SB,H,AB,G,R,3B,Player,POS
.210,RAN,0,25,119,34,16,0,C Moorman,C
.211,RAN,1,35,166,45,23,2,S Lantigua,SS
.111,CUB,0,3,27,11,1,0,T Alamo,C
.071,CUB,0,1,14,4,1,0,B Jackson,CF
.220,ANG,2,33,150,40,24,1,R Martinez,OF
.261,GIA,0,18,69,21,12,2,L Fuentes,OF
.213,ATH,0,26,122,33,10,0,V De La Cruz,OF
.212,PAD,5,18,85,31,11,2,A Ford,2B
.351,DIA,1,13,37,10,6,1,F Ozuna,2B
.280,RAN,7,53,189,50,27,2,J Cardona,OF
.299,IND,4,20,67,17,20,4,J Mejia,CF
.218,IND,0,17,78,27,7,0,S Rowland,C
.245,GIA,1,12,49,13,14,1,T Horan,OF
.296,DOD,15,24,81,30,23,1,F Oguisten,OF
.421,ATH,2,8,19,6,7,1,A Shipman,OF
.333,GIA,0,1,3,1,0,0,H Sanchez,C
.368,RAN,1,7,19,5,4,0,J Gallo,3B
.180,RAN,1,18,100,28,10,0,F Vivili,C
.189,ATH,0,14,74,24,11,0,A Raga,3B
.292,BRE,0,7,24,5,3,0,D Richardson,CF
.326,GIA,3,60,184,45,47,5,C Arroyo,SS
.271,GIA,0,26,96,31,13,2,W Callaway,2B
.216,IND,8,33,153,42,17,1,V Cabral,OF
.284,RED,17,33,116,35,15,5,J Fernandez,OF
.333,PAD,11,47,141,35,23,6,F Cordero,SS
.300,DIA,0,3,10,3,2,1,G Roberts,1B
.208,DOD,0,10,48,16,5,0,D Reid-Foley,C
.267,CUB,0,4,15,6,1,0,A Sanchez,SS
.254,ANG,2,15,59,26,8,0,E Weiss,C
.268,DIA,1,15,56,17,6,0,M Herum,1B
.200,GIA,0,4,20,9,3,0,M Pare,C
.200,MAR,0,13,65,18,6,0,L Fontaine,3B
--,ANG,0,0,0,1,0,0,E Vivas,C
.208,DIA,0,10,48,20,2,0,J Thys,C
.195,DOD,2,15,77,24,14,1,B Hennessey,2B
.100,PAD,0,1,10,11,0,0,D Masiello,C
