MP,USG%,AST%,TOV%,Age,Opp,ORB%,STL%,Date
17:00,9.6,0.0,0.0,33-056,LAL,6.7,2.9,1995-03-01
9:00,19.9,0.0,0.0,32-338,NJN,29.6,0.0,1994-12-08
3:00,14.4,0.0,0.0,33-086,MIN,0.0,0.0,1995-03-31
10:00,9.0,0.0,0.0,33-023,PHI,0.0,0.0,1995-01-27
14:00,12.3,0.0,0.0,33-030,CHI,0.0,0.0,1995-02-03
12:00,21.5,0.0,50.0,32-315,POR,0.0,7.7,1994-11-15
13:00,24.7,0.0,0.0,33-018,ORL,0.0,0.0,1995-01-22
8:00,11.8,0.0,0.0,33-058,SEA,16.6,0.0,1995-03-03
4:00,0.0,0.0, ,33-088,SAS,29.3,0.0,1995-04-02
11:00,24.4,0.0,17.0,33-013,DEN,23.0,0.0,1995-01-17
17:00,18.7,0.0,28.6,33-035,UTA,15.3,5.7,1995-02-08
16:00,14.2,21.4,20.0,32-321,UTA,20.5,0.0,1994-11-21
16:00,2.9,7.5,0.0,32-309,ATL,10.7,0.0,1994-11-09
4:00,0.0,0.0, ,32-344,SEA,0.0,0.0,1994-12-14
24:00,12.6,0.0,0.0,32-323,LAC,12.1,0.0,1994-11-23
25:00,8.4,0.0,0.0,32-304,SAC,8.0,2.0,1994-11-04
14:00,14.5,8.8,20.0,33-048,BOS,17.1,0.0,1995-02-21
14:00,14.2,0.0,40.0,32-312,LAC,0.0,0.0,1994-11-12
23:00,18.1,5.7,10.1,33-107,DAL,5.2,0.0,1995-04-21
25:00,12.7,5.5,12.9,33-055,LAC,19.2,0.0,1995-02-28
15:00,10.8,8.1,25.8,33-092,WSB,0.0,6.3,1995-04-06
12:00,13.4,0.0,25.0,33-032,HOU,8.5,0.0,1995-02-05
19:00,20.4,7.5,0.0,32-318,POR,7.0,0.0,1994-11-18
16:00,12.9,7.0,0.0,33-007,LAL,15.4,3.0,1995-01-11
8:00,15.3,0.0,0.0,32-332,BOS,14.0,0.0,1994-12-02
4:00,22.0,0.0,0.0,33-005,MIL,30.0,0.0,1995-01-09
6:00,32.2,57.1,22.5,33-104,SAC,0.0,0.0,1995-04-18
17:00,16.6,0.0,16.7,33-034,DAL,7.2,0.0,1995-02-07
21:00,17.8,6.1,22.2,33-044,GSW,15.1,0.0,1995-02-17
2:00,0.0,0.0, ,32-347,SAC,0.0,0.0,1994-12-17
21:00,7.8,25.4,0.0,32-346,NYK,4.8,2.3,1994-12-16
8:00,11.5,0.0,0.0,33-100,DEN,0.0,0.0,1995-04-14
26:00,11.1,11.0,0.0,33-101,LAL,7.9,0.0,1995-04-15
8:00,28.2,31.6,0.0,33-026,CLE,0.0,0.0,1995-01-30
