MP,DRB%,STL%,ORB%,AST%,TOV%
23:00,17.9,0.0,7.6,6.4,14.7
11:00,8.2,0.0,0.0,26.7,66.7
12:00,30.8,0.0,0.0,0.0,29.1
21:00,16.7,2.3,5.1,8.7,9.8
9:00,0.0,5.6,0.0,13.0,33.3
14:00,14.9,3.1,8.4,11.2,36.8
9:00,10.5,0.0,0.0,0.0,33.3
5:00,0.0,0.0,22.9,0.0,100.0
15:00,13.6,0.0,12.1,0.0,20.5
1:00,0.0,0.0,0.0,0.0,0.0
13:00,10.0,3.9,0.0,0.0,34.7
12:00,16.3,0.0,0.0,0.0,42.9
25:00,28.2,2.1,12.3,0.0,9.3
12:00,23.5,0.0,0.0,0.0,31.6
6:00,14.3,0.0,0.0,0.0,0.0
3:00,0.0,0.0,0.0,0.0,66.7
14:00,16.7,0.0,0.0,0.0,33.3
15:00,14.9,0.0,0.0,10.7,13.1
10:00,0.0,4.8,8.4,39.0,0.0
21:00,15.6,2.2,9.9,0.0,27.3
11:00,0.0,0.0,0.0,0.0,38.1
15:00,32.0,3.2,7.1,10.0,0.0
9:00,29.6,0.0,0.0,0.0,0.0
10:00,10.6,5.2,0.0,13.4,0.0
15:00,7.8,0.0,20.9,10.7,0.0
5:00,26.7,0.0,20.0,0.0,0.0
19:00,20.5,0.0,4.7,0.0,10.6
12:00,19.0,0.0,20.0,0.0,53.2
