SH,BB,OPS,R,CS,RBI,Team,Player,HR,3B
3,24,0.666,26,5,7,DSL PIR,R Pena,0,1
3,23,0.705,41,8,28,DSL REDS,G Valor,2,1
3,17,0.493,14,1,8,DSL SEA,A De la Cruz,1,0
0,23,0.644,18,0,13,DSL NYY2,D Barrios,3,0
0,1,0.501,4,3,2,DSL PHI,H Santana,0,1
1,8,0.764,20,1,23,DSL WSX,F Pizzoli,1,1
2,14,0.518,15,1,18,DSL ROY,R Tovar,0,0
2,15,0.415,11,4,12,DSL PAD,E Ugueto,0,1
0,1,0.315,1,2,1,DSL DIA,J De Leon,0,0
10,22,0.65,40,4,25,DSL ORI,G Salas,0,4
1,12,0.57,26,5,11,DSL ANG,A Montilla,0,0
0,7,0.582,8,3,3,DSL DOD,J Mieses,0,0
0,1,0.399,3,2,0,DSL DOD,C Aquino,0,0
1,18,0.778,29,1,24,DSL TIG,S Acevedo,5,6
9,21,0.709,25,3,25,DSL WSX,J Garcia,3,0
0,16,0.552,9,2,1,DSL DOD,L Subero,0,0
0,3,0.375,1,2,1,DSL NAT,K Cerda,0,0
2,6,0.609,8,1,10,DSL PAD,F Castillo,0,0
3,11,0.625,16,5,12,DSL AST,A Melendez,0,0
0,0,0.667,1,0,0,DSL MET,N Ramos,0,0
1,11,0.493,9,2,7,DSL NYY2,W Rodriguez,2,0
3,25,0.769,36,7,20,DSL DOD,J Javier,1,6
1,5,0.384,2,0,4,DSL IND,W Ramirez,0,1
0,3,0.531,2,0,2,DSL RSX,A Amaya,0,0
0,0,0.4,0,0,0,DSL IND,H Lunar,0,0
0,13,0.486,10,2,6,DSL TWI,J Alvarez,1,0
1,9,0.784,17,0,15,DSL RGR,R Carvajal,0,0
0,22,0.571,11,0,8,DSL FLA,L Molina,0,1
0,22,0.87,26,8,18,DSL ROJ,F Azcona,0,7
5,35,0.65,44,8,32,DSL AST,L Payano,3,3
4,17,0.521,16,3,3,DSL ANG,A Almao,0,0
1,25,0.767,32,9,15,DSL GSI,J Angomas,0,5
1,9,0.575,8,2,4,DSL RSX,J Hernandez,0,0
0,29,0.515,29,5,10,DSL ATH,M Mercedes,0,2
1,21,0.593,29,5,9,DSL CAR,R Encarnacion,0,2
1,20,0.69,17,6,12,DSL NYY1,T Guzman,1,3
4,12,0.559,19,4,11,DSL BRW,R Colatosti,0,2
6,17,0.721,24,11,13,DSL AST,J Estrella,0,0
0,20,0.617,10,1,14,DSL CAR,J De La Cruz,1,0
0,13,0.722,26,6,22,DSL NYY2,J Lorenzo,2,2
3,18,0.846,40,10,30,DSL REDS,J Siri,5,9
2,12,0.555,5,1,3,DSL ATH,L Hernandez,0,0
9,14,0.726,26,4,17,DSL ROCK,L Jean,1,0
2,8,0.615,16,5,15,DSL ATH,R Rivas,0,0
0,4,0.706,6,2,4,DSL REDS,J De Luna,0,0
0,11,0.488,15,1,12,DSL NYY2,A Ramirez,2,1
0,13,0.62,20,1,24,DSL IND,H Caro,0,0
3,16,0.593,19,4,7,DSL ROY,A Estades,0,0
6,14,0.617,20,3,16,DSL NAT,Y Aguero,0,1
0,8,0.54,6,0,6,DSL FLA,Y Pinto,0,0
2,11,0.589,11,1,12,DSL NYY1,R Coa,1,0
1,18,0.5,14,2,5,DSL TB,J Jumes,0,0
1,9,0.709,18,7,18,DSL ROCK,D Richardson,5,1
2,10,0.533,8,0,9,DSL ANG,Y Soto,0,2
0,14,0.622,9,2,8,DSL ROY,E Melo,0,1
0,1,1.5,2,0,0,DSL AST,O Toribio,0,1
3,20,0.703,21,5,13,DSL ANG,J Moreno,0,1
0,6,0.582,4,4,5,DSL BAL,G Galastica,0,1
0,22,0.678,34,5,31,DSL RSX,F Guzman,2,5
1,3,0.226,0,0,1,DSL ANG,J Fernandez,0,0
3,29,0.701,44,7,21,DSL CAR,M Sierra,1,3
0,15,0.553,6,2,10,DSL ROJ,C Mejia,0,0
0,26,0.747,34,6,27,DSL PAD,C Belen,7,4
0,28,0.634,34,4,19,DSL DIA,O Garcia,1,2
1,4,0.664,11,1,8,DSL RSX,P Urena,1,0
2,33,0.627,25,2,14,DSL RSX,L Basabe,1,4
8,38,0.82,46,10,25,DSL ANG,A Perez,0,4
0,0,0.0,0,0,0,DSL PAD,M Beltre,0,0
0,29,0.629,29,4,19,DSL AST,R Cesar,1,1
1,9,0.741,10,0,7,DSL NYY1,J Aparicio,2,0
3,9,0.456,15,3,18,DSL MET,S Infante,4,1
0,10,0.611,16,1,19,DSL NYY2,M Munoz,6,1
2,15,0.511,34,1,25,DSL ORI,R Alexander,1,6
1,18,0.473,15,2,10,DSL BLJ,L Dominguez,0,0
3,11,0.533,5,1,2,DSL PHI,F Rios,0,0
0,22,0.614,14,3,21,DSL NYY1,B Munoz,3,1
0,18,0.97,28,2,18,DSL DIA,R Santana,3,3
0,4,0.616,2,0,3,DSL DIA,R Palacio,0,0
0,5,0.548,3,0,3,DSL RGR,R Castro,1,0
3,10,0.633,14,0,8,DSL AST,B Mejia,1,1
5,29,0.709,36,8,20,DSL TWI,J Ramirez,0,1
2,25,0.626,24,3,23,DSL REDS,D Capitillo,3,2
0,25,0.785,35,5,37,DSL BRW,J Quiterio,5,2
3,3,0.429,5,1,4,DSL NAT,M Atencio,0,0
2,10,0.478,15,3,10,DSL ATH,J Godard,1,1
3,20,0.683,32,12,17,DSL NYY1,A Reyes,2,3
2,6,0.419,6,2,2,DSL AST,D Aquino,0,0
2,30,0.785,45,5,35,DSL BLJ,R Urena,1,2
2,5,0.548,12,1,9,DSL PHI,L Morillo,1,1
0,19,0.529,21,2,18,DSL BAL,R Medina,3,0
2,12,0.299,10,0,5,DSL TB,D Ramirez,1,0
7,25,0.717,34,3,22,DSL PIR,S De La Mota,1,2
3,8,0.715,20,1,16,DSL PHI,D Olivera,1,0
0,4,0.537,11,3,7,DSL DIA,F Alcantara,0,1
2,12,0.603,32,14,28,DSL ROJ,L Gonzalez,2,4
1,10,0.666,9,1,16,DSL CAR,J Baez,2,2
0,8,0.654,7,1,11,DSL BRA,J Tielman,0,1
5,17,0.557,10,5,1,DSL ATH,A Silva,0,1
1,25,0.863,35,5,15,DSL NYY2,J Valera,0,7
0,33,0.746,32,13,37,DSL SEA,I Alcantara,2,4
2,48,0.879,49,5,46,DSL NYY1,A Valerio,8,3
